ts,datetime,open,high,low,close,volume
1693238400,2023-08-28T16:00:00+00:00,10.32,10.44,10.25,10.32,35439.157
1693252800,2023-08-28T20:00:00+00:00,10.32,10.37,10.23,10.37,11806.694
1693267200,2023-08-29T00:00:00+00:00,10.37,10.61,10.37,10.52,35172.181
1693281600,2023-08-29T04:00:00+00:00,10.51,10.52,10.39,10.45,14258.073
1693296000,2023-08-29T08:00:00+00:00,10.44,10.48,10.32,10.35,22511.111999999997
1693310400,2023-08-29T12:00:00+00:00,10.34,11.2,10.34,10.83,214081.619
1693324800,2023-08-29T16:00:00+00:00,10.84,10.97,10.81,10.85,60028.672000000006
1693339200,2023-08-29T20:00:00+00:00,10.86,10.91,10.77,10.81,27791.247
1693353600,2023-08-30T00:00:00+00:00,10.82,10.82,10.59,10.65,55121.513999999996
1693368000,2023-08-30T04:00:00+00:00,10.64,10.67,10.57,10.59,3327.38
1693382400,2023-08-30T08:00:00+00:00,10.59,10.63,10.5,10.51,18289.336
1693396800,2023-08-30T12:00:00+00:00,10.5,10.55,10.36,10.41,41021.029
1693411200,2023-08-30T16:00:00+00:00,10.41,10.42,10.32,10.38,140581.122
1693425600,2023-08-30T20:00:00+00:00,10.38,10.43,10.38,10.4,28920.39
1693440000,2023-08-31T00:00:00+00:00,10.4,10.4,10.27,10.29,54889.498
1693454400,2023-08-31T04:00:00+00:00,10.29,10.41,10.28,10.36,35263.299000000006
1693468800,2023-08-31T08:00:00+00:00,10.34,10.54,10.32,10.47,21525.417
1693483200,2023-08-31T12:00:00+00:00,10.47,10.47,10.14,10.22,67136.235
1693497600,2023-08-31T16:00:00+00:00,10.21,10.21,9.82,10.03,94490.036
1693512000,2023-08-31T20:00:00+00:00,10.02,10.04,9.9,9.98,90979.728
1693526400,2023-09-01T00:00:00+00:00,9.97,10.02,9.95,10.01,22302.632
1693540800,2023-09-01T04:00:00+00:00,10.02,10.03,9.96,9.99,13774.588
1693555200,2023-09-01T08:00:00+00:00,9.99,10.03,9.97,10.02,16691.116
1693569600,2023-09-01T12:00:00+00:00,10.02,10.05,9.86,9.91,41525.572
1693584000,2023-09-01T16:00:00+00:00,9.91,9.95,9.75,9.89,73783.927
1693598400,2023-09-01T20:00:00+00:00,9.89,9.96,9.86,9.93,47681.414
1693612800,2023-09-02T00:00:00+00:00,9.92,9.96,9.87,9.91,11484.319
1693627200,2023-09-02T04:00:00+00:00,9.92,9.94,9.87,9.89,6675.036
1693641600,2023-09-02T08:00:00+00:00,9.89,9.89,9.82,9.86,10303.249
1693656000,2023-09-02T12:00:00+00:00,9.86,9.9,9.8,9.87,27731.843
1693670400,2023-09-02T16:00:00+00:00,9.87,9.89,9.76,9.86,13933.329999999998
1693684800,2023-09-02T20:00:00+00:00,9.87,9.94,9.85,9.91,13911.831000000002
1693699200,2023-09-03T00:00:00+00:00,9.91,9.94,9.88,9.94,3753.5299999999997
1693713600,2023-09-03T04:00:00+00:00,9.95,9.99,9.92,9.93,5935.15
1693728000,2023-09-03T08:00:00+00:00,9.94,9.94,9.89,9.94,3787.861
1693742400,2023-09-03T12:00:00+00:00,9.94,9.95,9.85,9.88,12622.106
1693756800,2023-09-03T16:00:00+00:00,9.86,9.93,9.83,9.89,15032.474
1693771200,2023-09-03T20:00:00+00:00,9.92,9.93,9.84,9.88,8681.74
1693785600,2023-09-04T00:00:00+00:00,9.88,10.04,9.87,9.97,42553.854999999996
1693800000,2023-09-04T04:00:00+00:00,9.97,9.98,9.87,9.95,5970.339
1693814400,2023-09-04T08:00:00+00:00,9.95,9.97,9.87,9.88,8330.863000000001
1693828800,2023-09-04T12:00:00+00:00,9.87,9.9,9.79,9.85,28859.203999999998
1693843200,2023-09-04T16:00:00+00:00,9.85,9.9,9.81,9.84,16172.117
1693857600,2023-09-04T20:00:00+00:00,9.84,9.85,9.68,9.8,31853.811999999998
1693872000,2023-09-05T00:00:00+00:00,9.81,9.81,9.65,9.73,12411.662
1693886400,2023-09-05T04:00:00+00:00,9.73,9.8,9.73,9.79,9119.035
1693900800,2023-09-05T08:00:00+00:00,9.78,9.88,9.76,9.85,12648.677
1693915200,2023-09-05T12:00:00+00:00,9.86,9.97,9.81,9.9,23113.003
1693929600,2023-09-05T16:00:00+00:00,9.91,9.95,9.85,9.85,17266.04
1693944000,2023-09-05T20:00:00+00:00,9.86,9.96,9.84,9.92,9534.15
1693958400,2023-09-06T00:00:00+00:00,9.91,9.99,9.9,9.93,8248.677
1693972800,2023-09-06T04:00:00+00:00,9.94,9.94,9.84,9.87,6887.207
1693987200,2023-09-06T08:00:00+00:00,9.87,9.93,9.87,9.91,5570.382
1694001600,2023-09-06T12:00:00+00:00,9.91,9.95,9.82,9.88,18887.788
1694016000,2023-09-06T16:00:00+00:00,9.88,10.04,9.75,9.89,56319.997
1694030400,2023-09-06T20:00:00+00:00,9.9,9.97,9.89,9.95,24526.592
1694044800,2023-09-07T00:00:00+00:00,9.94,10.01,9.92,10.01,24106.073000000004
1694059200,2023-09-07T04:00:00+00:00,10.01,10.02,9.93,9.96,7231.206
1694073600,2023-09-07T08:00:00+00:00,9.96,9.98,9.86,9.86,20220.831
1694088000,2023-09-07T12:00:00+00:00,9.87,9.94,9.83,9.91,10641.891
1694102400,2023-09-07T16:00:00+00:00,9.91,9.98,9.91,9.96,12113.253
1694116800,2023-09-07T20:00:00+00:00,9.97,10.14,9.96,10.09,53180.564
1694131200,2023-09-08T00:00:00+00:00,10.09,10.14,10.01,10.07,46238.451
1694145600,2023-09-08T04:00:00+00:00,10.06,10.1,10.02,10.07,13749.074
1694160000,2023-09-08T08:00:00+00:00,10.07,10.07,9.84,9.93,22539.772
1694174400,2023-09-08T12:00:00+00:00,9.93,9.97,9.9,9.91,18626.044
1694188800,2023-09-08T16:00:00+00:00,9.91,9.92,9.86,9.91,14854.165
1694203200,2023-09-08T20:00:00+00:00,9.91,9.93,9.87,9.92,11382.422
1694217600,2023-09-09T00:00:00+00:00,9.92,9.92,9.86,9.89,6576.57
1694232000,2023-09-09T04:00:00+00:00,9.89,9.91,9.86,9.89,2399.264
1694246400,2023-09-09T08:00:00+00:00,9.89,9.91,9.87,9.89,1539.2220000000002
1694260800,2023-09-09T12:00:00+00:00,9.89,9.9,9.83,9.88,5740.215
1694275200,2023-09-09T16:00:00+00:00,9.87,9.89,9.85,9.88,7024.6269999999995
1694289600,2023-09-09T20:00:00+00:00,9.87,9.88,9.83,9.84,8133.6759999999995
1694304000,2023-09-10T00:00:00+00:00,9.83,9.83,9.58,9.65,41750.982
1694318400,2023-09-10T04:00:00+00:00,9.63,9.63,9.2,9.54,69930.667
1694332800,2023-09-10T08:00:00+00:00,9.54,9.55,9.49,9.52,8053.793
1694347200,2023-09-10T12:00:00+00:00,9.52,9.71,9.48,9.56,46584.033
1694361600,2023-09-10T16:00:00+00:00,9.54,9.56,9.37,9.53,28392.382
1694376000,2023-09-10T20:00:00+00:00,9.51,9.57,9.44,9.46,17867.805
1694390400,2023-09-11T00:00:00+00:00,9.46,9.5,9.36,9.46,16955.767
1694404800,2023-09-11T04:00:00+00:00,9.44,9.51,9.43,9.45,6834.782
1694419200,2023-09-11T08:00:00+00:00,9.45,9.46,9.05,9.18,47617.178
1694433600,2023-09-11T12:00:00+00:00,9.19,9.31,9.14,9.28,77824.40100000001
1694448000,2023-09-11T16:00:00+00:00,9.27,9.31,9.07,9.13,42235.345
1694462400,2023-09-11T20:00:00+00:00,9.13,9.24,9.09,9.23,72342.996
1694476800,2023-09-12T00:00:00+00:00,9.22,9.57,9.19,9.42,114996.91100000001
1694491200,2023-09-12T04:00:00+00:00,9.42,9.45,9.25,9.3,57015.26700000001
1694505600,2023-09-12T08:00:00+00:00,9.3,9.59,9.28,9.46,58217.121
1694520000,2023-09-12T12:00:00+00:00,9.44,9.47,9.3,9.31,34361.837
1694534400,2023-09-12T16:00:00+00:00,9.3,9.43,9.2,9.28,30486.388999999996
1694548800,2023-09-12T20:00:00+00:00,9.28,9.3,9.2,9.22,11349.044000000002
1694563200,2023-09-13T00:00:00+00:00,9.21,9.28,9.17,9.21,20700.649
1694577600,2023-09-13T04:00:00+00:00,9.19,9.45,9.1,9.16,43640.341
1694592000,2023-09-13T08:00:00+00:00,9.15,9.3,9.15,9.26,24573.324000000004
1694606400,2023-09-13T12:00:00+00:00,9.26,9.34,9.19,9.29,19198.255
1694620800,2023-09-13T16:00:00+00:00,9.31,9.34,9.21,9.28,18995.630999999998
1694635200,2023-09-13T20:00:00+00:00,9.27,9.35,9.27,9.29,11163.683
1694649600,2023-09-14T00:00:00+00:00,9.29,9.47,9.28,9.35,25465.037
1694664000,2023-09-14T04:00:00+00:00,9.34,9.36,9.26,9.33,14285.937
1694678400,2023-09-14T08:00:00+00:00,9.33,9.35,9.25,9.34,12135.807
1694692800,2023-09-14T12:00:00+00:00,9.35,9.44,9.29,9.37,40221.070999999996
