ts,datetime,open,high,low,close,volume
1693238400,2023-08-28T16:00:00+00:00,26089.71,26182.09,25906.17,25977.18,1227.16347411
1693252800,2023-08-28T20:00:00+00:00,25975.77,26160.1,25934.91,26101.04,779.63852548
1693267200,2023-08-29T00:00:00+00:00,26101.03,26187.7,26047.44,26064.98,719.5089250399999
1693281600,2023-08-29T04:00:00+00:00,26064.98,26079.01,25975,25987.41,439.06421868
1693296000,2023-08-29T08:00:00+00:00,25987.41,26028.51,25903.18,25960.57,608.9115275199999
1693310400,2023-08-29T12:00:00+00:00,25960.56,27761.78,25946.67,27424.69,9518.65728591
1693324800,2023-08-29T16:00:00+00:00,27424.67,28184.89,27355.01,27839.05,7810.127503430001
1693339200,2023-08-29T20:00:00+00:00,27839.04,27941.1,27535.78,27717.98,2305.8315673899997
1693353600,2023-08-30T00:00:00+00:00,27717.15,27775,27289.92,27389.27,2183.0120772600003
1693368000,2023-08-30T04:00:00+00:00,27390.33,27474.04,27369.8,27436.27,613.80866636
1693382400,2023-08-30T08:00:00+00:00,27436.27,27496.99,27305.05,27340.29,946.5280971
1693396800,2023-08-30T12:00:00+00:00,27340.28,27465.37,27015.75,27204.09,3163.0265985700003
1693411200,2023-08-30T16:00:00+00:00,27204.37,27284.06,27070.52,27174.56,1768.1727159400002
1693425600,2023-08-30T20:00:00+00:00,27175.99,27337.02,27174.78,27306.06,1119.40863955
1693440000,2023-08-31T00:00:00+00:00,27306.06,27308.95,27176.1,27210.01,621.57320971
1693454400,2023-08-31T04:00:00+00:00,27210.02,27290.81,27204.77,27255.76,384.09902009
1693468800,2023-08-31T08:00:00+00:00,27255.75,27576.99,27186.37,27305.93,1193.23252882
1693483200,2023-08-31T12:00:00+00:00,27304.34,27318.79,26787.53,26918.12,3398.72457664
1693497600,2023-08-31T16:00:00+00:00,26917.63,26920,25922,26150.85,5681.81425339
1693512000,2023-08-31T20:00:00+00:00,26150.01,26188.38,25660.61,25932.45,3182.5837926
1693526400,2023-09-01T00:00:00+00:00,25931.51,26088.77,25918.12,26070.59,1085.1350156
1693540800,2023-09-01T04:00:00+00:00,26070.59,26084.12,25968.51,25977.36,548.4329298499999
1693555200,2023-09-01T08:00:00+00:00,25977.35,26060.81,25947.79,26035,726.2694978400001
1693569600,2023-09-01T12:00:00+00:00,26035.01,26142.28,25548.18,25795.09,3843.90003558
1693584000,2023-09-01T16:00:00+00:00,25793.22,25938.4,25307.37,25628.58,6863.61097186
1693598400,2023-09-01T20:00:00+00:00,25632.62,25911.76,25546.7,25794.88,1928.3776504999998
1693612800,2023-09-02T00:00:00+00:00,25795.61,25832.51,25707.3,25784.8,728.78891418
1693627200,2023-09-02T04:00:00+00:00,25784.79,25838.39,25714.14,25787.27,619.68751235
1693641600,2023-09-02T08:00:00+00:00,25787.27,25858.38,25767.84,25806.96,592.01843791
1693656000,2023-09-02T12:00:00+00:00,25808.03,25982.48,25785.23,25891.67,960.19890652
1693670400,2023-09-02T16:00:00+00:00,25891.65,25937.14,25761.38,25831.04,558.62283242
1693684800,2023-09-02T20:00:00+00:00,25831.03,25904.24,25815.92,25867.83,351.45768764999997
1693699200,2023-09-03T00:00:00+00:00,25867.82,25904.02,25823.66,25863.16,358.42452057
1693713600,2023-09-03T04:00:00+00:00,25863.15,25950,25860.98,25949.96,307.32919466
1693728000,2023-09-03T08:00:00+00:00,25949.92,25951.97,25873.06,25939.78,254.60928436999998
1693742400,2023-09-03T12:00:00+00:00,25939.78,26088.88,25812.34,25866.6,956.05196445
1693756800,2023-09-03T16:00:00+00:00,25866.6,26032.8,25792.29,26004.31,829.8543003
1693771200,2023-09-03T20:00:00+00:00,26004.31,26123,25925.1,25969.83,728.25030255
1693785600,2023-09-04T00:00:00+00:00,25969.83,26093.07,25872.01,25979.88,595.55912193
1693800000,2023-09-04T04:00:00+00:00,25980.86,26014.86,25908.9,25955.79,503.63764933
1693814400,2023-09-04T08:00:00+00:00,25955.8,26002.39,25860.01,25880.04,624.93502303
1693828800,2023-09-04T12:00:00+00:00,25880.03,25956.54,25714.95,25808.7,1117.70935119
1693843200,2023-09-04T16:00:00+00:00,25808.57,25939.75,25801.04,25884.89,651.7761088899999
1693857600,2023-09-04T20:00:00+00:00,25884.88,25913.01,25627,25816.13,1142.1982111300001
1693872000,2023-09-05T00:00:00+00:00,25816.14,25833.83,25551.36,25679.48,850.47735644
1693886400,2023-09-05T04:00:00+00:00,25679.49,25743.91,25659.16,25718.81,526.10365599
1693900800,2023-09-05T08:00:00+00:00,25718.49,25795.01,25637.04,25765.3,682.75574506
1693915200,2023-09-05T12:00:00+00:00,25765.3,25884.04,25605,25741.03,1630.69863601
1693929600,2023-09-05T16:00:00+00:00,25741.02,25828.51,25668.43,25670.26,1503.38345839
1693944000,2023-09-05T20:00:00+00:00,25670.63,25795.04,25663.01,25783.91,857.7292665900001
1693958400,2023-09-06T00:00:00+00:00,25782.49,25856.43,25760,25768,686.03408911
1693972800,2023-09-06T04:00:00+00:00,25767.99,25779.72,25710.71,25711.39,390.6058781
1693987200,2023-09-06T08:00:00+00:00,25711.38,25765.78,25701.01,25722.26,472.87235787000003
1694001600,2023-09-06T12:00:00+00:00,25722.25,25765.22,25522.88,25576.95,2229.77080905
1694016000,2023-09-06T16:00:00+00:00,25576.13,26025.78,25358,25673.32,4393.28619918
1694030400,2023-09-06T20:00:00+00:00,25673.32,25776.45,25635.34,25747.63,1201.7685885399999
1694044800,2023-09-07T00:00:00+00:00,25747.63,25828.25,25708.06,25823.43,579.79670262
1694059200,2023-09-07T04:00:00+00:00,25823.43,25838.34,25733.84,25750.38,476.42527818
1694073600,2023-09-07T08:00:00+00:00,25750.39,25750.39,25674.91,25691.78,720.59687404
1694088000,2023-09-07T12:00:00+00:00,25691.77,25821.49,25595.8,25758.24,2551.92923187
1694102400,2023-09-07T16:00:00+00:00,25758.24,25966.33,25752.16,25863.31,2303.44911416
1694116800,2023-09-07T20:00:00+00:00,25862.67,26440.55,25843.53,26276.3,4252.94182242
1694131200,2023-09-08T00:00:00+00:00,26276.38,26460.41,26194.22,26246.28,2360.78228936
1694145600,2023-09-08T04:00:00+00:00,26246.28,26380.28,26181.78,26247.54,1311.03303139
1694160000,2023-09-08T08:00:00+00:00,26247.54,26262.23,25640.1,25827.74,2146.00424256
1694174400,2023-09-08T12:00:00+00:00,25827.74,25947.04,25784.81,25832.6,1921.23028641
1694188800,2023-09-08T16:00:00+00:00,25832.6,25886.02,25711.87,25885.01,2294.4017947
1694203200,2023-09-08T20:00:00+00:00,25885,25932.93,25843.34,25906.34,1116.5068622499998
1694217600,2023-09-09T00:00:00+00:00,25906.33,25906.36,25844.46,25872.37,429.40002818999994
1694232000,2023-09-09T04:00:00+00:00,25872.37,25887.86,25827.42,25873.37,216.18443474
1694246400,2023-09-09T08:00:00+00:00,25873.37,25898.16,25840.22,25856.07,258.37098263999997
1694260800,2023-09-09T12:00:00+00:00,25856.79,25925.82,25791.45,25889.63,583.14856147
1694275200,2023-09-09T16:00:00+00:00,25888.19,25942.69,25841.43,25865.71,387.80578514
1694289600,2023-09-09T20:00:00+00:00,25865.71,25916.45,25852.4,25897.82,350.91231851
