ts,datetime,open,high,low,close,volume
1693238400,2023-08-28T16:00:00+00:00,1647.7,1653.9,1637.52,1645.75,12727.731891210002
1693252800,2023-08-28T20:00:00+00:00,1645.54,1656.16,1643.4,1651.94,6662.90309854
1693267200,2023-08-29T00:00:00+00:00,1651.93,1661.21,1649.9,1651.36,8448.49075857
1693281600,2023-08-29T04:00:00+00:00,1651.51,1652.59,1644.21,1646.57,5752.2548337299995
1693296000,2023-08-29T08:00:00+00:00,1646.56,1647.23,1639.04,1641.16,5002.542611080001
1693310400,2023-08-29T12:00:00+00:00,1641.01,1735.89,1639.18,1715.03,51102.385172680006
1693324800,2023-08-29T16:00:00+00:00,1715.17,1745.88,1708.75,1735.33,35936.173960680004
1693339200,2023-08-29T20:00:00+00:00,1735.33,1741.98,1721.99,1729.34,16033.736768839999
1693353600,2023-08-30T00:00:00+00:00,1729.26,1730.96,1713.16,1718.35,10461.64029409
1693368000,2023-08-30T04:00:00+00:00,1718.35,1722.13,1715.97,1717.53,4871.25573411
1693382400,2023-08-30T08:00:00+00:00,1717.56,1720.63,1711,1716.05,8323.35898809
1693396800,2023-08-30T12:00:00+00:00,1716.02,1722.13,1694.98,1703.58,22684.93484903
1693411200,2023-08-30T16:00:00+00:00,1703.56,1704.78,1695.92,1701.21,9235.17778378
1693425600,2023-08-30T20:00:00+00:00,1701.68,1708.06,1700.95,1705.47,5520.98370873
1693440000,2023-08-31T00:00:00+00:00,1705.46,1705.46,1697.08,1698.82,7141.39250519
1693454400,2023-08-31T04:00:00+00:00,1698.9,1707.03,1698.83,1706.03,3377.4832843000004
1693468800,2023-08-31T08:00:00+00:00,1706.02,1726.16,1703.62,1713.84,15497.95081672
1693483200,2023-08-31T12:00:00+00:00,1713.84,1714.31,1677.5,1689.08,25837.373979180004
1693497600,2023-08-31T16:00:00+00:00,1688.97,1689.01,1643.3,1656.7,45662.018420830005
1693512000,2023-08-31T20:00:00+00:00,1656.7,1656.82,1629.76,1645.58,19061.93973566
1693526400,2023-09-01T00:00:00+00:00,1645.58,1654.27,1644.59,1651.71,6013.65112624
1693540800,2023-09-01T04:00:00+00:00,1651.72,1652.56,1642.94,1645.69,4487.43009531
1693555200,2023-09-01T08:00:00+00:00,1645.69,1647.83,1640.76,1646.12,9802.43149574
1693569600,2023-09-01T12:00:00+00:00,1646.11,1651.58,1621.23,1634.02,28970.78354012
1693584000,2023-09-01T16:00:00+00:00,1634.03,1636.58,1601.69,1618.45,30427.899706049997
1693598400,2023-09-01T20:00:00+00:00,1618.34,1636.48,1615.34,1628.46,12899.495926309999
1693612800,2023-09-02T00:00:00+00:00,1628.46,1633.6,1627.43,1631.64,5161.72812685
1693627200,2023-09-02T04:00:00+00:00,1631.7,1635.66,1629.4,1631.2,5347.14102925
