ts,datetime,open,high,low,close,volume
1693238400,2023-08-28T16:00:00+00:00,5.996,6.02,5.916,5.953,116748.31999999999
1693252800,2023-08-28T20:00:00+00:00,5.951,5.991,5.924,5.975,122894.51999999999
1693267200,2023-08-29T00:00:00+00:00,5.975,6.003,5.924,5.932,174192.94
1693281600,2023-08-29T04:00:00+00:00,5.933,5.946,5.885,5.89,107068.64
1693296000,2023-08-29T08:00:00+00:00,5.888,5.901,5.841,5.883,94220.58
1693310400,2023-08-29T12:00:00+00:00,5.882,6.317,5.875,6.185,998743.79
1693324800,2023-08-29T16:00:00+00:00,6.186,6.288,6.172,6.227,311640.35
1693339200,2023-08-29T20:00:00+00:00,6.224,6.242,6.167,6.193,109277.88999999998
1693353600,2023-08-30T00:00:00+00:00,6.194,6.199,6.058,6.084,298569.95
1693368000,2023-08-30T04:00:00+00:00,6.081,6.091,6.054,6.069,138413.58
1693382400,2023-08-30T08:00:00+00:00,6.069,6.079,6.018,6.018,91810.44
1693396800,2023-08-30T12:00:00+00:00,6.018,6.034,5.886,5.944,413693.33
1693411200,2023-08-30T16:00:00+00:00,5.943,5.964,5.908,5.937,141791.21
1693425600,2023-08-30T20:00:00+00:00,5.936,5.964,5.921,5.924,123050.44
1693440000,2023-08-31T00:00:00+00:00,5.924,5.956,5.896,5.949,79449.56
1693454400,2023-08-31T04:00:00+00:00,5.949,6.002,5.946,5.979,156376.88999999998
1693468800,2023-08-31T08:00:00+00:00,5.979,6.063,5.97,6.034,114447.39
1693483200,2023-08-31T12:00:00+00:00,6.033,6.034,5.904,5.947,271613.32
1693497600,2023-08-31T16:00:00+00:00,5.944,5.955,5.74,5.847,500622.06
1693512000,2023-08-31T20:00:00+00:00,5.846,5.886,5.767,5.878,237861.02999999997
1693526400,2023-09-01T00:00:00+00:00,5.878,5.97,5.87,5.969,235172.71
1693540800,2023-09-01T04:00:00+00:00,5.971,6.03,5.941,5.96,207663.72999999998
1693555200,2023-09-01T08:00:00+00:00,5.962,6.03,5.962,6.002,153958.74
1693569600,2023-09-01T12:00:00+00:00,6.001,6.024,5.921,5.931,328857.04
1693584000,2023-09-01T16:00:00+00:00,5.932,5.95,5.811,5.875,633210.07
1693598400,2023-09-01T20:00:00+00:00,5.874,5.941,5.86,5.939,139922.78000000003
1693612800,2023-09-02T00:00:00+00:00,5.939,5.986,5.929,5.943,111940.70999999999
1693627200,2023-09-02T04:00:00+00:00,5.945,5.966,5.927,5.947,37747.41
1693641600,2023-09-02T08:00:00+00:00,5.947,5.969,5.899,5.945,69086.01999999999
1693656000,2023-09-02T12:00:00+00:00,5.945,5.997,5.926,5.965,88623.46
1693670400,2023-09-02T16:00:00+00:00,5.966,5.976,5.889,5.935,114894.86
1693684800,2023-09-02T20:00:00+00:00,5.934,5.976,5.927,5.972,85832.13
1693699200,2023-09-03T00:00:00+00:00,5.973,6.028,5.948,6.015,90948.43
1693713600,2023-09-03T04:00:00+00:00,6.018,6.047,6.005,6.013,176525.0
1693728000,2023-09-03T08:00:00+00:00,6.012,6.041,5.988,6.03,43254.21
1693742400,2023-09-03T12:00:00+00:00,6.03,6.063,5.971,5.991,90821.78
1693756800,2023-09-03T16:00:00+00:00,5.992,6.056,5.965,6.028,77292.88
1693771200,2023-09-03T20:00:00+00:00,6.028,6.045,6,6.03,95072.22
1693785600,2023-09-04T00:00:00+00:00,6.03,6.135,6.025,6.101,156970.41999999998
1693800000,2023-09-04T04:00:00+00:00,6.107,6.114,6.052,6.1,72123.06999999999
1693814400,2023-09-04T08:00:00+00:00,6.1,6.161,6.059,6.068,104074.86
1693828800,2023-09-04T12:00:00+00:00,6.07,6.081,5.968,6.011,211113.62
1693843200,2023-09-04T16:00:00+00:00,6.014,6.056,5.994,6.016,169185.64
1693857600,2023-09-04T20:00:00+00:00,6.018,6.025,5.945,6.014,134734.68
1693872000,2023-09-05T00:00:00+00:00,6.011,6.015,5.905,5.952,154966.19
1693886400,2023-09-05T04:00:00+00:00,5.952,5.992,5.952,5.984,82063.45
1693900800,2023-09-05T08:00:00+00:00,5.988,6.125,5.96,6.081,179389.81000000003
1693915200,2023-09-05T12:00:00+00:00,6.084,6.136,6.054,6.097,208992.8
1693929600,2023-09-05T16:00:00+00:00,6.097,6.144,6.078,6.112,126592.99
1693944000,2023-09-05T20:00:00+00:00,6.111,6.15,6.102,6.137,108983.54999999999
1693958400,2023-09-06T00:00:00+00:00,6.137,6.276,6.112,6.203,427129.32999999996
1693972800,2023-09-06T04:00:00+00:00,6.204,6.213,6.125,6.139,158943.53
1693987200,2023-09-06T08:00:00+00:00,6.138,6.154,6.114,6.118,92716.24
1694001600,2023-09-06T12:00:00+00:00,6.117,6.209,6.099,6.169,259015.38999999998
1694016000,2023-09-06T16:00:00+00:00,6.173,6.349,6.093,6.246,368998.97
1694030400,2023-09-06T20:00:00+00:00,6.245,6.304,6.24,6.298,180018.55
1694044800,2023-09-07T00:00:00+00:00,6.299,6.398,6.275,6.368,420464.82
1694059200,2023-09-07T04:00:00+00:00,6.368,6.388,6.274,6.276,114908.43
1694073600,2023-09-07T08:00:00+00:00,6.275,6.314,6.234,6.234,120930.12000000001
1694088000,2023-09-07T12:00:00+00:00,6.234,6.282,6.194,6.258,310870.93
1694102400,2023-09-07T16:00:00+00:00,6.257,6.332,6.254,6.326,177411.99
1694116800,2023-09-07T20:00:00+00:00,6.325,6.469,6.318,6.387,359817.38
1694131200,2023-09-08T00:00:00+00:00,6.384,6.402,6.328,6.342,154225.02
1694145600,2023-09-08T04:00:00+00:00,6.343,6.366,6.296,6.303,112933.28
1694160000,2023-09-08T08:00:00+00:00,6.303,6.305,6.144,6.211,208868.63999999998
1694174400,2023-09-08T12:00:00+00:00,6.208,6.277,6.207,6.222,134867.15
1694188800,2023-09-08T16:00:00+00:00,6.222,6.27,6.2,6.251,94407.37999999999
1694203200,2023-09-08T20:00:00+00:00,6.251,6.289,6.231,6.281,114413.47
1694217600,2023-09-09T00:00:00+00:00,6.28,6.292,6.233,6.269,79470.97
1694232000,2023-09-09T04:00:00+00:00,6.27,6.28,6.234,6.246,40511.16
1694246400,2023-09-09T08:00:00+00:00,6.247,6.25,6.204,6.218,61944.590000000004
1694260800,2023-09-09T12:00:00+00:00,6.218,6.22,6.176,6.191,102644.04
1694275200,2023-09-09T16:00:00+00:00,6.192,6.214,6.157,6.18,67786.68
1694289600,2023-09-09T20:00:00+00:00,6.18,6.184,6.158,6.165,39713.36
1694304000,2023-09-10T00:00:00+00:00,6.164,6.164,6.083,6.112,137023.03
1694318400,2023-09-10T04:00:00+00:00,6.11,6.125,5.963,6.111,263586.14999999997
1694332800,2023-09-10T08:00:00+00:00,6.114,6.119,6.065,6.085,64748.75
1694347200,2023-09-10T12:00:00+00:00,6.084,6.104,5.978,6.045,236794.36
1694361600,2023-09-10T16:00:00+00:00,6.045,6.058,5.955,6.038,210380.97999999998
1694376000,2023-09-10T20:00:00+00:00,6.034,6.074,6.003,6.014,91334.20999999999
1694390400,2023-09-11T00:00:00+00:00,6.013,6.027,5.942,5.998,135473.64
1694404800,2023-09-11T04:00:00+00:00,6,6.034,5.976,5.988,76246.29000000001
1694419200,2023-09-11T08:00:00+00:00,5.991,5.994,5.795,5.884,319371.57999999996
