ts,datetime,open,high,low,close,volume
1693238400,2023-08-28T16:00:00+00:00,65.24,65.34,64.6,65.03,14578.79899173
1693252800,2023-08-28T20:00:00+00:00,65.04,65.71,64.94,65.46,12314.159172360001
1693267200,2023-08-29T00:00:00+00:00,65.46,65.73,65.22,65.35,13382.98076274
1693281600,2023-08-29T04:00:00+00:00,65.35,65.43,65.02,65.06,9672.11365576
1693296000,2023-08-29T08:00:00+00:00,65.06,65.09,64.56,64.76,8339.76676435
1693310400,2023-08-29T12:00:00+00:00,64.73,70.68,64.61,68.19,100082.43050935
1693324800,2023-08-29T16:00:00+00:00,68.19,70.02,67.88,68.72,70173.94847101001
1693339200,2023-08-29T20:00:00+00:00,68.72,69.47,68.43,68.86,44626.90735533
1693353600,2023-08-30T00:00:00+00:00,68.87,69.03,67.51,67.89,34652.038395209995
1693368000,2023-08-30T04:00:00+00:00,67.87,67.95,67.6,67.72,11459.12717565
1693382400,2023-08-30T08:00:00+00:00,67.74,67.85,67.18,67.41,18431.85551822
1693396800,2023-08-30T12:00:00+00:00,67.4,67.79,66.52,67.04,38677.569594810004
1693411200,2023-08-30T16:00:00+00:00,67.04,67.64,66.93,67.42,17514.178329
1693425600,2023-08-30T20:00:00+00:00,67.41,67.85,67.35,67.67,14660.149635360001
1693440000,2023-08-31T00:00:00+00:00,67.65,67.69,67.17,67.19,12409.4084157
1693454400,2023-08-31T04:00:00+00:00,67.21,67.9,67.19,67.89,13039.525502100001
1693468800,2023-08-31T08:00:00+00:00,67.89,68.34,67.58,68.01,18471.971463089998
1693483200,2023-08-31T12:00:00+00:00,68.03,68.05,65.83,66.11,47578.260716649995
1693497600,2023-08-31T16:00:00+00:00,66.09,66.11,63.51,64.23,58018.547051249996
1693512000,2023-08-31T20:00:00+00:00,64.24,64.38,63.22,63.89,29528.244415990004
1693526400,2023-09-01T00:00:00+00:00,63.89,64.25,63.81,64.02,19671.593267080003
1693540800,2023-09-01T04:00:00+00:00,64.03,64.09,63.35,63.68,13608.78542725
1693555200,2023-09-01T08:00:00+00:00,63.68,63.99,63.48,63.91,11908.47414922
1693569600,2023-09-01T12:00:00+00:00,63.92,64.17,62.57,63.21,25876.38648852
1693584000,2023-09-01T16:00:00+00:00,63.21,63.52,61.82,62.89,30354.96137243
1693598400,2023-09-01T20:00:00+00:00,62.85,63.54,62.77,62.96,13186.51283036
1693612800,2023-09-02T00:00:00+00:00,62.99,63.46,62.94,63.44,10536.821613420001
1693627200,2023-09-02T04:00:00+00:00,63.46,63.53,63.2,63.42,9184.93979864
1693641600,2023-09-02T08:00:00+00:00,63.41,64.71,63.34,64.08,17452.992038549997
1693656000,2023-09-02T12:00:00+00:00,64.08,64.52,63.57,64.29,18609.48731909
1693670400,2023-09-02T16:00:00+00:00,64.29,64.46,63.63,64.41,16402.69683074
1693684800,2023-09-02T20:00:00+00:00,64.41,64.67,64.21,64.59,14915.150751620002
1693699200,2023-09-03T00:00:00+00:00,64.58,64.91,64.47,64.78,13142.7539314
1693713600,2023-09-03T04:00:00+00:00,64.78,64.82,64.11,64.23,8918.47681586
1693728000,2023-09-03T08:00:00+00:00,64.22,64.49,63.92,64.04,10042.10552684
1693742400,2023-09-03T12:00:00+00:00,64.06,64.39,63.68,63.78,11240.96442934
1693756800,2023-09-03T16:00:00+00:00,63.78,64.46,63.55,64.04,16542.879178889998
1693771200,2023-09-03T20:00:00+00:00,64.04,64.38,63.71,63.93,10998.2328705
1693785600,2023-09-04T00:00:00+00:00,63.92,65.01,63.86,64.47,20927.02308363
1693800000,2023-09-04T04:00:00+00:00,64.48,64.59,64.08,64.21,11468.8220906
1693814400,2023-09-04T08:00:00+00:00,64.21,64.39,63.8,63.9,10861.51406891
1693828800,2023-09-04T12:00:00+00:00,63.88,64.14,62.98,63.53,16954.991341970002
1693843200,2023-09-04T16:00:00+00:00,63.51,64.02,63.43,63.67,10100.98160128
1693857600,2023-09-04T20:00:00+00:00,63.66,63.77,63.08,63.74,14059.23067465
1693872000,2023-09-05T00:00:00+00:00,63.74,63.78,62.91,63.39,13355.85386707
1693886400,2023-09-05T04:00:00+00:00,63.39,63.47,62.74,62.97,17791.58305047
1693900800,2023-09-05T08:00:00+00:00,62.96,63.19,62.56,63.02,20145.17418653
1693915200,2023-09-05T12:00:00+00:00,63.01,63.45,62.53,63.04,22001.0811964
1693929600,2023-09-05T16:00:00+00:00,63.04,63.34,62.86,63,12275.66141992
1693944000,2023-09-05T20:00:00+00:00,63.01,63.19,62.9,63.14,10038.041854660001
1693958400,2023-09-06T00:00:00+00:00,63.13,63.56,63.02,63.07,21198.77855009
1693972800,2023-09-06T04:00:00+00:00,63.08,63.14,62.69,62.82,10120.87545272
1693987200,2023-09-06T08:00:00+00:00,62.82,63.04,62.77,62.94,6473.87161361
1694001600,2023-09-06T12:00:00+00:00,62.94,63.18,62.63,62.84,14876.53074216
1694016000,2023-09-06T16:00:00+00:00,62.84,63.86,61.43,62.52,43485.23460026
1694030400,2023-09-06T20:00:00+00:00,62.52,62.92,62.45,62.83,10087.68853363
1694044800,2023-09-07T00:00:00+00:00,62.84,63.3,62.69,63.26,15019.551239800001
1694059200,2023-09-07T04:00:00+00:00,63.28,63.31,62.87,63.18,11014.16436201
1694073600,2023-09-07T08:00:00+00:00,63.16,63.22,62.8,62.86,7058.0361811699995
1694088000,2023-09-07T12:00:00+00:00,62.85,63.03,62.45,62.81,17543.713843830003
1694102400,2023-09-07T16:00:00+00:00,62.81,63.23,62.7,62.88,15796.337467169998
1694116800,2023-09-07T20:00:00+00:00,62.87,64.48,62.86,63.71,42135.52583
1694131200,2023-09-08T00:00:00+00:00,63.7,64.21,63.41,63.54,24338.851785960003
1694145600,2023-09-08T04:00:00+00:00,63.54,63.76,63.15,63.34,10417.759830010002
1694160000,2023-09-08T08:00:00+00:00,63.34,63.34,61.51,62.53,25284.26703793
1694174400,2023-09-08T12:00:00+00:00,62.49,62.93,62.48,62.58,13359.95921647
1694188800,2023-09-08T16:00:00+00:00,62.58,62.67,62.28,62.49,13658.56704999
1694203200,2023-09-08T20:00:00+00:00,62.48,62.61,62.33,62.6,9886.69963661
1694217600,2023-09-09T00:00:00+00:00,62.6,62.91,62.52,62.79,9815.41483726
1694232000,2023-09-09T04:00:00+00:00,62.79,62.87,62.63,62.73,6198.58129861
1694246400,2023-09-09T08:00:00+00:00,62.72,62.82,62.56,62.75,5917.54048965
1694260800,2023-09-09T12:00:00+00:00,62.74,63.29,62.67,63.03,14236.971855150001
1694275200,2023-09-09T16:00:00+00:00,63.04,63.2,62.96,63.1,7284.38802202
1694289600,2023-09-09T20:00:00+00:00,63.09,63.22,63.01,63.04,8476.66282521
1694304000,2023-09-10T00:00:00+00:00,63.05,63.06,62.62,62.72,12849.999129880001
1694318400,2023-09-10T04:00:00+00:00,62.71,62.73,60.05,61.75,44759.5280124
1694332800,2023-09-10T08:00:00+00:00,61.79,61.79,61.17,61.18,11583.61754556
1694347200,2023-09-10T12:00:00+00:00,61.2,61.55,60.16,60.91,22629.175856449998
1694361600,2023-09-10T16:00:00+00:00,60.9,61.03,60.2,60.84,27025.703094229997
1694376000,2023-09-10T20:00:00+00:00,60.82,61.51,60.73,61.11,24509.27310362
1694390400,2023-09-11T00:00:00+00:00,61.1,61.37,60.65,61.23,22675.25185906
1694404800,2023-09-11T04:00:00+00:00,61.22,61.65,61.09,61.38,14499.458453039999
1694419200,2023-09-11T08:00:00+00:00,61.38,61.43,59.03,59.79,32761.349597200002
1694433600,2023-09-11T12:00:00+00:00,59.78,60.41,58.91,59.36,61612.621295640005
1694448000,2023-09-11T16:00:00+00:00,59.35,59.64,57.64,58.11,30503.538554579998
1694462400,2023-09-11T20:00:00+00:00,58.1,58.88,57.8,58.84,21750.804462369997
1694476800,2023-09-12T00:00:00+00:00,58.85,61,58.64,60.32,22090.19018323
1694491200,2023-09-12T04:00:00+00:00,60.32,60.56,59.3,59.63,33829.98182954
1694505600,2023-09-12T08:00:00+00:00,59.65,61.43,59.53,60.8,35465.84237856
1694520000,2023-09-12T12:00:00+00:00,60.8,60.94,60.22,60.51,31047.75671612
1694534400,2023-09-12T16:00:00+00:00,60.49,61.5,59.83,60.34,36590.65486558
1694548800,2023-09-12T20:00:00+00:00,60.32,60.55,59.88,59.97,13379.381449539998
1694563200,2023-09-13T00:00:00+00:00,59.97,60.28,59.67,59.84,13366.15165725
1694577600,2023-09-13T04:00:00+00:00,59.84,62.78,59.62,60.12,79090.21908165999
1694592000,2023-09-13T08:00:00+00:00,60.09,61.4,60.04,61.36,31610.72307817
1694606400,2023-09-13T12:00:00+00:00,61.38,62.04,60.8,61.64,31906.874498669997
1694620800,2023-09-13T16:00:00+00:00,61.64,62.28,61.43,61.85,22707.1175371
1694635200,2023-09-13T20:00:00+00:00,61.86,62.37,61.84,61.97,18979.4582917
1694649600,2023-09-14T00:00:00+00:00,61.97,63.09,61.94,62.48,51099.52167288
1694664000,2023-09-14T04:00:00+00:00,62.48,62.71,61.98,62.48,16993.49818842
1694678400,2023-09-14T08:00:00+00:00,62.47,62.7,62.2,62.62,7663.85338195
1694692800,2023-09-14T12:00:00+00:00,62.67,63.43,62.41,63.12,33650.278344369995
1694707200,2023-09-14T16:00:00+00:00,63.13,63.43,62.62,63.11,28960.203363759996
1694721600,2023-09-14T20:00:00+00:00,63.11,63.23,62.67,62.84,14675.84785863
1694736000,2023-09-15T00:00:00+00:00,62.83,63.58,62.57,63.23,18736.397217309997
1694750400,2023-09-15T04:00:00+00:00,63.22,63.58,62.85,62.98,20159.29529935
1694764800,2023-09-15T08:00:00+00:00,62.99,63.55,62.92,63.21,12623.5072903
1694779200,2023-09-15T12:00:00+00:00,63.18,64.74,63.06,64.23,39500.35331788
1694793600,2023-09-15T16:00:00+00:00,64.25,65.28,63.96,64.76,37848.69551663
1694808000,2023-09-15T20:00:00+00:00,64.77,66.26,64.69,65.89,35628.56070635
1694822400,2023-09-16T00:00:00+00:00,65.89,67.03,65.49,66.16,31658.582447650002
1694836800,2023-09-16T04:00:00+00:00,66.25,66.67,65.44,65.58,27196.32376805
1694851200,2023-09-16T08:00:00+00:00,65.58,65.59,64.89,65.05,11794.13626711
1694865600,2023-09-16T12:00:00+00:00,65.04,65.04,64.42,64.51,9500.18748917
1694880000,2023-09-16T16:00:00+00:00,64.51,65.23,64.43,64.71,13852.892946459999
1694894400,2023-09-16T20:00:00+00:00,64.71,65.41,64.67,65.41,8278.75138455
1694908800,2023-09-17T00:00:00+00:00,65.41,65.43,63.63,64.08,19894.79222065
1694923200,2023-09-17T04:00:00+00:00,64.09,64.49,63.55,63.73,17097.640539710002
1694937600,2023-09-17T08:00:00+00:00,63.73,64.39,63.68,64.11,9319.423870280001
1694952000,2023-09-17T12:00:00+00:00,64.13,64.4,63.88,64.29,6973.64828362
1694966400,2023-09-17T16:00:00+00:00,64.27,64.38,63.62,64.02,11537.38591029
1694980800,2023-09-17T20:00:00+00:00,64.02,64.13,62.79,63.57,23528.44811692
1694995200,2023-09-18T00:00:00+00:00,63.59,64.87,62.95,64.77,24683.81349069
1695009600,2023-09-18T04:00:00+00:00,64.78,65.28,64.43,64.85,14686.139294659999
1695024000,2023-09-18T08:00:00+00:00,64.85,66.4,64.72,65.75,26884.8534908
1695038400,2023-09-18T12:00:00+00:00,65.76,67.9,65.52,66.85,83202.34690676
1695052800,2023-09-18T16:00:00+00:00,66.87,67.36,65.77,66.23,36758.7346757
1695067200,2023-09-18T20:00:00+00:00,66.22,66.47,65.54,65.88,23001.55253832
1695081600,2023-09-19T00:00:00+00:00,65.88,67.05,65.61,66.51,22476.19692124
1695096000,2023-09-19T04:00:00+00:00,66.51,67.5,66.4,66.99,24575.00883779
1695110400,2023-09-19T08:00:00+00:00,66.99,68.41,66.9,67.66,30631.455943530003
1695124800,2023-09-19T12:00:00+00:00,67.68,68.3,66.88,68.27,36781.86377065
1695139200,2023-09-19T16:00:00+00:00,68.28,68.31,67.32,67.62,25317.85667594
1695153600,2023-09-19T20:00:00+00:00,67.62,67.62,66.9,67.29,16729.75545495
1695168000,2023-09-20T00:00:00+00:00,67.3,67.88,66.62,66.86,30101.15113343
1695182400,2023-09-20T04:00:00+00:00,66.85,66.95,66.24,66.54,21294.1027549
1695196800,2023-09-20T08:00:00+00:00,66.52,66.6,65.24,65.48,30645.03253184
1695211200,2023-09-20T12:00:00+00:00,65.49,65.54,64.22,64.79,68248.92955643
1695225600,2023-09-20T16:00:00+00:00,64.79,65.57,63.28,64.1,50768.626579899996
