ts,datetime,open,high,low,close,volume
1693238400,2023-08-28T16:00:00+00:00,20.53,20.68,20.36,20.47,85799.365
1693252800,2023-08-28T20:00:00+00:00,20.47,20.63,20.36,20.55,45127.394
1693267200,2023-08-29T00:00:00+00:00,20.55,20.75,20.42,20.49,52169.583
1693281600,2023-08-29T04:00:00+00:00,20.48,20.51,20.21,20.26,41831.611000000004
1693296000,2023-08-29T08:00:00+00:00,20.25,20.33,20.11,20.14,53411.842000000004
1693310400,2023-08-29T12:00:00+00:00,20.14,22.02,20.11,21.31,533986.954
1693324800,2023-08-29T16:00:00+00:00,21.33,21.95,21.18,21.58,254886.735
1693339200,2023-08-29T20:00:00+00:00,21.58,21.97,21.58,21.79,405149.24000000005
1693353600,2023-08-30T00:00:00+00:00,21.79,21.99,21.5,21.64,131711.781
1693368000,2023-08-30T04:00:00+00:00,21.63,21.75,21.55,21.63,46406.156
1693382400,2023-08-30T08:00:00+00:00,21.63,21.72,21.39,21.42,71183.25499999999
1693396800,2023-08-30T12:00:00+00:00,21.41,21.52,20.67,20.83,230042.322
1693411200,2023-08-30T16:00:00+00:00,20.83,20.85,20.6,20.68,167697.937
1693425600,2023-08-30T20:00:00+00:00,20.68,20.9,20.65,20.82,57308.225000000006
1693440000,2023-08-31T00:00:00+00:00,20.81,20.82,20.61,20.64,79085.999
1693454400,2023-08-31T04:00:00+00:00,20.65,20.84,20.63,20.78,55912.209
1693468800,2023-08-31T08:00:00+00:00,20.78,21.07,20.68,20.88,48471.819
1693483200,2023-08-31T12:00:00+00:00,20.89,20.89,20.21,20.32,376768.84899999993
1693497600,2023-08-31T16:00:00+00:00,20.34,20.34,19.42,19.83,727199.641
1693512000,2023-08-31T20:00:00+00:00,19.82,19.84,19.44,19.73,190344.508
1693526400,2023-09-01T00:00:00+00:00,19.72,19.92,19.69,19.88,85065.496
1693540800,2023-09-01T04:00:00+00:00,19.88,19.93,19.76,19.8,94930.365
1693555200,2023-09-01T08:00:00+00:00,19.79,19.91,19.72,19.84,65786.199
1693569600,2023-09-01T12:00:00+00:00,19.84,19.93,19.27,19.38,231708.266
1693584000,2023-09-01T16:00:00+00:00,19.39,19.55,19.02,19.26,230579.095
1693598400,2023-09-01T20:00:00+00:00,19.27,19.5,19.21,19.33,99677.367
1693612800,2023-09-02T00:00:00+00:00,19.32,19.59,19.31,19.57,64307.742
1693627200,2023-09-02T04:00:00+00:00,19.57,19.65,19.44,19.57,38591.210999999996
1693641600,2023-09-02T08:00:00+00:00,19.57,19.66,19.49,19.57,37530.241
1693656000,2023-09-02T12:00:00+00:00,19.57,19.69,19.37,19.56,52424.675
1693670400,2023-09-02T16:00:00+00:00,19.56,19.6,19.13,19.4,90645.99100000001
1693684800,2023-09-02T20:00:00+00:00,19.4,19.55,19.36,19.49,25802.272
1693699200,2023-09-03T00:00:00+00:00,19.49,19.67,19.46,19.63,66640.541
1693713600,2023-09-03T04:00:00+00:00,19.63,19.64,19.48,19.53,27974.185999999998
1693728000,2023-09-03T08:00:00+00:00,19.53,19.53,19.32,19.42,23868.532000000003
1693742400,2023-09-03T12:00:00+00:00,19.43,19.57,19.29,19.34,72567.467
