ts,datetime,open,high,low,close,volume
1693238400,2023-08-28T16:00:00+00:00,0.5197,0.5239,0.5183,0.5213,5614241.726973999
1693252800,2023-08-28T20:00:00+00:00,0.5212,0.5245,0.5198,0.5227,4277327.411936
1693267200,2023-08-29T00:00:00+00:00,0.5228,0.523,0.5192,0.5204,5526415.913121
1693281600,2023-08-29T04:00:00+00:00,0.5204,0.521,0.5152,0.5162,5578800.841554
1693296000,2023-08-29T08:00:00+00:00,0.5161,0.5183,0.5126,0.5154,7335593.389901999
1693310400,2023-08-29T12:00:00+00:00,0.5154,0.5498,0.5142,0.5348,24794259.449924998
1693324800,2023-08-29T16:00:00+00:00,0.5347,0.5443,0.5333,0.5384,12142800.662782
1693339200,2023-08-29T20:00:00+00:00,0.5384,0.5434,0.5384,0.5398,5132231.126321
1693353600,2023-08-30T00:00:00+00:00,0.5397,0.5405,0.5303,0.5338,11278787.55933
1693368000,2023-08-30T04:00:00+00:00,0.5339,0.5359,0.5292,0.5321,6544471.320373
1693382400,2023-08-30T08:00:00+00:00,0.5322,0.5335,0.5276,0.5295,5154944.540992
1693396800,2023-08-30T12:00:00+00:00,0.5296,0.5314,0.5216,0.5241,10122415.087189
1693411200,2023-08-30T16:00:00+00:00,0.524,0.5282,0.5233,0.5271,7250088.186098
1693425600,2023-08-30T20:00:00+00:00,0.5271,0.5297,0.5271,0.5284,4419021.059047
1693440000,2023-08-31T00:00:00+00:00,0.5283,0.5285,0.5241,0.5264,4249040.179699
1693454400,2023-08-31T04:00:00+00:00,0.5262,0.5287,0.524,0.5261,2599617.442969
1693468800,2023-08-31T08:00:00+00:00,0.526,0.5287,0.5228,0.5262,5616542.826254001
1693483200,2023-08-31T12:00:00+00:00,0.5264,0.5265,0.5149,0.5177,12362319.588935
1693497600,2023-08-31T16:00:00+00:00,0.5178,0.5201,0.4961,0.51,17171763.395201
1693512000,2023-08-31T20:00:00+00:00,0.5101,0.5125,0.5029,0.511,6976496.530912
1693526400,2023-09-01T00:00:00+00:00,0.5109,0.5116,0.5072,0.5099,4845611.605312
1693540800,2023-09-01T04:00:00+00:00,0.5099,0.5104,0.5023,0.5043,6600218.8433260005
1693555200,2023-09-01T08:00:00+00:00,0.5042,0.5075,0.502,0.5068,4932571.891892
1693569600,2023-09-01T12:00:00+00:00,0.5068,0.5082,0.4988,0.5014,9507939.26768
1693584000,2023-09-01T16:00:00+00:00,0.5015,0.5019,0.4865,0.492,14424482.366386
1693598400,2023-09-01T20:00:00+00:00,0.4921,0.4986,0.4914,0.4979,4233755.751596
1693612800,2023-09-02T00:00:00+00:00,0.4979,0.4985,0.4942,0.4979,2319110.865601
1693627200,2023-09-02T04:00:00+00:00,0.4979,0.4988,0.495,0.4961,1819356.412397
1693641600,2023-09-02T08:00:00+00:00,0.4961,0.4981,0.495,0.4972,1903321.893551
1693656000,2023-09-02T12:00:00+00:00,0.4972,0.5027,0.4958,0.5005,4763335.387907
1693670400,2023-09-02T16:00:00+00:00,0.5005,0.5012,0.4943,0.4972,3724328.7924709995
1693684800,2023-09-02T20:00:00+00:00,0.4971,0.4999,0.4953,0.4989,2381868.196161
1693699200,2023-09-03T00:00:00+00:00,0.4991,0.5023,0.4972,0.5023,2115010.662897
1693713600,2023-09-03T04:00:00+00:00,0.5022,0.5054,0.5008,0.5039,3614235.441884
1693728000,2023-09-03T08:00:00+00:00,0.5039,0.5042,0.5014,0.5027,1189433.504324
1693742400,2023-09-03T12:00:00+00:00,0.5026,0.5045,0.4998,0.5017,2571907.6498499997
1693756800,2023-09-03T16:00:00+00:00,0.5018,0.5107,0.5016,0.5059,6964980.157262
1693771200,2023-09-03T20:00:00+00:00,0.5061,0.5074,0.5035,0.5047,2547192.455046
1693785600,2023-09-04T00:00:00+00:00,0.5046,0.5125,0.5044,0.5097,5591683.552100999
1693800000,2023-09-04T04:00:00+00:00,0.5096,0.5125,0.5006,0.5035,5923104.531211
1693814400,2023-09-04T08:00:00+00:00,0.5036,0.5062,0.5002,0.5008,5972728.5879689995
1693828800,2023-09-04T12:00:00+00:00,0.5008,0.504,0.4965,0.5033,10379539.325291
1693843200,2023-09-04T16:00:00+00:00,0.5032,0.5093,0.5019,0.5089,7099343.152993999
1693857600,2023-09-04T20:00:00+00:00,0.5087,0.5106,0.5037,0.5085,4260964.928658
1693872000,2023-09-05T00:00:00+00:00,0.5085,0.5085,0.5018,0.5053,6243699.433309
1693886400,2023-09-05T04:00:00+00:00,0.5054,0.5077,0.5015,0.5044,3779859.7402239996
1693900800,2023-09-05T08:00:00+00:00,0.5044,0.5055,0.5011,0.5033,4613965.7347989995
1693915200,2023-09-05T12:00:00+00:00,0.5034,0.5048,0.4988,0.5021,9109180.258106
1693929600,2023-09-05T16:00:00+00:00,0.502,0.5038,0.5001,0.5024,6301537.544962001
1693944000,2023-09-05T20:00:00+00:00,0.5024,0.5063,0.5017,0.5054,3073127.385505
1693958400,2023-09-06T00:00:00+00:00,0.5054,0.5057,0.5029,0.5043,4786872.359697
1693972800,2023-09-06T04:00:00+00:00,0.5042,0.505,0.4999,0.5017,4670030.519925999
1693987200,2023-09-06T08:00:00+00:00,0.5018,0.502,0.4997,0.5013,5008575.482694
1694001600,2023-09-06T12:00:00+00:00,0.5012,0.5023,0.4935,0.4975,10637928.332622001
1694016000,2023-09-06T16:00:00+00:00,0.4974,0.5044,0.4909,0.5009,14746813.173135001
1694030400,2023-09-06T20:00:00+00:00,0.5009,0.5037,0.5004,0.5032,4416652.882297
1694044800,2023-09-07T00:00:00+00:00,0.5031,0.5035,0.4995,0.5028,5516311.668508001
1694059200,2023-09-07T04:00:00+00:00,0.5028,0.5042,0.4981,0.4999,6372593.194376
1694073600,2023-09-07T08:00:00+00:00,0.4999,0.5002,0.4962,0.498,7248945.204206
1694088000,2023-09-07T12:00:00+00:00,0.4979,0.4998,0.497,0.4992,9677093.786439002
1694102400,2023-09-07T16:00:00+00:00,0.4991,0.5017,0.4987,0.501,7435812.920027001
