date,open,high,low,close,volume,vwap
2018-01-01,13863.14,13889,12952.5,13480.01,10291200000,13546.1625
2018-01-02,13480,15275,13005,14781.51,16846600192,14135.3775
2018-01-03,14781.52,15400,14628,15098.14,16871900160,14976.915
2018-01-04,15098.23,15400,14230,15144.99,21783199744,14968.305
2018-01-05,15145,17178,14819.78,16960.01,23840899072,16025.6975
2018-01-06,16960.01,17174,16251.01,17098.99,18314600448,16871.0025
2018-01-07,17099,17115.01,15755.01,16174.22,15866000384,16535.81
2018-01-08,16174.22,16275,14000,14993.74,18413899776,15360.74
2018-01-09,14993.73,15384,14230,14480.99,16659999744,14772.18
2018-01-10,14481,14875.18,13550.01,14875.18,18500800512,14445.3425
2018-01-11,14875.17,14970,12800.01,13308.06,16534099968,13988.31
2018-01-12,13308.06,14080.83,12900,13820,12065699840,13527.2225
2018-01-13,13820,14500,13792.25,14187.95,12763599872,14075.05
2018-01-14,14187.94,14332.85,13110,13656.23,11084099584,13821.755
2018-01-15,13656.23,14253,13416,13590,12750799872,13728.8075
2018-01-16,13590,13643.66,9928.62,11570.01,18853799936,12183.0725
2018-01-17,11570.01,12358.89,9005,11200.01,18830600192,11033.4775
2018-01-18,11204.64,12123.1,10687.21,11305.53,15020399616,11330.12
2018-01-19,11305.53,11973.99,11050,11498.99,10740400128,11457.1275
2018-01-20,11499,12985.55,11498.99,12762.8,11801700352,12186.585
2018-01-21,12762.8,12762.8,11118,11518.17,9935179776,12040.4425
2018-01-22,11518.17,11849,10025,10766.7,10537400320,11039.7175
2018-01-23,10766.7,11370,9945,10824.94,9660609536,10726.66
2018-01-24,10824.95,11450,10450,11356.79,9940989952,11020.435
2018-01-25,11356.8,11690,10851,11118,8873169920,11253.95
2018-01-26,11118,11570,10305,11086.89,9746199552,11019.9725
2018-01-27,11086.88,11494.08,10850,11319,7583269888,11187.49
2018-01-28,11319,11697.24,11234.38,11536,8350360064,11446.655
2018-01-29,11536,11570,10840,11123.01,7107359744,11267.2525
2018-01-30,11123.01,11150,9711.11,9995,8637859840,10494.78
2018-01-31,9995,10299.95,9601.02,10099.99,8041160192,9998.99
2018-02-01,10099.99,10166.25,8400,9014.23,9959400448,9420.1175
2018-02-02,9014.22,9090.08,7540,8787.52,12726899712,8607.955
2018-02-03,8787.52,9499,8115.48,9240,7263790080,8910.5
2018-02-04,9227.8,9350,7859,8167.91,7073549824,8651.1775
2018-02-05,8167.9,8349.16,6425.75,6905.19,9285289984,7462
2018-02-06,6905.2,7948.89,5873,7688.46,13999800320,7103.8875
2018-02-07,7688.47,8650,7212.82,7575.75,9169280000,7781.76
2018-02-08,7575.76,8625,7550,8218.1,9346750464,7992.215
2018-02-09,8218.07,8700,7750,8671.01,6784820224,8334.77
2018-02-10,8671,9090,8155,8547.49,7780960256,8615.8725
2018-02-11,8547.48,8547.49,7851,8072.99,6122189824,8254.74
2018-02-12,8073,8950,8072.99,8872.28,6256439808,8492.0675
2018-02-13,8872.27,8925,8393.1,8520.01,5696719872,8677.595
2018-02-14,8520.01,9482.5,8520,9472.98,7909819904,8998.8725
2018-02-15,9472.98,10249.81,9342.46,10031.23,9062540288,9774.12
2018-02-16,10031.23,10307.68,9729.58,10167.49,7296159744,10058.995
2018-02-17,10167.49,11149,10057,11121.5,8660880384,10623.7475
2018-02-18,11121.5,11299.1,10159,10380.04,8744009728,10739.91
2018-02-19,10380.03,11274.11,10297.39,11140,7652089856,10772.8825
2018-02-20,11140,11775,11000,11235.57,9926540288,11287.6425
2018-02-21,11235.57,11279.99,10250,10454.27,9405339648,10804.9575
2018-02-22,10453.83,10900,9715.27,9830,8040079872,10224.775
2018-02-23,9830,10390.77,9576.43,10144.99,7739500032,9985.5475
2018-02-24,10144.99,10494.14,9372.72,9688.62,6917929984,9925.1175
2018-02-25,9688.61,9850,9324.75,9597.99,5706939904,9615.3375
2018-02-26,9600,10447.74,9404,10300,7287690240,9937.935
2018-02-27,10300,10845.07,10133.33,10566.57,6966179840,10461.2425
2018-02-28,10556.3,11044,10263,10307.27,6936189952,10542.6425
2018-03-01,10307.26,11075,10213.99,10895.92,7317279744,10623.0425
2018-03-02,10895.93,11149,10765,11000,7620590080,10952.4825
2018-03-03,11000.01,11494.57,11000,11432.5,6690570240,11231.77
2018-03-04,11432.51,11487,11041,11469.9,6084149760,11357.6025
2018-03-05,11469.9,11645.74,11339,11377.54,6468539904,11458.045
2018-03-06,11371.5,11395.63,10565.85,10700,6832169984,11008.245
2018-03-07,10700,10894,9400,9920,8797910016,10228.5
2018-03-08,9925,10098,9050,9304.9,7186089984,9594.475
2018-03-09,9304.9,9410,8370,9255,8704190464,9084.975
2018-03-10,9255,9518.77,8720.08,8795.44,5386319872,9072.3225
2018-03-11,8795.45,9760,8516,9533.88,6296370176,9151.3325
2018-03-12,9533.88,9890,8782.69,9120,6457399808,9331.6425
2018-03-13,9120,9472.88,8855,9145.41,5991139840,9148.3225
2018-03-14,9145.42,9340,7931,8207.03,6438230016,8655.8625
2018-03-15,8207.02,8400,7666,8259.99,6834429952,8133.2525
2018-03-16,8260,8600,7911,8275,5289379840,8261.5
2018-03-17,8274.09,8349.82,7751,7865.02,4426149888,8059.9825
2018-03-18,7857.59,8302.73,7310,8192,6639190016,7915.58
2018-03-19,8192,8757.5,8108.31,8589,6729110016,8411.7025
2018-03-20,8589,9046.26,8316.15,8900,6361789952,8712.8525
2018-03-21,8900,9174,8745,8891.81,6043129856,8927.7025
2018-03-22,8891.81,9073.93,8467.27,8715.09,5530390016,8787.025
2018-03-23,8715.09,8927.81,8280.04,8927.1,5954120192,8712.51
2018-03-24,8927.8,8999,8508,8531.34,5664600064,8741.535
2018-03-25,8531.96,8670,8359.45,8452.96,4569880064,8503.5925
