timestamp,date,open,high,low,close,volume
1601452800000,2020-09-30 08:00,2.049,3.48,2.049,2.85,13528.8815
1601467200000,2020-09-30 12:00,2.849,2.903,2.846,2.885,8331.0194
1601481600000,2020-09-30 16:00,2.897,2.906,2.831,2.849,3839.5782
1601496000000,2020-09-30 20:00,2.844,2.895,2.838,2.892,1003.5515
1601510400000,2020-10-01 00:00,2.897,2.947,2.897,2.922,1555.7055
1601524800000,2020-10-01 04:00,2.924,2.983,2.924,2.974,1820.6685
1601539200000,2020-10-01 08:00,2.979,2.998,2.951,2.951,1265.9824
1601553600000,2020-10-01 12:00,2.947,2.96,2.875,2.875,1233.9867
1601568000000,2020-10-01 16:00,2.852,2.852,2.665,2.77,6467.7254
1601582400000,2020-10-01 20:00,2.752,2.989,2.745,2.86,1557.2067
1601596800000,2020-10-02 00:00,2.863,2.881,2.825,2.846,2519.076
1601611200000,2020-10-02 04:00,2.853,2.866,2.649,2.659,7138.0215
1601625600000,2020-10-02 08:00,2.666,2.673,2.438,2.48,15220.0097
1601640000000,2020-10-02 12:00,2.48,2.658,2.464,2.632,3151.5608
1601654400000,2020-10-02 16:00,2.608,2.673,2.591,2.612,3088.8366
1601668800000,2020-10-02 20:00,2.622,2.637,2.614,2.616,201.513
1601683200000,2020-10-03 00:00,2.625,2.641,2.612,2.639,1284.6571
1601697600000,2020-10-03 04:00,2.643,2.646,2.623,2.639,541.4124
1601712000000,2020-10-03 08:00,2.633,2.643,2.609,2.643,4545.3436
1601726400000,2020-10-03 12:00,2.666,2.666,2.636,2.642,658.8306
1601740800000,2020-10-03 16:00,2.63,2.658,2.63,2.658,286.4522
1601755200000,2020-10-03 20:00,2.642,2.642,2.552,2.552,1066.0744
1601769600000,2020-10-04 00:00,2.534,2.549,2.461,2.499,2901.382
1601784000000,2020-10-04 04:00,2.507,2.55,2.507,2.55,2623.8127
1601798400000,2020-10-04 08:00,2.55,2.585,2.51,2.539,5268.8967
1601812800000,2020-10-04 12:00,2.538,2.542,2.488,2.488,2675.5779
1601827200000,2020-10-04 16:00,2.466,2.487,2.428,2.485,3155.0954
1601841600000,2020-10-04 20:00,2.482,2.531,2.482,2.531,2392.16
1601856000000,2020-10-05 00:00,2.548,2.565,2.522,2.522,4391.8523
1601870400000,2020-10-05 04:00,2.519,2.525,2.467,2.487,4082.7029
1601884800000,2020-10-05 08:00,2.488,2.536,2.484,2.532,7110.1007
1601899200000,2020-10-05 12:00,2.531,2.62,2.524,2.612,12608.8807
1601913600000,2020-10-05 16:00,2.639,2.662,2.609,2.628,4100.0674
1601928000000,2020-10-05 20:00,2.619,2.679,2.618,2.652,5626.28
1601942400000,2020-10-06 00:00,2.656,2.656,2.59,2.597,10534.0378
1601956800000,2020-10-06 04:00,2.595,2.606,2.529,2.541,3388.8817
1601971200000,2020-10-06 08:00,2.525,2.552,2.372,2.399,9324.2727
1601985600000,2020-10-06 12:00,2.413,2.452,2.347,2.448,8054.6917
1602000000000,2020-10-06 16:00,2.432,2.433,2.264,2.271,2951.7233
1602014400000,2020-10-06 20:00,2.276,2.276,2.14,2.149,2234.3611
1602028800000,2020-10-07 00:00,2.149,2.212,2.089,2.184,31487.3763
1602043200000,2020-10-07 04:00,2.18,2.307,2.165,2.259,20373.854
1602057600000,2020-10-07 08:00,2.264,2.264,2.18,2.23,19484.1623
1602072000000,2020-10-07 12:00,2.227,2.284,2.227,2.264,6029.6303
1602086400000,2020-10-07 16:00,2.245,2.4,2.225,2.327,13851.9374
1602100800000,2020-10-07 20:00,2.313,2.313,2.273,2.294,422.8625
1602115200000,2020-10-08 00:00,2.307,2.307,2.22,2.254,11188.8748
1602129600000,2020-10-08 04:00,2.245,2.245,2.021,2.092,14569.2343
1602144000000,2020-10-08 08:00,2.082,2.203,2.072,2.171,11637.5585
1602158400000,2020-10-08 12:00,2.174,2.44,2.164,2.44,11791.9755
1602172800000,2020-10-08 16:00,2.426,2.426,2.339,2.339,1142.0538
1602187200000,2020-10-08 20:00,2.342,2.395,2.339,2.371,1010.4741
1602201600000,2020-10-09 00:00,2.369,2.419,2.323,2.419,10416.6159
