adx_threshold,rsi_oversold,trail_mult,is_sharpe_avg,oos_sharpe_avg,oos_trades_total,full_sharpe,full_return_pct,full_max_dd_pct,full_win_rate_pct,full_trades,full_pf,halted
25,5,2.0,0.04,-0.608,23,0.006,-0.24,-6.46,29.9,127,1.01,False
25,15,2.0,0.04,-0.608,23,0.006,-0.24,-6.46,29.9,127,1.01,False
25,10,2.0,0.04,-0.608,23,0.006,-0.24,-6.46,29.9,127,1.01,False
25,5,2.5,0.174,-0.717,20,0.199,4.33,-3.95,30.7,101,1.21,False
25,10,2.5,0.174,-0.717,20,0.199,4.33,-3.95,30.7,101,1.21,False
25,15,2.5,0.174,-0.717,20,0.199,4.33,-3.95,30.7,101,1.21,False
30,15,2.5,0.125,-1.251,17,0.011,0.01,-3.7,30.6,72,1.02,False
30,5,2.5,0.125,-1.251,17,0.011,0.01,-3.7,30.6,72,1.02,False
30,10,2.5,0.125,-1.251,17,0.011,0.01,-3.7,30.6,72,1.02,False
30,10,2.0,0.099,-1.652,18,0.006,-0.17,-4.42,34.4,90,1.01,False
30,15,2.0,0.099,-1.652,18,0.006,-0.17,-4.42,34.4,90,1.01,False
30,5,2.0,0.099,-1.652,18,0.006,-0.17,-4.42,34.4,90,1.01,False
20,10,2.5,-0.007,-1.868,38,0.03,0.39,-7.4,27.0,159,1.03,False
20,5,2.5,-0.007,-1.868,38,0.03,0.39,-7.4,27.0,159,1.03,False
20,15,2.5,-0.007,-1.868,38,0.03,0.39,-7.4,27.0,159,1.03,False
20,10,2.0,-0.142,-1.909,47,-0.201,-6.38,-11.07,25.4,181,0.88,True
20,15,2.0,-0.142,-1.909,47,-0.201,-6.38,-11.07,25.4,181,0.88,True
20,5,2.0,-0.142,-1.909,47,-0.201,-6.38,-11.07,25.4,181,0.88,True
25,5,1.5,-0.136,-1.935,39,-0.234,-6.24,-8.13,31.1,164,0.88,True
25,15,1.5,-0.136,-1.935,39,-0.234,-6.24,-8.13,31.1,164,0.88,True
25,10,1.5,-0.136,-1.935,39,-0.234,-6.24,-8.13,31.1,164,0.88,True
30,10,1.5,-0.035,-2.516,32,-0.207,-5.0,-8.28,33.6,128,0.88,False
30,5,1.5,-0.035,-2.516,32,-0.207,-5.0,-8.28,33.6,128,0.88,False
30,15,1.5,-0.035,-2.516,32,-0.207,-5.0,-8.28,33.6,128,0.88,False
20,10,1.5,-0.32,-3.273,71,-0.32,-6.06,-9.46,29.7,145,0.87,True
20,5,1.5,-0.32,-3.273,71,-0.32,-6.06,-9.46,29.7,145,0.87,True
20,15,1.5,-0.32,-3.273,71,-0.32,-6.06,-9.46,29.7,145,0.87,True
