adx_threshold,rsi_oversold,trail_mult,is_sharpe_avg,oos_sharpe_avg,oos_trades_total,full_sharpe,full_return_pct,full_max_dd_pct,full_win_rate_pct,full_trades,full_pf,halted
30,5,2.5,-1.122,-1.265,145,-1.122,-6.11,-6.11,31.7,63,0.68,True
30,10,2.5,-1.105,-1.391,148,-1.105,-6.03,-6.03,33.8,65,0.68,True
25,5,2.5,-0.154,-1.715,178,-0.154,-6.08,-15.52,34.1,402,0.98,True
30,15,2.5,-1.146,-1.805,148,-1.146,-6.26,-6.26,33.8,65,0.67,True
25,10,2.5,-0.154,-1.809,181,-0.154,-6.07,-15.43,34.6,408,0.98,True
20,5,2.5,-0.946,-1.9,234,-0.946,-6.21,-6.3,29.9,97,0.76,True
20,10,2.5,-0.944,-1.948,237,-0.944,-6.06,-6.28,30.2,96,0.76,True
25,15,2.5,-0.156,-1.964,184,-0.156,-6.12,-13.89,34.2,404,0.98,True
20,15,2.5,-2.714,-2.08,240,-2.714,-6.11,-6.11,26.9,52,0.52,True
30,5,2.0,-1.264,-2.086,163,-1.264,-6.19,-6.19,32.8,61,0.68,True
30,10,2.0,-1.407,-2.159,166,-1.407,-6.3,-6.3,31.6,57,0.65,True
30,15,2.0,-1.451,-2.324,169,-1.451,-6.42,-6.42,31.6,57,0.65,True
25,5,2.0,-1.327,-2.335,205,-1.327,-6.39,-6.39,33.3,72,0.7,True
30,5,1.5,-3.166,-2.348,190,-3.166,-6.01,-6.01,23.3,30,0.45,True
25,10,2.0,-1.299,-2.384,208,-1.299,-6.27,-6.27,35.1,74,0.7,True
30,10,1.5,-3.166,-2.47,188,-3.166,-6.01,-6.01,23.3,30,0.45,True
25,15,2.0,-1.285,-2.531,211,-1.285,-6.25,-6.25,35.1,74,0.7,True
30,15,1.5,-3.111,-2.584,191,-3.111,-6.02,-6.02,23.3,30,0.45,True
25,5,1.5,-3.406,-2.674,246,-3.406,-6.39,-6.39,22.9,35,0.47,True
25,10,1.5,-3.406,-2.787,247,-3.406,-6.39,-6.39,22.9,35,0.47,True
20,5,2.0,-2.346,-2.814,260,-2.346,-6.34,-6.34,26.3,57,0.6,True
25,15,1.5,-3.344,-2.899,250,-3.344,-6.17,-6.17,21.2,33,0.47,True
20,10,2.0,-2.346,-3.105,245,-2.346,-6.34,-6.34,26.3,57,0.6,True
20,15,2.0,-2.307,-3.225,248,-2.307,-6.33,-6.33,26.3,57,0.6,True
20,5,1.5,-3.256,-4.657,264,-3.256,-6.24,-6.24,28.9,45,0.53,True
20,10,1.5,-3.256,-4.713,266,-3.256,-6.24,-6.24,28.9,45,0.53,True
20,15,1.5,-3.256,-4.718,266,-3.256,-6.24,-6.24,28.9,45,0.53,True
