Date,BTC,ETH,SOL,DOGE,LINK,ADA,XLM,BCH,LTC,ZEC,DOT,UNI,AAVE,ETC,FIL,ATOM,ALGO,ICP,AVAX,NEAR,INJ,HBAR,APT,SUI,XRP
2021-08-23,49506.5,3323.12,75.655,0.3179,28.57527,2.9179,0.379048,678.63,187.08,165.4,27.894,28.8082,408.221,68.219,79.75,21.834,1.1611,65.685,,,,,,,
2021-08-24,47682.45,3171.52,70.591,0.2888,25.72353,2.7209,0.35045,637.44,173.54,155.36,25.088,26.6335,378.081,62.812,74.3381,19.542,1.0369,59.25,,,,,,,
2021-08-25,48987.33,3228.51,71.986,0.2924,26.60966,2.7402,0.358815,651.15,177.87,163.65,25.995,27.0715,384.639,63.72,76.5259,20.057,1.0651,62.181,,,,,,,
2021-08-26,46851.47,3093.2,74.823,0.2684,24.39997,2.5301,0.335194,606.26,167.74,144.07,23.932,25.5302,350.995,59.761,72.3347,17.936,0.9891,56.54,,,,,,,
2021-08-27,49077.57,3274.67,88.053,0.2948,26.05013,2.9477,0.357212,635.98,176.32,152.28,26.543,27.4246,373.031,64.11,75.2657,20.427,1.0651,62.79,,,,,,,
2021-08-28,48942.94,3247.99,96.246,0.2863,25.75,2.8494,0.347963,646.99,175.75,150.7,25.98,26.8274,367.466,64.225,73.9986,21.332,1.0395,65.121,,,,,,,
2021-08-29,48802.58,3226.46,94.287,0.2813,25.78479,2.853,0.343255,659.64,174.48,148.34,25.735,26.7985,364.207,63.216,73.7447,21.2,1.0225,72.1,,,,,,,
2021-08-30,46993.71,3229.01,110.347,0.272,25.04159,2.7368,0.329896,633.0,167.34,141.25,26.03,26.8283,357.91,61.847,71.1833,22.15,1.0207,64.776,,,,,,,
2021-08-31,47112.5,3430.23,108.29,0.2783,26.70915,2.7698,0.339228,636.82,171.57,143.85,31.353,29.3959,391.836,63.769,75.9753,22.924,1.113,62.84,,,,,,,
2021-09-01,48839.86,3829.39,110.671,0.2945,29.74617,2.8707,0.353546,655.74,180.86,151.71,33.2,31.3669,413.374,68.726,78.6623,25.431,1.1617,66.245,,,,,,,
2021-09-02,49279.37,3787.97,128.346,0.2948,29.96,2.9635,0.35918,664.59,183.39,150.63,31.814,29.9413,399.741,67.586,77.3892,24.156,1.1434,64.535,,,,,,,
2021-09-03,50025.0,3940.06,146.524,0.2963,30.78178,2.9677,0.368937,713.91,213.28,156.54,33.601,28.6593,395.277,70.04,77.6829,24.098,1.218,65.85,,,,,,,
2021-09-04,49942.98,3887.53,138.998,0.2994,29.90164,2.833,0.369785,709.53,212.12,160.33,32.384,28.5789,398.398,68.86,95.0879,24.434,1.2082,78.417,,,,,,,
2021-09-05,51789.17,3952.17,142.138,0.3147,33.57233,2.9135,0.39799,765.18,232.3,173.03,34.454,29.3759,417.048,73.565,113.6299,25.741,1.3152,79.385,,,,,,,
2021-09-06,52698.81,3928.89,164.316,0.3091,34.8276,2.8349,0.423887,784.93,219.47,171.31,34.355,28.8434,408.63,73.516,106.3042,25.113,1.4601,79.572,,,,,,,
2021-09-07,46894.5,3436.96,173.4,0.2557,28.27129,2.5238,0.335784,673.48,178.36,136.45,27.965,24.3113,346.648,59.285,84.3707,21.135,1.2764,61.27,,,,,,,
2021-09-08,46060.36,3500.34,191.03,0.2567,27.17837,2.47,0.330019,662.92,179.7,135.52,27.778,23.1468,330.521,58.707,88.4365,20.7,1.9129,61.535,,,,,,,
2021-09-09,46400.0,3424.95,187.908,0.2527,27.98,2.5182,0.33267,661.28,180.42,137.52,29.842,23.2851,329.929,58.902,88.6027,26.791,2.3012,60.808,,,,,,,
2021-09-10,44851.45,3209.82,179.51,0.2398,26.39417,2.3826,0.317036,628.72,174.16,128.25,29.2,22.3286,312.019,56.307,82.4663,29.421,2.0152,56.918,,,,,,,
2021-09-11,45171.83,3266.77,179.122,0.2411,27.00796,2.6364,0.32516,636.48,178.56,128.41,31.57,22.7396,328.852,57.049,81.6259,27.337,1.9948,58.113,,,,,,,
2021-09-12,46024.23,3403.75,174.272,0.2502,29.4084,2.5806,0.332402,646.55,182.96,131.27,35.825,23.7246,333.267,58.077,83.6347,34.894,2.3787,59.433,,,,,,,
2021-09-13,44947.72,3286.2,169.797,0.236,26.96742,2.4022,0.318635,614.35,179.36,127.69,34.859,22.6597,331.046,55.767,77.9757,35.767,2.1632,55.058,,,,,,,
2021-09-14,47127.22,3436.29,158.64,0.2407,30.82583,2.3987,0.331347,640.94,183.09,133.88,37.38,25.6737,384.107,57.1,80.7942,34.237,2.0381,56.924,,,,,,,
2021-09-15,48148.12,3615.65,158.433,0.2477,30.68,2.5052,0.341137,653.1,189.24,139.84,36.456,27.4731,414.753,59.32,86.2968,34.125,2.0153,61.444,,,,,,,
2021-09-16,47753.16,3568.66,152.043,0.242,29.79906,2.4169,0.33085,639.3,185.33,137.87,35.531,26.2444,384.077,57.945,84.7343,37.112,2.038,57.888,,,,,,,
2021-09-17,47303.5,3400.0,147.592,0.2401,27.74473,2.3509,0.319506,621.33,180.0,133.91,33.055,24.3316,353.647,56.679,85.8011,33.458,1.9249,56.471,,,,,,,
2021-09-18,48314.56,3436.31,169.336,0.2414,28.40642,2.3706,0.322153,630.71,181.38,138.63,34.869,24.5432,355.266,57.184,84.2967,40.802,2.0716,58.569,,,,,,,
2021-09-19,47255.92,3328.59,152.842,0.2329,27.3836,2.2833,0.313381,609.05,175.76,133.57,33.853,23.8949,340.127,55.337,83.5543,44.306,1.9747,57.216,,,,,,,
2021-09-20,43012.97,2976.48,132.567,0.2087,23.56574,2.0812,0.282229,542.23,157.23,118.93,28.319,20.9039,291.832,49.083,74.4014,33.887,1.6756,47.609,,,,,,,
2021-09-21,40719.6,2765.69,124.3,0.2009,21.42447,1.987,0.266062,504.22,148.52,111.75,26.368,19.0497,271.572,45.856,69.5089,30.455,1.5753,44.792,,,,,,,
2021-09-22,43575.1,3078.43,148.197,0.2245,24.46555,2.2588,0.292652,547.92,161.5,121.46,31.604,21.6329,302.104,51.292,74.5267,39.725,1.8463,49.907,,,,,,,
2021-09-23,44897.59,3154.62,150.034,0.2246,25.44375,2.3281,0.303016,553.06,163.92,122.67,33.425,21.4994,309.145,51.28,74.6622,41.544,2.0036,50.611,,,,,,,
2021-09-24,42848.92,2930.61,139.308,0.2092,23.28734,2.2802,0.281215,513.61,152.25,110.81,30.841,19.6567,280.8,47.735,63.3609,42.569,1.7866,46.11,,,,,,,
2021-09-25,42705.51,2924.01,136.117,0.2084,24.51968,2.3022,0.277109,517.03,151.01,110.78,29.848,19.467,274.413,47.398,60.467,39.488,1.7312,45.84,,,,,,,
2021-09-26,43178.02,3060.71,135.698,0.2051,24.63255,2.2075,0.276205,503.39,150.74,111.37,28.86,24.0475,294.089,47.232,55.8459,39.812,1.7767,43.69,,,,,,,
2021-09-27,42171.76,2925.27,136.35,0.1999,23.03109,2.1303,0.265113,488.31,145.16,104.41,27.752,22.3949,273.027,45.419,59.0303,37.218,1.6744,42.499,,,,,,,
2021-09-28,41026.07,2805.65,132.182,0.1968,22.09162,2.0374,0.256825,474.09,140.54,100.88,26.33,23.0788,261.011,45.077,55.297,33.687,1.565,40.891,,,,,,,
2021-09-29,41522.16,2850.14,135.304,0.1987,22.86,2.066,0.269626,484.86,144.78,103.36,27.27,23.0019,264.919,45.508,57.0425,33.848,1.6081,44.354,,,,,,,
2021-09-30,43824.43,3000.46,141.358,0.2042,24.0,2.1155,0.278787,502.81,153.3,107.16,28.616,23.5281,276.556,47.044,60.075,36.223,1.6271,45.068,66.73,,,,,,
2021-10-01,48165.76,3311.16,161.649,0.2228,26.33045,2.2554,0.30044,544.01,166.23,114.81,31.953,25.6453,302.636,51.927,71.5018,37.854,1.773,51.663,67.79,,,,,,
2021-10-02,47657.69,3387.82,168.979,0.2187,26.90795,2.2489,0.316626,552.25,169.03,114.34,32.034,26.123,314.22,53.26,69.7208,38.617,1.7693,49.615,69.14,,,,,,
2021-10-03,48233.99,3420.07,173.129,0.2218,27.58486,2.2531,0.315003,571.41,170.67,118.84,32.114,26.0389,310.682,53.671,69.1321,38.767,1.986,50.354,69.54,,,,,,
2021-10-04,49245.54,3387.2,167.212,0.2415,26.62653,2.1915,0.310451,550.68,167.53,116.98,31.152,25.3464,300.945,52.533,69.804,36.785,1.9403,48.934,65.37,,,,,,
2021-10-05,51493.99,3515.3,164.623,0.2519,27.23022,2.2331,0.319111,594.7,173.79,123.29,31.4,25.6411,307.825,54.311,71.0043,36.75,1.9505,54.446,64.69,,,,,,
2021-10-06,55339.48,3575.85,153.922,0.2542,26.80818,2.2107,0.357927,617.19,178.5,125.5,32.201,25.2599,311.389,54.744,71.84,35.142,1.8127,52.765,60.11,,,,,,
2021-10-07,53797.82,3588.51,154.338,0.2428,26.82026,2.2783,0.3437,611.62,178.61,125.4,33.98,25.536,305.665,54.304,71.4543,36.687,1.8916,50.924,61.43,,,,,,
2021-10-08,53963.82,3563.96,158.833,0.2441,26.39,2.238,0.336298,596.51,175.91,123.47,33.349,24.7633,307.908,53.664,79.5547,35.004,1.8985,49.207,60.45,,,,,,
2021-10-09,54962.29,3575.83,156.827,0.2466,27.42832,2.2689,0.3532,615.27,180.0,127.54,36.325,25.1523,307.302,55.61,77.0231,35.163,1.8929,49.546,60.62,,,,,,
2021-10-10,54690.53,3415.0,147.624,0.2288,25.5494,2.1897,0.331167,585.11,174.92,119.32,34.441,24.1543,287.953,52.968,69.8766,32.43,1.7664,44.925,56.88,,,,,,
2021-10-11,57487.44,3542.37,144.853,0.2312,25.23441,2.1715,0.344416,600.93,179.2,119.71,34.122,24.1669,290.574,53.966,73.5112,32.02,1.7162,45.048,55.34,,,,,,
2021-10-12,56005.1,3490.61,152.452,0.2262,24.62765,2.1176,0.332553,587.92,172.63,116.18,35.187,23.4691,283.861,52.677,69.7772,33.477,1.7481,43.176,54.3,,,,,,
2021-10-13,57367.32,3608.21,148.039,0.2328,25.68025,2.1891,0.368113,593.29,177.61,119.34,41.68,24.6794,297.753,53.362,68.2547,34.613,1.8377,43.158,55.07,,,,,,
2021-10-14,57359.51,3791.66,150.016,0.2327,26.72471,2.1743,0.369775,599.13,181.5,121.7,40.701,26.4444,303.69,54.477,70.3648,33.828,1.8121,42.894,56.28,,,,,,
2021-10-15,61695.39,3869.73,163.214,0.2342,27.01479,2.2172,0.361575,625.5,189.63,126.34,43.281,25.8824,301.537,54.28,67.3144,33.049,1.7549,43.094,56.37,,,,,,
2021-10-16,60877.42,3829.66,157.562,0.2373,27.22954,2.1784,0.396764,625.36,186.05,126.0,41.765,27.0695,304.885,54.129,66.4994,33.121,1.798,46.001,57.57,,,,,,
2021-10-17,61527.11,3847.18,160.097,0.2377,26.53806,2.1589,0.383525,612.41,183.73,137.91,42.11,25.9206,304.646,53.083,63.8848,32.433,1.7684,44.096,56.12,,,,,,
2021-10-18,62042.41,3745.48,157.15,0.2473,25.70439,2.1283,0.379591,611.26,185.63,140.79,41.173,25.6672,293.859,52.425,63.4931,31.876,1.7372,43.808,55.53,,,,,,
2021-10-19,64303.14,3878.17,155.85,0.2454,25.91872,2.1094,0.373842,618.5,188.73,144.15,41.36,26.0311,303.628,52.904,62.9684,35.035,1.71,43.808,56.84,,,,,,
2021-10-20,66026.54,4161.94,176.787,0.2548,27.49721,2.1898,0.391646,644.73,207.32,149.93,44.433,27.1322,316.699,55.533,67.1392,35.92,1.7906,46.95,59.63,,,,,,
2021-10-21,62204.02,4053.9,190.473,0.2424,28.27285,2.1367,0.373287,623.29,196.81,154.98,42.847,26.1109,314.875,55.28,63.6277,34.291,1.7838,44.67,61.5,,,,,,
2021-10-22,60687.64,3971.55,196.247,0.2445,28.66153,2.1555,0.372363,624.17,190.98,164.96,43.511,25.6434,310.002,54.463,65.9799,34.07,1.8599,45.022,65.59,,,,,,
2021-10-23,61300.01,4168.56,197.707,0.2511,31.37851,2.1661,0.378111,629.11,196.42,173.52,43.943,26.8581,324.046,55.863,64.8028,35.691,1.9071,45.447,65.41,,,,,,
2021-10-24,60854.48,4082.64,202.304,0.2756,29.70899,2.1198,0.372166,617.08,190.48,172.82,42.29,25.823,307.803,54.896,62.5854,34.252,1.815,43.326,64.71,,,,,,
2021-10-25,63083.54,4220.93,209.6,0.265,32.38565,2.145,0.388,621.54,195.37,169.99,44.542,26.7515,312.872,55.349,63.9361,35.289,2.0482,48.739,69.8,,,,,,
2021-10-26,60337.62,4131.47,199.857,0.2559,32.54232,2.1372,0.373318,611.81,197.51,161.1,44.913,26.564,329.236,54.188,62.8075,43.342,2.0428,46.849,68.91,,,,,,
2021-10-27,58455.47,3923.94,184.682,0.238,28.91076,1.9105,0.330444,548.86,179.35,147.2,40.425,24.1892,324.546,48.611,55.397,36.776,1.795,40.66,62.02,,,,,,
2021-10-28,60591.65,4288.26,195.377,0.2997,30.19988,1.9874,0.342845,578.95,189.89,159.23,41.834,24.9087,339.125,52.17,58.1557,38.02,1.8452,43.189,64.47,,,,,,
2021-10-29,62276.72,4421.23,200.439,0.288,30.96101,2.015,0.362277,595.14,196.69,162.7,44.183,25.5418,328.055,53.865,60.2211,39.58,1.876,45.452,64.81,,,,,,
2021-10-30,61892.41,4324.67,195.913,0.2691,29.80182,1.9552,0.358558,585.33,190.38,153.07,42.715,24.9333,319.245,52.903,61.4501,37.315,1.8209,43.413,62.51,,,,,,
2021-10-31,61343.68,4290.16,202.673,0.2802,30.02323,1.9668,0.373205,597.04,192.01,167.25,42.803,25.0181,314.557,54.41,64.4726,37.226,1.83,44.985,64.66,,,,,,
2021-11-01,60949.54,4322.89,204.035,0.2718,31.68755,1.9493,0.366253,587.37,197.65,170.0,50.007,25.6103,324.288,53.821,63.8707,37.314,1.8344,47.054,65.09,,,,,,
2021-11-02,63266.51,4595.01,221.168,0.2742,32.28399,1.972,0.382749,599.07,201.03,171.81,51.713,26.174,325.229,55.232,64.6853,37.083,1.8647,47.259,67.89,,,,,,
2021-11-03,62935.41,4606.07,243.553,0.269,31.96549,2.0644,0.385354,611.44,207.31,168.4,53.4,26.9062,325.39,55.457,64.0199,38.537,1.9332,46.703,76.48,,,,,,
2021-11-04,61444.5,4537.15,247.244,0.2631,31.00373,1.9826,0.368979,596.13,202.9,163.84,53.899,25.7672,333.196,53.677,62.5012,37.529,1.8592,46.069,79.6,,,,,,
2021-11-05,61006.15,4479.47,236.364,0.261,32.89255,1.9833,0.359109,598.22,199.13,162.9,51.827,25.5901,326.484,53.139,63.5485,36.771,1.8439,49.427,74.26,,,,,,
2021-11-06,61539.31,4523.16,258.763,0.2621,32.0803,2.0062,0.359507,588.08,197.77,159.72,52.098,25.1848,318.5,52.892,61.957,36.259,1.8375,49.588,78.6,,,,,,
2021-11-07,63309.13,4617.02,249.808,0.2667,32.35652,2.0228,0.363986,600.9,202.23,164.05,52.253,25.344,320.235,54.095,62.6022,35.735,1.8678,53.559,87.91,,,,,,
2021-11-08,67554.84,4811.9,248.422,0.2821,34.47181,2.1271,0.378242,638.53,229.11,170.75,53.41,26.2625,332.307,56.586,64.2738,36.623,2.0474,54.774,91.52,,,,,,
2021-11-09,66944.66,4731.59,239.045,0.2737,33.84002,2.2687,0.412511,717.57,262.16,200.26,50.77,26.3587,336.634,60.863,66.7251,35.829,1.946,52.559,88.9,,,,,,
2021-11-10,64912.2,4632.22,233.277,0.2557,34.23874,2.0996,0.38343,663.19,260.18,179.95,46.797,25.2827,312.615,56.831,63.5555,32.177,1.9342,48.274,85.8,,,,,,
2021-11-11,64807.59,4721.87,233.498,0.2606,34.70121,2.0792,0.390968,676.34,262.3,204.75,47.49,25.3868,312.099,56.728,62.7615,32.939,2.021,47.707,88.61,,,,,,
