symbol,quantity,market_value_usd,unrealized_gain_usd
BTC,0.19574798,15143.85,5709.25
ETH,0.85940756,2103.78,1332.36
LINK,56.26062444,642.52,257.96
SOL,4.018129356,380.54,97.67
SUI,250.067117748,207.98,420.19
CAKE,95.45,166.85,161.19
UNI,34.53594574,154.97,315.13
ONDO,352.73276668,132.09,174.77
NEAR,64.7294328259753,131.92,137.74
AERO,263.3554319,124.86,97.01
HBAR,1573.6,,402.72
CFG,491.5265419,72.03,77.28
SYRUP,233.1,46.49,49.79
ARB,324.21298055,32.44,288.91
DOGE,347.3,32.04,85.56
ENA,183.1,29.76,45.11
KMNO,953,23.43,35.82
EIGEN,45,10.28,51.95
IP,23.33,4.53,206.55
MOVE,379.7,3.11,248.22
