Description,Symbol,Quantity,Total Cost Basis,Estimated Market Value,Unrealized Gain/(Loss)
ABCELLERA BIOLOGICS INC REG SHS,ABCL,2.0000,6.50,15.70,9.20
AEHR TEST SYS,AEHR,1.0000,38.53,96.06,57.53
AMERICAN BATTERY TECH CO REGI,ABAT,2.0000,8.30,5.66,-2.64
AMERICAN RESOURCES CORP,AREC,5.0000,14.55,10.75,-3.80
AST SPACEMOBILE INC,ASTS,1.0000,76.07,88.86,12.79
AT&T INC,T,1.0000,18.04,20.70,2.66
AVINO SILVER & GOLD MNS,ASM,1.0000,7.77,6.34,-1.43
AXT INC DELAWARE COM,AXTI,1.0000,33.75,72.08,38.33
BIGBEAR.AI HOLDINGS INC,BBAI,5.0000,24.40,18.35,-6.05
BROADCOM INC,AVGO,1.0000,377.16,377.75,0.59
CAMBER ENERGY INC 33REG SHS,CEIN,1.0000,8.00,0.02,-7.98
CELESTICA INC,CLS,1.0000,288.56,364.80,76.24
COGNEX CORP,CGNX,1.0000,42.20,72.42,30.22
COHERENT CORP,COHR,1.0000,254.17,394.47,140.30
COINBASE GLOBAL INC REG SHS CL A,COIN,2.0000,367.63,292.38,-75.25
CONSTELLATION ENERGY CORP REG SHS,CEG,1.0000,336.54,248.37,-88.17
CORNING INC,GLW,1.0000,88.34,255.43,167.09
ENERGY FUELS INC SHS,UUUU,2.0000,29.19,29.00,-0.19
HESAI GROUP,HSAI,1.0000,20.55,18.22,-2.33
HIMS AND HERS HEALTH INC REG SHS-A CL A,HIMS,1.0000,35.64,34.67,-0.97
HIVE DIGITAL TECHNOLOGIES LTD REG,HIVE,20.0000,64.50,72.80,8.30
ILUKA RESOURCES LIMITED AUD PAR ORDINARY,ILKAF,1.0000,3.88,4.90,1.02
LAM RESH CORP,LRCX,1.0000,161.35,433.33,271.98
LYNAS RARE EARTHS LTD,LYSDY,1.0000,8.40,12.58,4.18
MARVELL TECH INC,MRVL,1.0000,89.38,297.89,208.51
META MATERIALS INC REGITERED SHS,MMATO,1.0000,17.87,,
METAPLANET INC JPY PAR ORDINARY,MTPLF,10.0000,51.00,12.31,-38.69
METHODE ELECTRNCS INC,MEI,2.0000,15.70,37.94,22.24
MODINE MFG CO,MOD,1.0000,225.60,267.02,41.42
MP MATERIALS CORP REG CL A SHS,MP,1.0000,67.81,56.01,-11.80
NEBIUS GROUP NV A,NBIS,1.0000,88.52,276.17,187.65
NEXTERA ENERGY INC SHS,NEE,1.0000,92.42,87.77,-4.65
NVENT ELEC PLC REG SHS,NVT,1.0000,122.62,169.61,46.99
NVIDIA,NVDA,3.0000,217.48,600.27,382.79
OKLO INC CLA,OKLO,1.0000,68.57,52.33,-16.24
ONDAS INC,ONDS,1.0000,10.07,8.24,-1.83
QUANTUM COMPUTING INC,QUBT,4.0000,28.36,38.80,10.44
RIGETTI COMPUTING INC REG SHS,RGTI,2.0000,12.98,38.64,25.66
RIOT PLATFORMS INC,RIOT,2.0000,19.41,54.76,35.35
ROCKET LAB CORP REG SHS,RKLB,1.0000,75.23,101.65,26.42
SOFI TECHNOLOGIES INC,SOFI,1.0000,13.38,17.93,4.55
STRIVE INC REG SHS CL A,ASST,1.0000,19.78,10.91,-8.87
TESLA INC,TSLA,1.0000,254.40,420.60,166.20
UCORE RARE METALS INC REG SHS,UURAF,2.0000,8.96,6.89,-2.07
UIPATH INC CL A,PATH,1.0000,15.26,10.87,-4.39
USA RARE EARTH INC,USAR,1.0000,21.38,21.58,0.20
VERTIV HLDG CO,VRT,1.0000,169.21,334.82,165.61
VIATRIS INC,VTRS,3.0000,32.25,47.64,15.39
VISTRA CORP,VST,1.0000,173.65,158.63,-15.02
VNET GROUP INC SPONSORED ADR,VNET,5.0000,37.26,40.20,2.94
WALMART INC,WMT,1.0000,123.97,113.26,-10.71
ARK GENOMIC REVOLUTION ETF,ARKG,1.0000,30.74,42.06,11.32
DEFIANCE QUANTUM SHS,QTUM,2.0000,190.16,330.76,140.60
DIREXION DALY SMCNDUCT BULL 3X ETF,SOXL,1.0000,49.69,266.71,217.02
FIRST TRST NASD CL EDG S,GRID,1.0000,171.92,191.75,19.83
FIRST TRUST RBA AMERICAN INDUSTRIAL RENAISSANCE TM ETF,AIRR,1.0000,104.94,133.25,28.31
GLOBAL X COPPER MINERS ETF,COPX,1.0000,91.70,76.97,-14.73
GLOBAL X FUNDS SHS US INFRASTRUCTURE DEVFUND ETF,PAVE,1.0000,55.38,58.92,3.54
INVESCO SOLAR ETF,TAN,1.0000,50.33,59.15,8.82
ISHARES MSCI SOUTH KOREA ETF,EWY,1.0000,126.50,201.90,75.40
ISHARES US AEROSPACE ETF,ITA,1.0000,203.29,242.42,39.13
ISHARES MSCI BRAZIL ETF,EWZ,1.0000,37.43,34.50,-2.93
MEDICAL BREAKTHROUGHS ET,SBIO,1.0000,49.44,64.65,15.21
PROSHARES ULTRA RUSSELL 2000,UWM,1.0000,49.58,67.23,17.65
SPROTT URANIUM MINERS ETF SHS,URNM,1.0000,61.53,52.59,-8.94
STATE STREET SPDR S&P 500 ETF,SPY,1.0000,399.26,746.77,347.51
VANECK RARE EARTH AND STRAT METALS,REMX,1.0000,88.31,88.50,0.19
VANECK SEMICONDUCTOR ETF,SMH,1.0000,389.42,655.89,266.47
WORLD GOLD TR SHS SPDR GOLD MINISH,GLDM,4.0000,189.72,317.68,127.96
