date,symbol,usd,price
2022-08-23,BTC,4000.0,21528.34
2022-08-23,ADA,400.0,0.466
2022-08-23,XLM,400.0,0.110676
2022-08-23,ALGO,400.0,0.3078
2022-08-24,BTC,4000.0,21367.12
2022-08-24,ADA,400.0,0.4577
2022-08-24,XLM,400.0,0.109482
2022-08-24,ALGO,400.0,0.3023
2022-08-25,BTC,4000.0,21561.86
2022-08-25,ADA,400.0,0.4642
2022-08-25,XLM,400.0,0.110401
2022-08-25,ALGO,400.0,0.3074
2022-08-26,BTC,4000.0,20240.72
2022-08-26,SOL,400.0,31.74
2022-08-26,LINK,400.0,6.504
2022-08-26,ADA,400.0,0.4317
2022-08-26,XLM,400.0,0.103859
2022-08-26,BCH,400.0,116.03
2022-08-26,ZEC,400.0,60.79
2022-08-26,DOT,400.0,6.922
2022-08-26,FIL,400.0,5.663
2022-08-26,ALGO,400.0,0.2831
2022-08-26,ICP,400.0,5.742
2022-08-27,BTC,4000.0,20036.69
2022-08-27,SOL,400.0,31.54
2022-08-27,LINK,400.0,6.533
2022-08-27,ADA,400.0,0.45
2022-08-27,XLM,400.0,0.105574
2022-08-27,BCH,400.0,115.26
2022-08-27,ZEC,400.0,61.36
2022-08-27,DOT,400.0,7.044
2022-08-27,FIL,400.0,5.83
2022-08-27,ALGO,400.0,0.2889
2022-08-28,BTC,4000.0,19554.03
2022-08-28,SOL,400.0,30.45
2022-08-28,LINK,400.0,6.251
2022-08-28,BCH,400.0,112.59
2022-08-28,ZEC,400.0,61.17
2022-08-28,DOT,400.0,6.861
2022-08-28,FIL,400.0,5.639
2022-08-29,BTC,4000.0,20286.97
2022-08-29,SOL,400.0,32.41
2022-08-29,LINK,400.0,6.7
2022-08-29,DOT,400.0,7.276
2022-08-29,FIL,400.0,6.017
2022-08-30,BTC,4000.0,19813.17
2022-08-30,SOL,400.0,31.48
2022-08-30,LINK,400.0,6.558
2022-08-30,BCH,400.0,114.69
2022-08-30,ZEC,400.0,59.94
2022-08-30,DOT,400.0,7.012
2022-08-30,FIL,400.0,5.711
2022-08-31,BTC,4000.0,20048.26
2022-08-31,BCH,400.0,115.12
2022-08-31,ZEC,400.0,59.79
2022-09-01,BTC,4000.0,20133.65
2022-09-15,ICP,400.0,6.13
2022-09-18,ICP,400.0,5.847
2022-09-19,ICP,400.0,6.062
2022-09-20,ICP,400.0,5.925
2022-11-09,ETH,4000.0,1099.9
2022-11-20,ETH,4000.0,1140.07
2022-11-21,ETH,4000.0,1105.91
2022-11-22,ETH,4000.0,1138.17
2022-11-23,ETH,4000.0,1183.53
2022-11-28,ETH,4000.0,1167.24
2022-12-16,ETH,4000.0,1166.98
2022-12-17,ETH,4000.0,1187.06
2022-12-18,ETH,4000.0,1183.32
2022-12-19,ETH,4000.0,1167.6
