date,close,volume
2019-01-02,11.39,1715
2019-01-03,11.29,1372
2019-01-04,11.57,1980
2019-01-07,11.71,1714
2019-01-08,12.01,2245
2019-01-09,12.21,1653
2019-01-10,12.28,1655
2019-01-11,12.12,1077
2019-01-14,12.12,1288
2019-01-15,12.41,3203
2019-01-16,12.40,1507
2019-01-17,11.83,4290
2019-01-18,11.86,2003
2019-01-22,11.57,2042
2019-01-23,11.50,1830
2019-01-24,11.66,1263
2019-01-25,12.11,1422
2019-01-28,12.05,1479
2019-01-29,12.33,1887
2019-01-30,12.04,3685
2019-01-31,12.12,1483
2019-02-01,12.11,1032
2019-02-04,12.78,3870
2019-02-05,12.94,3465
2019-02-06,12.69,2614
2019-02-07,12.69,1847
2019-02-08,12.34,2554
2019-02-11,12.32,3485
2019-02-12,12.12,2228
2019-02-13,12.16,1422
2019-02-14,12.17,1232
2019-02-15,12.31,1368
2019-02-19,11.85,3007
2019-02-20,12.03,1866
2019-02-21,12.08,1330
2019-02-22,12.25,1301
2019-02-25,12.13,2255
2019-02-26,11.95,1461
2019-02-27,11.87,1596
2019-02-28,11.59,2053
2019-03-01,11.53,1399
2019-03-04,11.50,1798
2019-03-05,11.60,1595
2019-03-06,11.72,1567
2019-03-07,11.59,1468
2019-03-08,11.66,1692
2019-03-11,11.88,1688
2019-03-12,11.90,1371
2019-03-13,12.00,1291
2019-03-14,12.22,3729
2019-03-15,12.42,2507
2019-03-18,12.30,1874
2019-03-19,12.22,1204
2019-03-20,12.17,945
2019-03-21,12.11,1218
2019-03-22,11.81,1634
2019-03-25,11.85,1786
2019-03-26,11.92,1098
2019-03-27,11.88,1188
2019-03-28,11.91,1120
2019-03-29,11.79,1297
2019-04-01,11.85,1756
2019-04-02,11.70,1345
2019-04-03,11.58,3048
2019-04-04,11.57,1828
2019-04-05,11.63,2268
2019-04-08,11.85,1769
2019-04-09,11.85,1141
2019-04-10,11.87,2112
2019-04-11,11.96,2380
2019-04-12,11.77,1389
2019-04-15,11.67,1564
2019-04-16,11.62,1153
2019-04-17,11.77,1399
2019-04-18,11.79,1382
2019-04-22,11.89,832
2019-04-23,11.86,1119
2019-04-24,11.47,1672
2019-04-25,11.21,2986
2019-04-26,11.25,1227
2019-04-29,11.07,2298
2019-04-30,11.04,2311
2019-05-01,10.89,3148
2019-05-02,10.58,3847
2019-05-03,10.89,2295
2019-05-06,10.76,1824
2019-05-07,10.52,2231
2019-05-08,10.29,2880
2019-05-09,10.37,2816
2019-05-10,10.34,2739
2019-05-13,10.18,2882
2019-05-14,10.12,1352
2019-05-15,10.04,1149
2019-05-16,10.19,1432
2019-05-17,10.10,1377
2019-05-20,10.27,1675
2019-05-21,10.40,2881
