date,close,volume
2022-01-19,42.00,130
2022-01-20,45.00,153
2022-01-21,45.00,330
2022-01-24,42.80,110
2022-01-25,41.90,24
2022-01-26,43.22,91
2022-01-27,45.76,152
2022-01-28,46.75,44
2022-01-31,48.00,71
2022-02-01,49.78,299
2022-02-02,53.01,23861
2022-02-03,53.62,8426
2022-02-04,50.14,6758
2022-02-07,46.07,9433
2022-02-08,45.50,7278
2022-02-09,47.31,4393
2022-02-10,47.05,2450
2022-02-11,48.09,3457
2022-02-14,48.11,2155
2022-02-15,48.00,2360
2022-02-16,47.20,5855
2022-02-17,45.29,3143
2022-02-18,45.41,2019
2022-02-22,43.54,2611
2022-02-23,43.09,2791
2022-02-24,44.32,2448
2022-02-25,43.91,2041
2022-02-28,45.98,5535
2022-03-01,47.79,4213
2022-03-02,49.46,3517
2022-03-03,49.52,2072
2022-03-04,51.00,2545
2022-03-07,51.65,2727
2022-03-08,52.32,3874
2022-03-09,51.33,3051
2022-03-10,51.32,2693
2022-03-11,49.32,3034
2022-03-14,50.95,2917
2022-03-15,51.29,2117
2022-03-16,51.77,2990
2022-03-17,50.99,2245
2022-03-18,49.01,9664
2022-03-21,49.22,2452
2022-03-22,51.14,3842
2022-03-23,50.99,2396
2022-03-24,52.41,2335
2022-03-25,53.80,2441
2022-03-28,56.78,3127
2022-03-29,56.33,2201
2022-03-30,57.50,1934
2022-03-31,56.25,3818
2022-04-01,58.02,2157
2022-04-04,58.38,1885
2022-04-05,59.00,2143
2022-04-06,59.60,2559
2022-04-07,60.91,3926
2022-04-08,64.02,4762
2022-04-11,60.68,3488
2022-04-12,61.87,2553
2022-04-13,64.20,3406
2022-04-14,62.55,1860
2022-04-18,63.31,1217
2022-04-19,66.71,2079
2022-04-20,65.41,2183
2022-04-21,62.67,2494
2022-04-22,62.43,2031
2022-04-25,62.27,2262
2022-04-26,59.95,2137
2022-04-27,60.09,1992
2022-04-28,61.31,3355
2022-04-29,59.21,2578
2022-05-02,58.20,2488
2022-05-03,59.70,2224
2022-05-04,61.81,2629
2022-05-05,60.16,1947
2022-05-06,60.27,2861
2022-05-09,57.62,2194
2022-05-10,57.04,2156
2022-05-11,57.37,1877
2022-05-12,53.47,3786
2022-05-13,54.61,2318
2022-05-16,56.59,1632
2022-05-17,59.32,2215
2022-05-18,57.28,4609
2022-05-19,57.23,2181
2022-05-20,56.65,2266
2022-05-23,56.60,1582
2022-05-24,56.78,1682
2022-05-25,59.17,1975
2022-05-26,62.47,3260
2022-05-27,66.60,2794
2022-05-31,62.08,7389
2022-06-01,63.65,2009
2022-06-02,63.75,1759
2022-06-03,65.17,1794
2022-06-06,66.39,2033
2022-06-07,66.55,2722
2022-06-08,64.77,1922
2022-06-09,61.21,1811
2022-06-10,59.79,1541
2022-06-13,55.48,2113
2022-06-14,54.44,2330
2022-06-15,58.20,3892
2022-06-16,58.26,4837
2022-06-17,58.10,6479
2022-06-21,60.38,4364
2022-06-22,59.21,3233
2022-06-23,58.65,2668
2022-06-24,59.28,6474
2022-06-27,59.42,1719
2022-06-28,58.08,1402
2022-06-29,57.31,1412
2022-06-30,57.26,2424
2022-07-01,57.60,1532
2022-07-05,54.94,2696
2022-07-06,56.76,1717
2022-07-07,59.11,1872
2022-07-08,59.65,2096
2022-07-11,59.84,1775
2022-07-12,59.23,1808
2022-07-13,59.82,1577
2022-07-14,57.92,2609
2022-07-15,55.66,5186
2022-07-18,54.81,2583
2022-07-19,55.00,2326
2022-07-20,54.07,2804
2022-07-21,54.16,1817
2022-07-22,54.00,1503
2022-07-25,54.96,1848
2022-07-26,55.50,1994
2022-07-27,55.53,1557
2022-07-28,64.59,8461
2022-07-29,66.10,3895
2022-08-01,65.30,2735
2022-08-02,65.84,1723
2022-08-03,67.17,2287
2022-08-04,67.46,2426
2022-08-05,74.30,4217
2022-08-08,75.89,3184
2022-08-09,75.72,2946
2022-08-10,77.12,2135
2022-08-11,78.83,2540
2022-08-12,81.50,2171
2022-08-15,81.20,1980
2022-08-16,81.40,1879
2022-08-17,79.70,2502
2022-08-18,81.60,1940
2022-08-19,80.84,1704
2022-08-22,79.65,1725
2022-08-23,79.75,1066
2022-08-24,80.37,1430
2022-08-25,82.74,1552
2022-08-26,80.83,1641
2022-08-29,81.00,1191
2022-08-30,79.69,1803
2022-08-31,81.59,3017
2022-09-01,82.52,2421
2022-09-02,81.07,2232
2022-09-06,82.26,2013
2022-09-07,82.90,1759
2022-09-08,85.79,2184
2022-09-09,87.51,1905
2022-09-12,88.13,1734
2022-09-13,86.38,1974
2022-09-14,88.05,3600
2022-09-15,86.80,3632
2022-09-16,85.57,6246
2022-09-19,89.36,4407
2022-09-20,87.75,4626
2022-09-21,87.28,2155
2022-09-22,85.38,1863
2022-09-23,83.85,2679
2022-09-26,82.92,1973
2022-09-27,83.97,1778
2022-09-28,85.02,1564
2022-09-29,83.04,1824
2022-09-30,83.19,3268
2022-10-03,86.59,2027
2022-10-04,89.34,1679
2022-10-05,88.17,1767
2022-10-06,86.28,1677
2022-10-07,84.39,2017
2022-10-10,84.72,983
2022-10-11,82.88,1534
2022-10-12,82.16,1878
2022-10-13,83.82,2747
2022-10-14,81.26,1693
2022-10-17,85.19,1679
2022-10-18,86.51,1599
2022-10-19,85.69,1326
2022-10-20,84.56,2077
2022-10-21,87.28,1749
2022-10-24,87.58,1325
2022-10-25,88.15,1647
2022-10-26,88.78,1370
2022-10-27,93.04,3346
2022-10-28,93.75,1958
2022-10-31,94.54,2277
2022-11-01,95.52,1467
2022-11-02,93.09,1966
2022-11-03,94.41,1484
2022-11-04,94.32,1974
2022-11-07,93.50,2120
2022-11-08,87.54,4345
2022-11-09,87.35,2242
2022-11-10,95.14,4886
2022-11-11,92.31,3133
2022-11-14,93.92,1997
2022-11-15,93.50,2537
2022-11-16,91.68,1385
2022-11-17,90.05,1793
2022-11-18,93.30,2516
2022-11-21,93.39,1745
2022-11-22,96.27,1568
2022-11-23,96.62,1136
2022-11-25,97.16,632
2022-11-28,94.81,1590
2022-11-29,94.43,1436
2022-11-30,96.12,3362
2022-12-01,94.47,1749
2022-12-02,92.04,1849
2022-12-05,90.06,2397
2022-12-06,90.78,1238
2022-12-07,91.97,1237
2022-12-08,91.41,1002
2022-12-09,89.72,1385
2022-12-12,90.88,1554
2022-12-13,90.84,1630
2022-12-14,90.85,2562
2022-12-15,89.70,2245
2022-12-16,88.20,3912
2022-12-19,87.73,1238
2022-12-20,87.56,1307
2022-12-21,89.65,1410
2022-12-22,87.33,1548
2022-12-23,88.04,601
2022-12-27,87.64,634
2022-12-28,86.61,752
2022-12-29,86.77,871
2022-12-30,86.21,1343
2023-01-03,81.91,4031
2023-01-04,83.41,2612
2023-01-05,82.41,1906
2023-01-06,83.50,1914
2023-01-09,84.00,1302
2023-01-10,83.08,1377
2023-01-11,84.11,1696
2023-01-12,84.34,1497
2023-01-13,85.16,1366
2023-01-17,83.37,2764
