date,close,volume
2019-01-02,8.84,409
2019-01-03,8.71,340
2019-01-04,8.67,298
2019-01-07,8.83,374
2019-01-08,8.76,249
2019-01-09,8.92,361
2019-01-10,9.07,645
2019-01-11,9.20,490
2019-01-14,9.07,329
2019-01-15,9.06,358
2019-01-16,9.09,290
2019-01-17,9.18,527
2019-01-18,9.20,499
2019-01-22,9.15,295
2019-01-23,9.15,228
2019-01-24,9.35,361
2019-01-25,9.64,412
2019-01-28,9.49,277
2019-01-29,9.81,491
2019-01-30,9.82,316
2019-01-31,9.93,605
2019-02-01,8.10,2770
2019-02-04,8.01,938
2019-02-05,8.04,864
2019-02-06,8.21,788
2019-02-07,8.23,751
2019-02-08,8.28,584
2019-02-11,8.66,803
2019-02-12,8.67,766
2019-02-13,8.70,609
2019-02-14,8.79,780
2019-02-15,8.95,603
2019-02-19,9.13,645
2019-02-20,9.07,496
2019-02-21,9.16,750
2019-02-22,9.38,531
2019-02-25,9.40,565
2019-02-26,9.52,869
2019-02-27,9.40,321
2019-02-28,9.21,479
2019-03-01,9.32,430
2019-03-04,9.33,256
2019-03-05,9.20,347
2019-03-06,9.06,404
2019-03-07,8.86,365
2019-03-08,8.83,153
2019-03-11,9.00,363
2019-03-12,8.97,215
2019-03-13,8.91,257
2019-03-14,8.92,407
2019-03-15,8.84,391
2019-03-18,8.76,147
2019-03-19,8.68,182
2019-03-20,8.62,293
2019-03-21,8.78,179
2019-03-22,8.48,184
2019-03-25,8.54,202
2019-03-26,8.38,274
2019-03-27,8.38,114
2019-03-28,8.32,173
2019-03-29,8.45,187
2019-04-01,8.55,223
2019-04-02,8.53,205
2019-04-03,8.61,337
2019-04-04,8.67,264
2019-04-05,8.75,230
2019-04-08,8.68,226
2019-04-09,8.62,190
2019-04-10,8.67,165
2019-04-11,8.71,167
2019-04-12,8.70,131
2019-04-15,8.80,161
2019-04-16,8.88,127
2019-04-17,8.84,181
2019-04-18,8.75,164
2019-04-22,8.65,181
2019-04-23,8.70,495
2019-04-24,8.61,350
2019-04-25,7.31,1534
2019-04-26,7.17,996
2019-04-29,7.28,509
2019-04-30,7.13,463
2019-05-01,7.17,973
2019-05-02,7.11,476
2019-05-03,7.26,385
2019-05-06,7.30,405
2019-05-07,7.33,314
2019-05-08,7.34,501
2019-05-09,7.39,442
2019-05-10,7.30,292
2019-05-13,7.14,733
2019-05-14,7.08,707
2019-05-15,7.11,521
2019-05-16,7.02,573
2019-05-17,6.95,224
2019-05-20,6.95,307
2019-05-21,7.06,376
2019-05-22,6.87,293
2019-05-23,6.55,468
2019-05-24,6.52,364
2019-05-28,6.64,313
2019-05-29,6.42,430
2019-05-30,6.46,274
2019-05-31,6.28,284
2019-06-03,6.25,241
2019-06-04,6.43,180
2019-06-05,6.22,419
2019-06-06,6.30,160
2019-06-07,6.37,180
2019-06-10,6.39,168
2019-06-11,6.42,242
2019-06-12,6.38,175
2019-06-13,6.38,301
2019-06-14,6.32,287
2019-06-17,6.32,291
2019-06-18,6.46,344
2019-06-19,6.47,400
2019-06-20,6.59,498
2019-06-21,6.60,189
2019-06-24,6.67,214
2019-06-25,6.64,290
2019-06-26,6.71,1000
2019-06-27,6.78,181
2019-06-28,6.83,161
2019-07-01,7.03,944
2019-07-02,6.81,371
2019-07-03,6.86,149
2019-07-05,6.93,416
2019-07-08,6.74,284
2019-07-09,6.61,168
2019-07-10,6.54,580
2019-07-11,6.48,482
2019-07-12,6.62,365
2019-07-15,6.69,597
2019-07-16,6.61,228
2019-07-17,6.64,248
2019-07-18,6.57,147
2019-07-19,6.67,300
2019-07-22,6.73,190
2019-07-23,6.81,278
2019-07-24,7.10,763
2019-07-25,6.98,885
2019-07-26,7.02,349
2019-07-29,7.16,481
2019-07-30,7.16,674
2019-07-31,7.09,491
2019-08-01,6.98,409
2019-08-02,6.90,345
2019-08-05,6.78,155
2019-08-06,6.60,240
2019-08-07,6.62,256
2019-08-08,6.92,316
2019-08-09,6.82,552
2019-08-12,6.67,119
