date,close,volume
2019-01-02,23.88,12052
2019-01-03,22.87,13619
2019-01-04,23.32,17573
2019-01-07,23.48,9719
2019-01-08,23.76,14376
2019-01-09,23.79,6510
2019-01-10,22.90,7031
2019-01-11,22.54,5327
2019-01-14,21.69,7232
2019-01-15,21.80,5581
2019-01-16,21.60,4849
2019-01-17,22.15,6989
2019-01-18,21.97,6425
2019-01-22,22.33,6256
2019-01-23,22.62,6218
2019-01-24,22.79,7008
2019-01-25,23.27,5166
2019-01-28,23.77,11742
2019-01-29,23.75,7021
2019-01-30,24.33,7856
2019-01-31,24.63,7381
2019-02-01,25.16,3583
2019-02-04,25.76,6295
2019-02-05,25.88,5435
2019-02-06,25.82,5596
2019-02-07,25.57,3517
2019-02-08,26.10,3539
2019-02-11,26.37,5367
2019-02-12,27.17,6667
2019-02-13,27.34,3504
2019-02-14,27.56,5128
2019-02-15,27.88,4530
2019-02-19,27.90,2481
2019-02-20,28.15,2727
2019-02-21,28.15,3834
2019-02-22,28.47,3645
2019-02-25,28.71,4612
2019-02-26,28.75,4619
2019-02-27,28.51,3336
2019-02-28,28.29,8153
2019-03-01,28.71,6935
2019-03-04,28.05,5876
2019-03-05,27.94,5502
2019-03-06,27.23,4963
2019-03-07,26.93,3652
2019-03-08,26.53,3777
2019-03-11,27.45,3517
2019-03-12,27.72,4896
2019-03-13,27.85,4084
2019-03-14,28.98,7634
2019-03-15,30.53,11239
2019-03-18,30.66,5257
2019-03-19,30.63,3982
2019-03-20,30.22,5131
2019-03-21,30.77,3257
2019-03-22,30.18,2970
2019-03-25,29.04,3710
2019-03-26,29.85,3528
2019-03-27,29.16,3629
2019-03-28,28.85,3301
2019-03-29,29.75,3747
2019-04-01,30.63,3523
2019-04-02,31.05,4648
2019-04-03,31.22,4144
2019-04-04,30.58,4262
2019-04-05,31.53,4350
2019-04-08,31.67,2638
2019-04-09,31.29,2531
2019-04-10,32.08,3311
2019-04-11,32.37,3843
2019-04-12,32.19,2378
2019-04-15,32.38,2291
2019-04-16,31.82,2221
2019-04-17,31.80,2040
2019-04-18,31.86,2067
2019-04-22,32.06,2132
2019-04-23,32.94,3039
2019-04-24,33.58,3058
2019-04-25,33.96,3191
2019-04-26,33.13,3018
2019-04-29,33.22,2449
2019-04-30,34.17,2386
2019-05-01,34.76,4113
2019-05-02,34.54,3876
2019-05-03,34.82,1860
2019-05-06,34.56,1331
2019-05-07,34.21,2800
2019-05-08,34.01,2022
2019-05-09,34.00,2736
2019-05-10,34.04,1412
2019-05-13,32.46,5181
2019-05-14,33.53,1958
2019-05-15,34.41,2051
2019-05-16,35.38,2042
2019-05-17,35.19,2938
2019-05-20,34.47,2650
2019-05-21,35.30,2322
2019-05-22,34.97,3092
2019-05-23,33.30,6203
2019-05-24,33.51,3736
2019-05-28,33.66,3531
2019-05-29,33.55,4760
2019-05-30,33.66,4113
2019-05-31,30.18,15620
2019-06-03,28.31,6366
2019-06-04,29.23,5078
2019-06-05,27.62,7388
2019-06-06,26.98,7644
2019-06-07,27.52,4521
2019-06-10,27.47,3660
2019-06-11,27.54,3505
2019-06-12,26.88,2527
2019-06-13,27.28,4078
2019-06-14,26.01,3634
2019-06-17,25.66,3298
2019-06-18,26.11,4491
2019-06-19,27.08,4168
2019-06-20,27.58,4939
2019-06-21,27.36,4974
2019-06-24,27.01,3585
2019-06-25,26.51,4532
2019-06-26,26.98,1906
2019-06-27,26.46,9569
2019-06-28,25.75,13894
2019-07-01,26.13,6958
2019-07-02,26.45,4974
2019-07-03,26.82,5140
2019-07-05,26.54,4131
2019-07-08,26.00,5919
2019-07-09,25.90,5298
2019-07-10,26.50,9092
2019-07-11,27.11,5895
2019-07-12,27.26,7217
2019-07-15,27.99,7951
2019-07-16,28.39,7118
2019-07-17,28.64,3554
2019-07-18,29.09,4344
2019-07-19,28.79,5909
2019-07-22,28.60,3270
2019-07-23,28.11,4539
2019-07-24,28.49,2861
2019-07-25,27.91,3694
2019-07-26,28.02,3269
2019-07-29,28.37,3833
2019-07-30,29.01,4031
2019-07-31,29.27,5389
2019-08-01,29.24,4971
2019-08-02,26.56,20770
2019-08-05,25.55,11193
2019-08-06,25.73,7244
2019-08-07,25.53,3654
2019-08-08,26.02,4784
2019-08-09,25.56,2522
2019-08-12,25.07,2621
2019-08-13,25.10,7020
2019-08-14,24.63,8123
2019-08-15,23.77,5727
2019-08-16,24.55,4909
2019-08-19,24.86,3959
2019-08-20,24.57,3636
2019-08-21,24.83,2741
2019-08-22,24.86,3196
2019-08-23,23.22,7242
2019-08-26,23.52,4027
2019-08-27,23.11,3852
2019-08-28,22.96,3723
2019-08-29,23.71,6462
2019-08-30,26.12,31587
2019-09-03,25.88,8238
2019-09-04,25.95,5511
2019-09-05,26.82,8995
2019-09-06,27.05,6831
2019-09-09,27.52,7168
2019-09-10,28.12,6298
2019-09-11,28.03,5916
2019-09-12,27.45,5660
2019-09-13,27.12,2785
2019-09-16,27.42,3021
2019-09-17,27.29,2822
2019-09-18,26.76,3760
2019-09-19,26.88,4932
2019-09-20,26.28,6002
2019-09-23,26.83,4903
2019-09-24,26.46,6606
2019-09-25,27.24,6056
2019-09-26,26.43,6061
2019-09-27,25.82,4381
2019-09-30,26.28,2620
2019-10-01,26.17,3819
2019-10-02,25.74,3144
2019-10-03,25.88,2661
2019-10-04,25.48,3823
2019-10-07,25.61,3135
2019-10-08,24.74,3017
2019-10-09,25.07,2606
2019-10-10,24.84,4468
2019-10-11,25.49,3015
2019-10-14,25.69,1551
2019-10-15,25.91,2061
2019-10-16,25.62,1980
2019-10-17,25.53,1986
2019-10-18,25.28,3410
2019-10-21,25.34,2372
2019-10-22,25.33,2049
2019-10-23,25.49,2469
2019-10-24,25.85,3018
2019-10-25,26.19,3190
2019-10-28,26.15,3117
2019-10-29,26.99,5226
2019-10-30,27.24,3211
2019-10-31,26.81,3033
2019-11-01,26.98,2399
2019-11-04,27.29,1980
2019-11-05,27.59,4079
2019-11-06,27.54,2791
2019-11-07,27.53,2908
2019-11-08,27.53,1962
2019-11-11,27.63,1831
2019-11-12,28.09,5463
2019-11-13,27.76,2172
2019-11-14,27.90,3357
2019-11-15,28.20,2799
2019-11-18,28.17,1932
2019-11-19,28.49,2812
2019-11-20,28.01,2832
2019-11-21,27.22,3173
2019-11-22,27.17,2851
2019-11-25,27.91,3745
2019-11-26,26.96,8726
2019-11-27,25.50,25893
2019-11-29,24.58,6383
2019-12-02,24.19,7352
2019-12-03,24.02,7722
2019-12-04,24.17,4133
2019-12-05,23.99,4072
2019-12-06,23.88,5936
2019-12-09,24.15,7451
2019-12-10,24.00,6116
2019-12-11,24.18,4373
2019-12-12,25.09,5212
2019-12-13,25.01,5213
2019-12-16,25.08,6639
2019-12-17,25.31,4669
2019-12-18,25.34,4543
