date,close,volume
2024-01-02,10.60,208
2024-01-03,10.65,130
2024-01-04,10.65,5
2024-01-05,10.66,17
2024-01-08,10.64,32
2024-01-09,10.65,78
2024-01-10,10.62,151
2024-01-11,10.64,5
2024-01-12,10.64,21
2024-01-16,10.62,31
2024-01-17,10.62,37
2024-01-18,10.64,16
2024-01-19,10.63,66
2024-01-22,10.65,19
2024-01-23,10.78,78
2024-01-24,10.79,87
2024-01-25,10.78,38
2024-01-26,10.75,39
2024-01-29,11.26,992
2024-01-30,11.22,494
2024-01-31,11.12,231
2024-02-01,11.15,194
2024-02-02,10.63,865
2024-02-05,10.64,211
2024-02-06,10.66,513
2024-02-07,10.63,148
2024-02-08,10.61,45
2024-02-09,10.61,35
2024-02-12,10.66,120
2024-02-13,10.63,288
2024-02-14,10.63,25
2024-02-15,10.66,91
2024-02-16,10.63,265
2024-02-20,10.63,113
2024-02-21,10.64,36
2024-02-22,10.62,44
2024-02-23,10.64,312
2024-02-26,10.64,34
2024-02-27,10.64,134
2024-02-28,10.65,131
2024-02-29,10.64,89
2024-03-01,10.63,134
2024-03-04,10.65,197
2024-03-05,10.68,59
2024-03-06,10.73,227
2024-03-07,10.74,38
2024-03-08,10.76,69
2024-03-11,10.80,75
2024-03-12,10.79,144
2024-03-13,10.79,74
2024-03-14,10.80,80
2024-03-15,10.74,131
2024-03-18,10.89,803
2024-03-19,10.85,132
2024-03-20,10.83,54
2024-03-21,10.74,101
2024-03-22,10.80,78
2024-03-25,10.85,397
2024-03-26,11.05,967
2024-03-27,11.15,465
2024-03-28,11.42,618
2024-04-01,12.18,1625
2024-04-02,12.60,1003
2024-04-03,12.87,1833
2024-04-04,12.90,1958
2024-04-05,13.10,712
2024-04-08,16.05,6920
2024-04-09,14.16,3686
2024-04-10,13.17,1760
2024-04-11,13.41,1265
2024-04-12,12.76,1369
2024-04-15,12.50,723
2024-04-16,12.72,445
2024-04-17,12.70,491
2024-04-18,12.67,570
2024-04-19,12.50,608
2024-04-22,12.58,395
2024-04-23,13.00,910
2024-04-24,13.40,661
2024-04-25,13.00,421
2024-04-26,12.81,1593
2024-04-29,14.42,2826
2024-04-30,13.74,1544
2024-05-01,13.94,1403
2024-05-02,12.81,2240
2024-05-03,14.83,2202
2024-05-06,14.95,3147
2024-05-07,14.34,3173
2024-05-08,15.17,3025
2024-05-09,18.23,5198
2024-05-10,8.45,25612
2024-05-13,9.77,12579
2024-05-14,11.17,6671
2024-05-15,10.27,5042
2024-05-16,9.64,2993
2024-05-17,9.01,3651
2024-05-20,7.76,5591
2024-05-21,7.44,4648
2024-05-22,7.16,2649
2024-05-23,7.59,3848
2024-05-24,10.15,12864
2024-05-28,10.79,13093
2024-05-29,11.03,4999
2024-05-30,10.28,3185
2024-05-31,10.07,2950
2024-06-03,9.29,4330
2024-06-04,8.57,2942
2024-06-05,9.09,2664
2024-06-06,8.48,2803
2024-06-07,8.35,2443
2024-06-10,9.05,3128
2024-06-11,9.45,2679
2024-06-12,10.20,3935
2024-06-13,10.21,2621
2024-06-14,9.46,2366
2024-06-17,9.40,1883
2024-06-18,9.89,2387
2024-06-20,9.34,3191
2024-06-21,9.02,7350
2024-06-24,9.52,3329
2024-06-25,9.41,3551
2024-06-26,8.94,3002
2024-06-27,8.56,3358
2024-06-28,8.47,2142
2024-07-01,8.00,3585
2024-07-02,8.03,1854
2024-07-03,8.25,1753
2024-07-05,7.65,3478
2024-07-08,7.42,3836
2024-07-09,7.68,2514
2024-07-10,7.78,3559
2024-07-11,7.51,2970
2024-07-12,8.61,8104
2024-07-15,8.72,5168
2024-07-16,8.81,5377
2024-07-17,8.88,6043
2024-07-18,8.47,3085
2024-07-19,8.61,1981
2024-07-22,9.01,2966
2024-07-23,9.24,2985
2024-07-24,8.67,2104
2024-07-25,8.41,2486
2024-07-26,9.20,4391
2024-07-29,8.79,2423
2024-07-30,8.86,2569
