date,close,volume
2019-01-02,1.51,2326
2019-01-03,1.57,3217
2019-01-04,1.56,1595
2019-01-07,1.57,3078
2019-01-08,1.56,1651
2019-01-09,1.55,162
2019-01-10,1.55,298
2019-01-11,1.50,946
2019-01-14,1.53,2100
2019-01-15,1.51,859
2019-01-16,1.50,3221
2019-01-17,1.48,2826
2019-01-18,1.50,1367
2019-01-22,1.47,1744
2019-01-23,1.49,3081
2019-01-24,1.50,2185
2019-01-25,1.50,2661
2019-01-28,1.48,1029
2019-01-29,1.50,986
2019-01-30,1.51,652
2019-01-31,1.51,1172
2019-02-01,1.53,646
2019-02-04,1.53,463
2019-02-05,1.57,2654
2019-02-06,1.57,828
2019-02-07,1.53,302
2019-02-08,1.54,1763
2019-02-11,1.54,590
2019-02-12,1.62,1629
2019-02-13,1.63,897
2019-02-14,1.62,921
2019-02-15,1.98,9921
2019-02-19,2.00,4938
2019-02-20,1.92,1629
2019-02-21,1.93,1583
2019-02-22,1.97,1525
2019-02-25,1.97,1094
2019-02-26,1.94,198
2019-02-27,1.91,1053
2019-02-28,1.91,1681
2019-03-01,1.96,2034
2019-03-04,1.96,678
2019-03-05,1.98,483
2019-03-06,1.92,795
2019-03-07,1.95,720
2019-03-08,1.95,1704
2019-03-11,1.95,1210
2019-03-12,1.96,1443
2019-03-13,1.98,1492
2019-03-14,2.00,1255
2019-03-15,2.01,655
2019-03-18,2.03,2798
2019-03-19,2.03,1959
2019-03-20,2.05,847
2019-03-21,2.07,591
2019-03-22,2.06,1109
2019-03-25,2.09,4036
2019-03-26,2.09,1688
2019-03-27,2.10,1518
2019-03-28,2.10,2284
2019-03-29,2.11,1166
2019-04-01,2.19,2252
2019-04-02,2.19,2644
2019-04-03,2.20,3066
2019-04-04,2.20,2870
2019-04-05,2.20,1309
2019-04-08,2.20,841
2019-04-09,2.20,547
2019-04-10,2.19,937
2019-04-11,2.20,768
2019-04-12,2.20,1156
2019-04-15,2.20,1068
2019-04-16,2.20,239
2019-04-17,2.21,347
2019-04-18,2.20,857
2019-04-22,2.20,853
2019-04-23,2.21,2745
2019-04-24,2.22,410
2019-04-25,2.22,2086
2019-04-26,2.22,2023
2019-04-29,2.23,662
2019-04-30,2.24,1258
2019-05-01,2.29,408
2019-05-02,2.24,1131
2019-05-03,2.25,1858
2019-05-06,2.25,1678
2019-05-07,2.21,2877
2019-05-08,2.13,1849
2019-05-09,2.10,1414
2019-05-10,2.01,917
2019-05-13,1.97,2232
2019-05-14,1.99,1540
2019-05-15,2.04,103
2019-05-16,2.00,2509
2019-05-17,1.99,991
2019-05-20,2.00,553
2019-05-21,2.01,3370
2019-05-22,2.02,4462
2019-05-23,1.99,4466
2019-05-24,1.99,1644
2019-05-28,1.97,1689
2019-05-29,1.92,633
2019-05-30,1.93,452
2019-05-31,1.90,1217
2019-06-03,1.93,1437
2019-06-04,1.90,1187
2019-06-05,1.88,399
2019-06-06,1.83,1106
2019-06-07,1.84,467
2019-06-10,1.85,417
2019-06-11,1.84,729
2019-06-12,1.82,499
2019-06-13,1.74,2044
2019-06-14,1.75,2173
2019-06-17,1.80,1014
2019-06-18,1.84,161
2019-06-19,1.87,824
2019-06-20,1.90,259
2019-06-21,1.91,925
2019-06-24,1.94,1313
2019-06-25,1.90,1222
2019-06-26,1.92,1104
2019-06-27,1.92,542
2019-06-28,1.93,144
2019-07-01,1.93,1461
2019-07-02,1.90,291
2019-07-03,1.89,204
2019-07-05,1.86,327
2019-07-08,1.86,51
2019-07-09,1.87,806
2019-07-10,1.92,425
2019-07-11,1.88,414
2019-07-12,1.86,408
2019-07-15,1.87,61
2019-07-16,1.92,150
2019-07-17,1.88,454
2019-07-18,1.86,497
2019-07-19,1.90,361
2019-07-22,1.95,1537
2019-07-23,1.91,531
2019-07-24,1.93,191
2019-07-25,1.89,138
2019-07-26,1.87,176
2019-07-29,1.87,127
2019-07-30,1.85,219
2019-07-31,1.83,318
2019-08-01,1.81,394
2019-08-02,1.70,2490
2019-08-05,1.63,4881
2019-08-06,1.76,1977
2019-08-07,1.78,1916
2019-08-08,1.80,642
2019-08-09,1.71,1040
2019-08-12,1.70,662
2019-08-13,1.70,424
2019-08-14,1.68,786
2019-08-15,1.63,3658
2019-08-16,1.93,3366
2019-08-19,1.96,691
2019-08-20,1.99,447
2019-08-21,2.00,378
2019-08-22,2.00,771
2019-08-23,1.93,1025
2019-08-26,1.93,480
2019-08-27,1.90,136
2019-08-28,1.94,104
2019-08-29,1.96,224
2019-08-30,1.89,818
2019-09-03,1.84,822
2019-09-04,1.86,368
2019-09-05,1.88,1111
2019-09-06,1.92,468
2019-09-09,1.94,782
2019-09-10,1.93,649
2019-09-11,1.91,2785
2019-09-12,1.90,675
2019-09-13,1.91,936
2019-09-16,1.93,328
2019-09-17,1.95,568
2019-09-18,1.97,930
2019-09-19,1.96,210
2019-09-20,1.98,603
2019-09-23,1.96,1571
2019-09-24,1.96,2652
2019-09-25,1.93,203
2019-09-26,1.88,733
2019-09-27,1.91,410
2019-09-30,1.92,161
2019-10-01,1.94,1945
2019-10-02,1.92,165
2019-10-03,1.92,492
2019-10-04,1.93,298
2019-10-07,1.94,2933
2019-10-08,1.90,1333
2019-10-09,1.90,809
2019-10-10,1.90,198
2019-10-11,1.89,13
2019-10-14,1.88,516
2019-10-15,1.88,1266
2019-10-16,1.94,1605
2019-10-17,1.96,1060
