date,close,volume
2022-03-01,10.06,370
2022-03-02,10.08,408
2022-03-03,10.10,434
2022-03-04,10.04,184
2022-03-07,10.05,219
2022-03-08,10.07,82
2022-03-09,10.07,238
2022-03-10,10.18,1790
2022-03-11,10.22,1265
2022-03-14,10.08,505
2022-03-15,10.06,310
2022-03-16,10.09,323
2022-03-17,10.14,815
2022-03-18,10.14,244
2022-03-21,10.19,261
2022-03-22,10.23,645
2022-03-23,10.16,268
2022-03-24,10.17,174
2022-03-25,10.16,395
2022-03-28,10.15,329
2022-03-29,10.18,304
2022-03-30,10.23,926
2022-03-31,10.47,1200
2022-04-01,10.58,1565
2022-04-04,10.35,703
2022-04-05,10.42,466
2022-04-06,10.49,477
2022-04-07,10.40,489
2022-04-08,10.73,3362
2022-04-11,10.76,1692
2022-04-12,10.79,1783
2022-04-13,11.10,2510
2022-04-14,10.98,1276
2022-04-18,10.97,1241
2022-04-19,10.45,1824
2022-04-20,10.41,857
2022-04-21,10.12,2914
2022-04-22,10.10,1529
2022-04-25,9.48,1509
2022-04-26,9.91,1068
2022-04-27,10.06,595
2022-04-28,9.45,897
2022-04-29,9.54,830
2022-05-02,10.00,675
2022-05-03,10.55,888
2022-05-04,10.40,1076
2022-05-05,9.94,682
2022-05-06,10.61,730
2022-05-09,10.53,832
2022-05-10,10.30,642
2022-05-11,10.19,463
2022-05-12,9.84,681
2022-05-13,9.62,583
2022-05-16,9.78,391
2022-05-17,9.85,416
2022-05-18,9.60,442
2022-05-19,9.84,346
2022-05-20,9.90,557
2022-05-23,9.67,317
2022-05-24,8.96,835
2022-05-25,9.52,427
2022-05-26,9.46,223
2022-05-27,9.90,467
2022-05-31,9.79,389
2022-06-01,9.60,480
2022-06-02,9.48,489
2022-06-03,9.44,514
2022-06-06,9.85,709
2022-06-07,10.14,569
2022-06-08,10.13,321
2022-06-09,9.96,660
2022-06-10,9.99,440
2022-06-13,9.71,716
2022-06-14,9.75,393
2022-06-15,10.35,660
2022-06-16,9.98,737
2022-06-17,10.32,1583
2022-06-21,10.73,971
2022-06-22,10.52,668
2022-06-23,10.34,603
2022-06-24,10.26,2315
2022-06-27,10.68,678
2022-06-28,10.64,424
2022-06-29,9.81,582
2022-06-30,9.99,405
2022-07-01,10.65,947
2022-07-05,10.46,440
2022-07-06,10.52,500
2022-07-07,10.78,549
2022-07-08,10.20,632
2022-07-11,10.23,227
2022-07-12,10.08,431
2022-07-13,10.22,363
2022-07-14,10.28,379
2022-07-15,10.28,301
2022-07-18,10.28,298
2022-07-19,10.67,580
2022-07-20,11.83,1226
2022-07-21,12.36,1017
2022-07-22,12.66,1012
2022-07-25,12.92,893
2022-07-26,12.88,772
2022-07-27,13.50,803
2022-07-28,13.44,697
2022-07-29,14.34,1131
2022-08-01,15.13,1361
2022-08-02,14.93,972
2022-08-03,14.84,833
2022-08-04,15.00,901
2022-08-05,14.62,649
2022-08-08,15.02,1375
2022-08-09,15.00,413
2022-08-10,14.27,1094
2022-08-11,14.88,1063
2022-08-12,14.87,542
2022-08-15,15.00,619
2022-08-16,14.20,1567
2022-08-17,13.02,1022
2022-08-18,13.85,931
2022-08-19,14.05,733
2022-08-22,14.16,853
2022-08-23,14.73,1151
2022-08-24,15.32,3036
2022-08-25,14.83,1059
2022-08-26,13.80,1604
2022-08-29,14.57,1919
2022-08-30,13.26,2802
2022-08-31,13.72,826
2022-09-01,12.94,1277
2022-09-02,13.59,852
2022-09-06,14.14,1745
2022-09-07,14.13,642
2022-09-08,14.50,791
2022-09-09,13.91,1007
2022-09-12,14.01,778
2022-09-13,13.56,984
2022-09-14,14.01,641
2022-09-15,13.70,1063
2022-09-16,13.93,2332
2022-09-19,13.72,810
2022-09-20,13.46,658
2022-09-21,13.06,544
2022-09-22,13.48,772
2022-09-23,12.57,857
2022-09-26,11.53,1347
2022-09-27,12.50,783
2022-09-28,12.40,638
2022-09-29,12.35,556
2022-09-30,11.68,495
2022-10-03,11.72,538
2022-10-04,12.18,947
2022-10-05,11.61,745
2022-10-06,11.51,576
2022-10-07,11.44,546
2022-10-10,10.92,555
2022-10-11,10.86,591
2022-10-12,10.69,502
2022-10-13,11.19,698
2022-10-14,11.04,516
2022-10-17,11.10,436
2022-10-18,11.65,908
2022-10-19,11.52,747
2022-10-20,11.24,656
2022-10-21,12.10,931
2022-10-24,12.21,861
2022-10-25,12.06,522
2022-10-26,11.57,678
2022-10-27,11.66,596
2022-10-28,11.49,497
2022-10-31,11.28,784
2022-11-01,11.30,536
2022-11-02,11.39,561
2022-11-03,11.27,415
2022-11-04,11.65,652
2022-11-07,11.54,592
2022-11-08,11.63,401
2022-11-09,11.49,458
2022-11-10,11.67,451
2022-11-11,11.70,735
2022-11-14,12.08,775
2022-11-15,11.53,723
2022-11-16,11.09,684
2022-11-17,11.07,429
2022-11-18,11.12,388
2022-11-21,10.76,450
2022-11-22,10.92,454
2022-11-23,11.00,337
2022-11-25,11.22,358
2022-11-28,10.77,566
2022-11-29,10.80,454
2022-11-30,10.90,703
2022-12-01,10.90,617
2022-12-02,11.14,520
2022-12-05,10.89,647
2022-12-06,10.82,415
2022-12-07,10.85,444
2022-12-08,10.94,571
2022-12-09,10.78,384
2022-12-12,10.89,353
2022-12-13,10.34,907
2022-12-14,10.51,1120
2022-12-15,10.28,836
2022-12-16,9.71,1940
2022-12-19,9.96,1030
2022-12-20,10.13,984
2022-12-21,10.25,406
2022-12-22,10.04,476
2022-12-23,10.11,245
2022-12-27,10.21,400
2022-12-28,10.10,252
2022-12-29,10.50,341
2022-12-30,10.26,338
2023-01-03,10.24,480
2023-01-04,10.57,503
2023-01-05,10.43,336
2023-01-06,10.27,478
2023-01-09,10.50,751
2023-01-10,10.60,596
2023-01-11,10.66,413
2023-01-12,10.84,652
2023-01-13,10.89,853
2023-01-17,10.41,746
2023-01-18,10.36,582
2023-01-19,10.39,568
2023-01-20,10.29,605
2023-01-23,10.30,1128
2023-01-24,10.50,1198
2023-01-25,10.97,1895
2023-01-26,10.68,1087
2023-01-27,11.05,1049
2023-01-30,10.72,1325
2023-01-31,10.66,3377
2023-02-01,11.06,1180
2023-02-02,10.79,928
2023-02-03,10.66,812
2023-02-06,10.87,601
2023-02-07,10.32,962
2023-02-08,10.24,684
2023-02-09,10.22,587
2023-02-10,10.70,627
2023-02-13,10.57,525
2023-02-14,10.46,394
2023-02-15,10.55,449
2023-02-16,10.40,472
2023-02-17,10.54,490
2023-02-21,10.27,688
2023-02-22,10.25,615
2023-02-23,10.33,430
2023-02-24,10.11,375
2023-02-27,10.16,378
2023-02-28,10.35,529
2023-03-01,10.24,426
2023-03-02,10.00,721
2023-03-03,10.30,431
2023-03-06,10.18,363
2023-03-07,10.05,402
2023-03-08,10.12,302
2023-03-09,9.86,495
2023-03-10,9.44,969
2023-03-13,9.66,650
2023-03-14,9.50,686
2023-03-15,9.00,1054
2023-03-16,8.80,859
2023-03-17,8.76,1105
2023-03-20,8.60,771
2023-03-21,8.86,604
2023-03-22,8.62,474
2023-03-23,8.47,616
2023-03-24,8.33,524
2023-03-27,8.33,489
2023-03-28,8.22,676
2023-03-29,8.53,379
2023-03-30,8.83,565
2023-03-31,9.09,465
2023-04-03,9.05,357
