date,close,volume
2023-06-02,46.50,75
2023-06-05,46.50,1
2023-06-06,46.00,1
2023-06-07,46.25,90
2023-06-08,46.50,2
2023-06-09,46.00,27
2023-06-12,46.50,1
2023-06-13,46.43,8
2023-06-14,46.50,112
2023-06-15,46.50,0
2023-06-16,46.50,0
2023-06-20,46.15,112
2023-06-21,46.50,5
2023-06-22,46.50,1
2023-06-23,46.45,1
2023-06-26,47.12,31
2023-06-27,47.50,108
2023-06-28,50.00,35
2023-06-29,49.49,60
2023-06-30,50.15,188
2023-07-03,50.36,1
2023-07-05,50.00,19
2023-07-06,50.15,127
2023-07-07,51.51,61
2023-07-10,52.25,229
2023-07-11,52.00,246
2023-07-12,52.15,160
2023-07-13,51.75,68
2023-07-14,52.00,158
2023-07-17,51.90,12
2023-07-18,51.75,1
2023-07-19,51.95,6
2023-07-20,51.88,152
2023-07-21,52.00,13
2023-07-24,51.50,10
2023-07-25,52.50,390
2023-07-26,52.69,327
2023-07-27,52.50,130
2023-07-28,54.25,5
2023-07-31,54.25,135
2023-08-01,54.10,212
2023-08-02,53.38,5
2023-08-03,53.75,51
2023-08-04,53.62,359
2023-08-07,54.00,0
2023-08-08,55.00,2
2023-08-09,54.50,56
2023-08-10,54.50,42
2023-08-11,54.25,5
2023-08-14,55.00,29
2023-08-15,54.35,23
2023-08-16,55.00,193
2023-08-17,54.00,3
2023-08-18,53.50,8
2023-08-21,53.00,7
2023-08-22,53.50,106
2023-08-23,54.00,24
2023-08-24,53.65,66
2023-08-25,53.50,6
2023-08-28,55.00,5
2023-08-29,54.75,24
2023-08-30,55.00,3
2023-08-31,55.25,260
2023-09-01,55.25,14
2023-09-05,54.75,62
2023-09-06,55.00,8
2023-09-07,55.00,11
2023-09-08,54.75,44
2023-09-11,54.85,35
2023-09-12,54.90,8
2023-09-13,54.90,3
2023-09-14,54.90,31
2023-09-15,54.90,21
2023-09-18,54.90,0
2023-09-19,54.90,7
2023-09-20,54.64,42
2023-09-21,54.50,89
2023-09-22,54.50,44
2023-09-25,54.40,158
2023-09-26,53.89,27
2023-09-27,53.25,228
2023-09-28,53.20,12
2023-09-29,52.90,15
2023-10-02,53.22,27
2023-10-03,52.30,12
2023-10-04,51.75,10
2023-10-05,52.78,32
2023-10-06,52.50,110
2023-10-09,52.15,9
2023-10-10,51.85,10
2023-10-11,52.50,55
2023-10-12,52.68,310
2023-10-13,52.50,42
2023-10-16,51.75,10
2023-10-17,52.09,22
2023-10-18,52.11,39
2023-10-19,52.20,229
2023-10-20,52.00,17
2023-10-23,52.33,259
2023-10-24,53.19,82
2023-10-25,52.96,101
2023-10-26,52.90,190
2023-10-27,53.00,102
2023-10-30,53.00,286
2023-10-31,52.98,50
2023-11-01,52.85,77
2023-11-02,52.90,42
2023-11-03,52.92,74
2023-11-06,53.90,234
2023-11-07,54.25,130
2023-11-08,54.22,259
2023-11-09,53.77,196
2023-11-10,54.75,66
2023-11-13,55.42,150
2023-11-14,54.45,209
2023-11-15,53.75,139
2023-11-16,53.50,24
2023-11-17,54.50,35
2023-11-20,54.39,22
2023-11-21,54.30,166
2023-11-22,55.15,96
2023-11-24,55.40,13
2023-11-27,54.92,30
2023-11-28,55.20,161
2023-11-29,56.00,108
2023-11-30,57.35,222
2023-12-01,59.55,271
2023-12-04,59.10,315
2023-12-05,59.00,124
2023-12-06,58.60,204
2023-12-07,58.32,64
2023-12-08,58.76,19
2023-12-11,58.75,13
2023-12-12,58.55,47
2023-12-13,58.05,69
2023-12-14,59.30,159
2023-12-15,59.25,48
2023-12-18,60.35,146
2023-12-19,62.00,154
2023-12-20,61.00,63
2023-12-21,62.51,123
2023-12-22,63.25,297
2023-12-26,63.00,31
2023-12-27,63.20,108
2023-12-28,63.25,19
2023-12-29,64.00,18
2024-01-02,65.20,179
2024-01-03,64.01,61
2024-01-04,62.26,27
2024-01-05,63.10,18
2024-01-08,65.00,377
2024-01-09,63.50,96
2024-01-10,64.50,16
2024-01-11,64.90,20
2024-01-12,64.50,32
2024-01-16,65.05,23
2024-01-17,64.51,16
2024-01-18,65.09,26
2024-01-19,65.10,21
2024-01-22,65.01,71
2024-01-23,65.09,43
2024-01-24,65.25,52
2024-01-25,65.79,84
2024-01-26,66.25,53
2024-01-29,66.70,28
2024-01-30,66.65,30
2024-01-31,66.35,66
2024-02-01,67.00,29
2024-02-02,67.25,17
2024-02-05,67.25,37
2024-02-06,67.25,13
2024-02-07,69.00,50
2024-02-08,66.00,87
2024-02-09,65.90,47
2024-02-12,67.00,71
2024-02-13,67.00,17
2024-02-14,67.09,7
2024-02-15,66.97,33
2024-02-16,68.70,268
2024-02-20,68.00,44
2024-02-21,68.04,71
2024-02-22,69.35,215
2024-02-23,69.90,108
2024-02-26,70.00,86
2024-02-27,72.90,156
2024-02-28,74.50,243
2024-02-29,74.80,12
2024-03-01,75.60,72
2024-03-04,85.20,874
2024-03-05,86.00,948
2024-03-06,87.20,376
2024-03-07,86.60,403
2024-03-08,85.00,156
2024-03-11,84.20,37
2024-03-12,84.58,57
2024-03-13,84.30,635
2024-03-14,85.30,612
2024-03-15,84.57,51
2024-03-18,86.99,70
2024-03-19,87.00,71
2024-03-20,86.85,465
2024-03-21,87.00,51
2024-03-22,87.50,251
2024-03-25,90.01,595
2024-03-26,90.90,469
2024-03-27,91.40,433
2024-03-28,94.35,651
2024-04-01,94.80,436
2024-04-02,94.12,167
2024-04-03,93.90,323
2024-04-04,93.50,191
2024-04-05,94.19,60
2024-04-08,95.00,138
2024-04-09,94.00,194
2024-04-10,94.00,43
2024-04-11,94.00,29
2024-04-12,93.50,94
2024-04-15,93.73,212
2024-04-16,93.00,45
2024-04-17,93.01,112
2024-04-18,93.00,60
2024-04-19,92.60,317
2024-04-22,93.99,121
2024-04-23,95.00,110
2024-04-24,96.59,275
2024-04-25,97.90,135
2024-04-26,100.40,91
2024-04-29,100.00,349
2024-04-30,100.00,306
2024-05-01,100.45,414
2024-05-02,100.90,267
2024-05-03,101.25,78
2024-05-06,104.10,655
2024-05-07,103.75,436
2024-05-08,106.40,303
2024-05-09,107.00,400
2024-05-10,106.75,253
2024-05-13,104.85,219
2024-05-14,104.75,480
2024-05-15,109.01,506
2024-05-16,108.00,396
2024-05-17,107.96,456
2024-05-20,107.60,842
2024-05-21,107.75,368
2024-05-22,108.49,865
2024-05-23,112.35,1597
2024-05-24,115.30,1271
2024-05-28,113.60,887
2024-05-29,114.41,1889
2024-05-30,115.49,794
2024-05-31,115.15,506
2024-06-03,113.24,552
2024-06-04,108.76,796
2024-06-05,112.91,791
2024-06-06,110.37,820
2024-06-07,111.70,685
2024-06-10,114.50,308
2024-06-11,115.37,1132
2024-06-12,116.17,583
2024-06-13,115.70,489
2024-06-14,116.90,511
2024-06-17,116.50,658
2024-06-18,116.70,226
2024-06-20,117.20,555
2024-06-21,119.11,620
2024-06-24,120.00,310
2024-06-25,119.85,262
2024-06-26,114.47,407
2024-06-27,110.45,1541
2024-06-28,111.02,376
2024-07-01,116.00,867
2024-07-02,118.00,1089
2024-07-03,118.94,128
2024-07-05,118.99,97
2024-07-08,118.99,171
2024-07-09,125.01,1670
2024-07-10,127.50,819
2024-07-11,130.89,1419
2024-07-12,131.43,722
2024-07-15,130.31,651
2024-07-16,134.16,979
2024-07-17,119.50,1211
2024-07-18,120.53,704
2024-07-19,123.85,300
2024-07-22,125.68,468
2024-07-23,126.56,581
2024-07-24,120.09,1442
2024-07-25,109.08,2628
2024-07-26,113.68,1021
2024-07-29,110.30,853
2024-07-30,110.86,1057
2024-07-31,124.65,3518
2024-08-01,121.10,1112
2024-08-02,114.63,1917
2024-08-05,114.22,1142
2024-08-06,117.24,635
2024-08-07,116.44,490
2024-08-08,119.48,488
2024-08-09,123.56,431
2024-08-12,119.76,688
2024-08-13,126.89,1085
2024-08-14,129.81,1571
2024-08-15,135.64,976
2024-08-16,132.96,372
2024-08-19,137.65,363
2024-08-20,134.25,230
2024-08-21,139.01,772
2024-08-22,143.00,557
2024-08-23,148.80,769
2024-08-26,145.02,824
2024-08-27,151.86,747
2024-08-28,148.15,738
2024-08-29,146.36,485
2024-08-30,149.61,590
2024-09-03,138.27,850
2024-09-04,142.85,830
2024-09-05,145.01,775
2024-09-06,143.07,1096
2024-09-09,146.12,767
2024-09-10,147.68,578
2024-09-11,152.10,889
2024-09-12,155.99,685
2024-09-13,166.75,1278
2024-09-16,167.59,829
2024-09-17,165.87,1189
2024-09-18,171.02,2105
2024-09-19,175.36,2024
2024-09-20,184.09,6423
2024-09-23,181.36,2540
2024-09-24,185.32,1958
2024-09-25,190.02,1333
2024-09-26,178.23,1520
2024-09-27,182.22,1043
2024-09-30,178.24,932
2024-10-01,179.01,780
2024-10-02,175.93,1046
2024-10-03,182.20,657
2024-10-04,190.35,867
2024-10-07,178.62,1412
2024-10-08,177.83,485
2024-10-09,170.66,1102
2024-10-10,167.89,1073
2024-10-11,159.19,2201
2024-10-14,166.61,987
2024-10-15,162.08,695
2024-10-16,171.05,1055
2024-10-17,171.68,1377
2024-10-18,173.97,659
2024-10-21,179.18,908
2024-10-22,181.00,1111
2024-10-23,183.07,983
2024-10-24,177.98,996
2024-10-25,181.25,485
2024-10-28,186.41,638
2024-10-29,181.31,720
2024-10-30,174.23,496
2024-10-31,181.36,875
2024-11-01,173.88,1052
2024-11-04,170.00,3745
2024-11-05,189.73,2341
2024-11-06,192.13,1701
2024-11-07,205.58,1736
2024-11-08,206.50,1326
2024-11-11,209.22,755
2024-11-12,208.79,875
2024-11-13,206.52,1179
2024-11-14,203.24,1781
2024-11-15,200.43,1019
2024-11-18,207.49,566
2024-11-19,214.70,697
2024-11-20,206.09,1004
2024-11-21,219.89,1096
2024-11-22,214.20,943
2024-11-25,209.34,1720
2024-11-26,216.39,813
2024-11-27,214.05,359
2024-11-29,214.41,216
2024-12-02,209.81,601
2024-12-03,212.63,717
2024-12-04,221.71,920
2024-12-05,223.54,618
2024-12-06,221.41,568
2024-12-09,208.68,1222
2024-12-10,203.66,1051
2024-12-11,210.73,584
2024-12-12,209.42,504
2024-12-13,207.46,372
2024-12-16,209.22,363
2024-12-17,205.85,660
2024-12-18,195.52,599
2024-12-19,195.90,853
2024-12-20,197.11,1214
2024-12-23,198.75,521
2024-12-24,206.85,261
2024-12-26,206.39,328
2024-12-27,200.12,415
2024-12-30,201.66,436
2024-12-31,201.47,395
2025-01-02,212.23,736
2025-01-03,215.59,840
2025-01-06,218.20,803
2025-01-07,212.71,669
2025-01-08,215.59,1001
2025-01-10,221.80,1800
2025-01-13,212.49,557
2025-01-14,220.25,699
2025-01-15,226.39,1290
2025-01-16,234.16,1667
2025-01-17,234.95,1015
2025-01-21,243.64,1422
2025-01-22,249.99,1170
2025-01-23,247.12,1172
2025-01-24,245.06,891
2025-01-27,192.16,4655
2025-01-28,204.42,2680
2025-01-29,214.00,2021
2025-01-30,224.95,1441
2025-01-31,221.73,1039
2025-02-03,230.85,1205
2025-02-04,234.42,991
2025-02-05,235.85,826
2025-02-06,238.91,662
2025-02-07,238.73,653
2025-02-10,238.23,628
2025-02-11,233.95,737
2025-02-12,236.50,650
2025-02-13,240.38,672
2025-02-14,241.54,686
2025-02-18,250.37,708
2025-02-19,248.33,838
2025-02-20,236.43,921
2025-02-21,218.80,2494
2025-02-24,215.85,1453
2025-02-25,211.59,1590
2025-02-26,217.71,1216
2025-02-27,201.82,1492
2025-02-28,207.95,2210
2025-03-03,188.02,1542
2025-03-04,195.76,2606
2025-03-05,197.85,1145
2025-03-06,180.53,1864
2025-03-07,176.24,1664
2025-03-10,165.75,3046
2025-03-11,176.56,1965
2025-03-12,199.09,3298
2025-03-13,195.20,1194
2025-03-14,204.93,1225
2025-03-17,207.00,908
2025-03-18,202.74,991
2025-03-19,210.30,1038
2025-03-20,212.96,760
2025-03-21,214.81,1268
2025-03-24,218.96,1334
2025-03-25,217.73,1082
2025-03-26,203.09,1351
2025-03-27,202.79,1146
2025-03-28,197.48,850
2025-03-31,199.67,838
2025-04-01,207.44,960
2025-04-02,214.73,1099
2025-04-03,184.41,1608
2025-04-04,174.40,2380
2025-04-07,183.06,1633
2025-04-08,182.62,1413
2025-04-09,203.41,1704
2025-04-10,196.39,1055
2025-04-11,198.04,960
2025-04-14,200.23,555
2025-04-15,202.93,541
2025-04-16,203.20,779
2025-04-17,203.46,650
2025-04-21,191.37,737
2025-04-22,197.59,816
2025-04-23,204.66,855
2025-04-24,211.01,471
2025-04-25,211.56,704
2025-04-28,213.43,582
2025-04-29,213.95,533
2025-04-30,215.08,701
2025-05-01,223.34,1146
2025-05-02,225.94,720
2025-05-05,222.28,769
2025-05-06,234.72,1399
2025-05-07,231.31,1420
2025-05-08,228.61,1222
2025-05-09,225.16,802
2025-05-12,236.62,1397
2025-05-13,241.08,879
2025-05-14,244.92,617
2025-05-15,244.80,807
2025-05-16,244.86,797
2025-05-19,240.30,747
2025-05-20,241.21,510
2025-05-21,235.39,503
2025-05-22,238.63,609
2025-05-23,243.08,458
2025-05-27,245.22,803
2025-05-28,244.52,463
2025-05-29,244.69,568
2025-05-30,243.95,727
2025-06-02,248.56,754
2025-06-03,255.48,1589
2025-06-04,260.00,1010
2025-06-05,255.94,514
2025-06-06,258.54,517
2025-06-09,257.02,1913
2025-06-10,255.10,1137
2025-06-11,274.82,3266
2025-06-12,274.99,1200
2025-06-13,277.16,1013
2025-06-16,280.92,740
2025-06-17,285.88,686
2025-06-18,290.38,989
2025-06-20,288.66,889
