date,close,volume
2019-01-02,22.38,3952
2019-01-03,22.17,2941
2019-01-04,23.07,3017
2019-01-07,23.46,5251
2019-01-08,23.47,3682
2019-01-09,23.31,3417
2019-01-10,24.11,4587
2019-01-11,23.79,3299
2019-01-14,23.55,4237
2019-01-15,23.73,3059
2019-01-16,24.25,3899
2019-01-17,24.61,3332
2019-01-18,24.20,3436
2019-01-22,24.28,3867
2019-01-23,24.76,4388
2019-01-24,24.64,3842
2019-01-25,24.65,3376
2019-01-28,24.41,3821
2019-01-29,24.64,2160
2019-01-30,24.92,2273
2019-01-31,25.11,3321
2019-02-01,25.07,3218
2019-02-04,25.40,3418
2019-02-05,25.20,2689
2019-02-06,25.26,2268
2019-02-07,25.53,2210
2019-02-08,25.93,3836
2019-02-11,26.11,2211
2019-02-12,26.29,3828
2019-02-13,26.13,3823
2019-02-14,26.31,2293
2019-02-15,26.51,3044
2019-02-19,26.59,3672
2019-02-20,26.64,3886
2019-02-21,26.76,2700
2019-02-22,26.89,2101
2019-02-25,26.56,2567
2019-02-26,26.28,4182
2019-02-27,26.15,3589
2019-02-28,26.04,4580
2019-03-01,26.55,3234
2019-03-04,25.43,7132
2019-03-05,25.48,5090
2019-03-06,25.23,4468
2019-03-07,24.94,3579
2019-03-08,25.13,3973
2019-03-11,25.25,3277
2019-03-12,25.88,4598
2019-03-13,26.02,5226
2019-03-14,25.55,2368
2019-03-15,25.59,3761
2019-03-18,25.79,2923
2019-03-19,25.58,2721
2019-03-20,25.60,4262
2019-03-21,26.14,2995
2019-03-22,25.98,3882
2019-03-25,26.09,4296
2019-03-26,25.96,3703
2019-03-27,25.90,5557
2019-03-28,25.80,4626
2019-03-29,26.03,4166
2019-04-01,26.03,2725
2019-04-02,26.32,2904
2019-04-03,26.19,3727
2019-04-04,26.05,3377
2019-04-05,25.94,3946
2019-04-08,25.76,3865
2019-04-09,25.49,4313
2019-04-10,25.90,3990
2019-04-11,26.04,3490
2019-04-12,26.10,3590
2019-04-15,25.99,2843
2019-04-16,25.98,3231
2019-04-17,25.67,3477
2019-04-18,26.01,3179
2019-04-22,26.20,3167
2019-04-23,26.42,2535
2019-04-24,26.59,2735
2019-04-25,26.80,3316
2019-04-26,27.02,3631
2019-04-29,27.05,2567
2019-04-30,27.25,6184
2019-05-01,27.25,3826
2019-05-02,27.25,4376
2019-05-03,26.66,5233
2019-05-06,26.31,5326
2019-05-07,26.15,5210
2019-05-08,25.19,10494
2019-05-09,24.85,5930
2019-05-10,24.83,4874
2019-05-13,24.47,5866
2019-05-14,24.57,5194
2019-05-15,24.50,3507
2019-05-16,24.66,3577
2019-05-17,24.81,5581
2019-05-20,25.06,4867
2019-05-21,25.75,8590
2019-05-22,25.45,3871
2019-05-23,24.80,4289
2019-05-24,24.48,3022
2019-05-28,24.59,5945
2019-05-29,24.02,5216
2019-05-30,23.42,6916
2019-05-31,23.56,7731
2019-06-03,23.76,3868
2019-06-04,24.27,5739
2019-06-05,24.61,3995
2019-06-06,24.62,2784
2019-06-07,24.31,4269
2019-06-10,24.11,2852
2019-06-11,24.57,2895
2019-06-12,24.22,3577
2019-06-13,23.86,3475
2019-06-14,23.77,2875
2019-06-17,23.26,6942
2019-06-18,23.60,4432
2019-06-19,23.82,3856
2019-06-20,24.19,3043
2019-06-21,24.10,11378
2019-06-24,23.89,4640
2019-06-25,23.37,5542
2019-06-26,22.26,9892
2019-06-27,22.24,9463
2019-06-28,22.64,8406
2019-07-01,22.76,4171
2019-07-02,22.62,4030
2019-07-03,22.54,6180
2019-07-05,22.54,3072
2019-07-08,22.43,4829
2019-07-09,22.42,3373
2019-07-10,22.43,3611
2019-07-11,22.39,5321
2019-07-12,22.58,2316
2019-07-15,22.55,2719
2019-07-16,21.97,4410
2019-07-17,22.22,3057
2019-07-18,22.11,2598
2019-07-19,21.83,2979
2019-07-22,21.61,2981
2019-07-23,21.43,2451
2019-07-24,21.56,1959
2019-07-25,21.92,2950
2019-07-26,21.75,1956
2019-07-29,21.77,3175
2019-07-30,21.87,2870
2019-07-31,21.46,5402
2019-08-01,21.55,3267
2019-08-02,22.04,4687
2019-08-05,21.72,5243
2019-08-06,22.28,5022
2019-08-07,22.06,6234
2019-08-08,22.75,4783
2019-08-09,22.13,3182
2019-08-12,22.10,1881
2019-08-13,22.59,4372
2019-08-14,22.29,8127
2019-08-15,22.61,5830
2019-08-16,23.69,5835
2019-08-19,23.69,5318
2019-08-20,23.79,7208
2019-08-21,24.11,6583
2019-08-22,24.14,4263
2019-08-23,23.98,5871
2019-08-26,24.26,3064
2019-08-27,23.99,4010
2019-08-28,24.04,2859
2019-08-29,24.40,4065
2019-08-30,24.95,3065
2019-09-03,25.07,4527
2019-09-04,25.22,3648
2019-09-05,25.68,3816
2019-09-06,25.53,4902
2019-09-09,25.55,5314
2019-09-10,25.62,6054
2019-09-11,25.97,9106
2019-09-12,26.27,3637
2019-09-13,26.25,3742
2019-09-16,26.56,4658
2019-09-17,26.66,7207
2019-09-18,26.75,6021
2019-09-19,26.68,4201
2019-09-20,27.14,9024
2019-09-23,26.96,4127
2019-09-24,26.98,4223
2019-09-25,27.15,3781
2019-09-26,26.88,3352
