date,close,volume
2009-01-02,2.38,13832100
2009-01-05,2.67,19326900
2009-01-06,2.78,23860000
2009-01-07,2.66,14026300
2009-01-08,2.74,13413000
2009-01-09,2.69,9733000
2009-01-12,2.52,13085600
2009-01-13,2.38,21157100
2009-01-14,2.15,14821600
2009-01-15,2.26,16022500
2009-01-16,2.29,15182600
2009-01-20,2.0,12983200
2009-01-21,2.25,11915800
2009-01-22,2.02,21451500
2009-01-23,2.07,26600900
2009-01-26,2.01,15745800
2009-01-27,2.14,12903300
2009-01-28,2.35,19551900
2009-01-29,2.2,8305000
2009-01-30,2.19,11034900
2009-02-02,2.15,8110300
2009-02-03,2.21,8594900
2009-02-04,2.27,15475300
2009-02-05,2.36,17011600
2009-02-06,2.41,12613400
2009-02-09,2.36,9916600
2009-02-10,2.11,24515200
2009-02-11,2.15,11796000
2009-02-12,2.28,12085200
2009-02-13,2.42,15057900
2009-02-17,2.37,15592900
2009-02-18,2.2,18635200
2009-02-19,2.12,12271700
2009-02-20,2.03,12688400
2009-02-23,2.02,10436500
2009-02-24,2.12,12778200
2009-02-25,2.22,13086400
2009-02-26,2.09,11036900
2009-02-27,2.18,14342300
2009-03-02,2.01,15337400
2009-03-03,2.07,18596000
2009-03-04,2.3,21183500
2009-03-05,2.16,10533400
2009-03-06,2.14,9510200
2009-03-09,2.14,9490200
2009-03-10,2.32,14926500
2009-03-11,2.31,11985800
2009-03-12,2.4,14596600
2009-03-13,2.52,14898000
2009-03-16,2.48,22781100
2009-03-17,2.76,22838600
2009-03-18,2.97,14552600
2009-03-19,2.96,18551600
2009-03-20,2.67,17890400
2009-03-23,3.02,13723500
2009-03-24,3.14,19895300
2009-03-25,3.17,33607200
2009-03-26,3.56,24274900
2009-03-27,3.37,11206300
2009-03-30,3.19,12112600
2009-03-31,3.05,20773500
2009-04-01,3.02,31558500
2009-04-02,3.16,22516700
2009-04-03,3.43,16140300
2009-04-06,3.53,15234800
2009-04-07,3.44,11663000
2009-04-08,3.68,16869600
2009-04-09,3.75,19026000
2009-04-13,3.61,16038600
2009-04-14,3.63,14713800
2009-04-15,3.44,15601300
2009-04-16,3.57,10120800
2009-04-17,3.56,12224300
2009-04-20,3.31,10502200
2009-04-21,3.36,14244500
2009-04-22,3.33,23887100
2009-04-23,3.53,18621700
2009-04-24,3.51,18536800
2009-04-27,3.47,11960900
2009-04-28,3.41,12108800
2009-04-29,3.51,11546300
2009-04-30,3.61,18194700
2009-05-01,3.82,16236600
2009-05-04,4.26,21256400
2009-05-05,4.32,16369800
2009-05-06,4.31,15076500
2009-05-07,4.01,23408000
2009-05-08,3.93,14316100
2009-05-11,4.22,25404600
2009-05-12,4.35,29756700
2009-05-13,4.38,35483300
2009-05-14,4.24,33859900
2009-05-15,4.01,30105100
2009-05-18,4.14,19665800
2009-05-19,4.39,23196000
2009-05-20,4.5,25214100
2009-05-21,4.34,14492200
2009-05-22,4.26,8274300
2009-05-26,4.53,16094300
2009-05-27,4.71,21512600
2009-05-28,4.7,18383900
2009-05-29,4.54,24539700
2009-06-01,4.73,26633200
2009-06-02,4.56,24950700
2009-06-03,4.48,19087100
2009-06-04,4.65,19728300
2009-06-05,4.63,18775200
2009-06-08,4.61,12342400
2009-06-09,4.75,18767500
2009-06-10,4.82,18322600
2009-06-11,4.7,15847200
2009-06-12,4.47,39939500
2009-06-15,4.26,27471700
2009-06-16,4.13,27530400
2009-06-17,4.08,32809400
2009-06-18,3.85,29208700
2009-06-19,3.87,20840700
2009-06-22,3.62,21564900
2009-06-23,3.55,21411900
2009-06-24,3.66,19674200
2009-06-25,3.64,14595100
2009-06-26,3.62,16782600
2009-06-29,3.72,14889100
2009-06-30,3.87,24129800
2009-07-01,3.91,25970300
2009-07-02,3.78,13415300
2009-07-06,3.55,26785900
2009-07-07,3.43,20511800
2009-07-08,3.36,32725000
2009-07-09,3.48,19995600
2009-07-10,3.49,13017100
2009-07-13,3.56,15494800
2009-07-14,3.55,14482300
2009-07-15,3.86,35985700
2009-07-16,3.92,18804500
2009-07-17,4.0,15920000
2009-07-20,4.17,30769400
2009-07-21,4.08,47575700
2009-07-22,3.55,66623200
2009-07-23,3.59,26307900
2009-07-24,3.77,25206600
2009-07-27,3.8,15781300
2009-07-28,3.77,15661700
2009-07-29,3.71,18382700
2009-07-30,3.66,20841900
2009-07-31,3.66,14282400
2009-08-03,3.74,12875200
2009-08-04,3.76,20095900
2009-08-05,3.75,12174500
2009-08-06,3.71,11660200
2009-08-07,3.7,12259500
2009-08-10,3.68,10704400
2009-08-11,3.59,12670300
2009-08-12,3.59,13465300
2009-08-13,3.68,22048000
2009-08-14,3.69,23177600
2009-08-17,3.55,15706400
2009-08-18,3.56,23269700
2009-08-19,3.52,10937500
2009-08-20,3.52,6528900
2009-08-21,3.7,20133600
2009-08-24,4.0,49755000
2009-08-25,4.02,28065000
2009-08-26,4.06,20686200
2009-08-27,4.23,26139300
2009-08-28,4.47,41971900
2009-08-31,4.36,22133900
2009-09-01,4.22,32602600
2009-09-02,4.28,19010800
2009-09-03,4.53,33180600
2009-09-04,4.53,19622500
2009-09-08,5.19,73355000
2009-09-09,5.2,44410400
2009-09-10,5.38,39108400
2009-09-11,5.68,48505700
2009-09-14,5.72,27629100
2009-09-15,5.88,26757300
2009-09-16,5.69,43399700
2009-09-17,5.67,38169500
2009-09-18,5.7,34251800
2009-09-21,5.81,26292700
2009-09-22,6.08,39994300
2009-09-23,6.02,34479800
2009-09-24,5.66,36318200
2009-09-25,5.83,29820800
2009-09-28,5.94,20247100
2009-09-29,5.78,31086500
2009-09-30,5.66,37557200
2009-10-01,5.39,42759500
2009-10-02,5.31,31821800
2009-10-05,5.54,29232100
2009-10-06,5.64,21908400
2009-10-07,5.54,16911100
2009-10-08,5.51,20299300
2009-10-09,5.88,27325500
2009-10-12,6.14,38595800
2009-10-13,6.08,29647100
2009-10-14,6.25,32294400
2009-10-15,6.19,37778500
2009-10-16,5.74,62203100
2009-10-19,5.87,20547600
2009-10-20,5.98,35580300
2009-10-21,5.77,27058800
2009-10-22,5.83,21176900
2009-10-23,5.6,26662900
2009-10-26,5.42,26803400
2009-10-27,5.15,31030200
2009-10-28,4.85,30672900
2009-10-29,4.93,27195300
2009-10-30,4.6,31600900
2009-11-02,4.6,23885000
2009-11-03,4.64,23046700
2009-11-04,4.69,25223500
2009-11-05,4.83,14731100
2009-11-06,5.04,20953200
2009-11-09,5.21,15821100
2009-11-10,5.14,16308400
2009-11-11,5.32,24533200
2009-11-12,6.48,163101700
2009-11-13,6.53,68140400
2009-11-16,6.43,48798900
2009-11-17,6.62,26734100
2009-11-18,7.32,79142400
2009-11-19,7.05,65901400
2009-11-20,6.95,28226700
2009-11-23,7.0,29284300
2009-11-24,6.95,18549700
2009-11-25,7.11,16390300
2009-11-27,6.85,16185100
2009-11-30,7.01,19388300
2009-12-01,7.2,23136400
2009-12-02,7.3,26906700
2009-12-03,8.03,69019800
2009-12-04,7.86,43885500
2009-12-07,8.52,45635400
2009-12-08,8.67,41620000
2009-12-09,8.71,30324700
2009-12-10,8.58,26101900
2009-12-11,8.64,20052900
2009-12-14,8.68,24243900
2009-12-15,8.82,30510200
2009-12-16,9.15,43161900
2009-12-17,9.12,19954300
2009-12-18,9.05,15956300
2009-12-21,9.53,30422500
2009-12-22,9.43,26229900
2009-12-23,9.67,19547900
2009-12-24,9.91,11332000
2009-12-28,9.83,17266400
2009-12-29,9.75,20986000
2009-12-30,9.72,14407600
2009-12-31,9.68,9396500
2010-01-04,9.7,18748700
2010-01-05,9.71,22145700
2010-01-06,9.57,18643400
2010-01-07,9.47,26806800
2010-01-08,9.43,13752800
2010-01-11,9.14,23700100
2010-01-12,8.65,33387100
2010-01-13,9.15,32741900
2010-01-14,9.0,22556600
2010-01-15,8.84,34336600
2010-01-19,9.01,24866200
2010-01-20,8.87,22813600
2010-01-21,8.99,37888700
2010-01-22,7.88,69136400
2010-01-25,8.07,20560000
2010-01-26,8.09,20946600
2010-01-27,8.19,26832700
2010-01-28,7.88,32084100
2010-01-29,7.46,37457700
2010-02-01,7.98,25476400
2010-02-02,7.91,21110900
2010-02-03,7.81,14521900
2010-02-04,7.19,33172200
2010-02-05,7.35,28808300
2010-02-08,7.42,24304200
2010-02-09,7.54,19978100
2010-02-10,7.64,17269400
2010-02-11,7.84,14973100
2010-02-12,7.87,21788000
2010-02-16,8.06,13579100
2010-02-17,8.03,12019200
2010-02-18,7.95,14677000
2010-02-19,7.93,8107300
2010-02-22,7.9,9708700
2010-02-23,7.79,15566700
2010-02-24,8.05,16543800
2010-02-25,7.89,20955600
2010-02-26,7.91,17085200
2010-03-01,8.21,14856000
2010-03-02,8.38,25506100
2010-03-03,8.35,14260800
2010-03-04,8.5,14448000
2010-03-05,8.61,14826400
2010-03-08,8.64,12760000
2010-03-09,8.63,17664900
2010-03-10,8.92,23426900
2010-03-11,8.95,15977800
2010-03-12,8.93,12802500
2010-03-15,8.92,11428900
2010-03-16,9.4,25356300
2010-03-17,9.67,23574800
2010-03-18,9.39,17772300
2010-03-19,9.11,15938000
2010-03-22,9.31,15101100
2010-03-23,9.45,10623200
2010-03-24,9.23,12096100
2010-03-25,9.03,15824100
2010-03-26,9.02,12158100
2010-03-29,9.11,9621900
2010-03-30,9.27,13451600
2010-03-31,9.27,12850100
2010-04-01,9.37,11757400
2010-04-05,9.53,10467800
2010-04-06,9.35,18738400
2010-04-07,9.66,29125500
2010-04-08,9.42,21494000
2010-04-09,9.3,24207600
2010-04-12,9.42,16578500
2010-04-13,9.56,15125200
2010-04-14,9.89,29201400
2010-04-15,10.16,55096500
2010-04-16,9.81,67757600
2010-04-19,9.58,27868200
2010-04-20,9.77,21244700
2010-04-21,9.78,28651400
2010-04-22,9.86,22389600
2010-04-23,9.76,18841700
2010-04-26,9.97,24335500
2010-04-27,9.58,27169000
2010-04-28,9.55,23028300
2010-04-29,9.72,14350400
2010-04-30,9.07,37974900
2010-05-03,9.29,27504700
2010-05-04,8.68,46482500
2010-05-05,8.58,36757300
2010-05-06,8.27,44875400
2010-05-07,8.38,48469500
2010-05-10,8.99,34695700
2010-05-11,9.07,41062100
2010-05-12,9.49,33567100
2010-05-13,9.42,33222600
2010-05-14,8.8,59018500
2010-05-17,8.85,27721900
2010-05-18,8.42,29716300
2010-05-19,8.47,29864100
2010-05-20,8.09,37502700
2010-05-21,8.4,39732500
2010-05-24,8.09,24504000
2010-05-25,8.15,30410500
2010-05-26,8.22,37479100
2010-05-27,8.8,24221900
2010-05-28,8.57,28073700
2010-06-01,8.14,31201200
2010-06-02,8.54,24157900
2010-06-03,8.69,22533800
2010-06-04,8.11,37657500
2010-06-07,7.71,27240400
2010-06-08,7.77,36007300
2010-06-09,7.61,24756300
2010-06-10,8.01,27986700
2010-06-11,8.12,21054300
2010-06-14,8.28,21793500
2010-06-15,8.82,35702500
2010-06-16,8.9,33576700
2010-06-17,8.91,21712000
2010-06-18,8.83,16524200
2010-06-21,8.8,25872100
2010-06-22,8.58,23876600
2010-06-23,8.56,23040500
2010-06-24,8.13,31282200
2010-06-25,8.09,22859400
2010-06-28,8.05,21544000
2010-06-29,7.48,43861400
2010-06-30,7.32,26406200
2010-07-01,7.39,27289900
2010-07-02,7.17,26074800
2010-07-06,7.04,25868800
2010-07-07,7.39,23676900
2010-07-08,7.37,21847000
2010-07-09,7.34,20373000
2010-07-12,7.36,36053000
2010-07-13,7.52,39013900
2010-07-14,7.44,49139700
2010-07-15,7.41,51384100
2010-07-16,7.37,72988600
2010-07-19,7.44,27901000
2010-07-20,7.6,30643500
2010-07-21,7.4,28174700
2010-07-22,7.61,25149600
2010-07-23,7.82,28582400
2010-07-26,8.07,32459900
2010-07-27,8.21,34586300
2010-07-28,7.98,30818500
2010-07-29,7.78,40211700
2010-07-30,7.49,35900700
2010-08-02,7.65,29109400
2010-08-03,7.51,20259500
2010-08-04,7.52,18846500
