date,close,volume
2009-01-02,6.98,2783500
2009-01-05,7.08,2523900
2009-01-06,8.4,10725100
2009-01-07,9.04,11874200
2009-01-08,8.75,7158000
2009-01-09,8.03,5194500
2009-01-12,7.77,3252900
2009-01-13,7.47,3786800
2009-01-14,7.08,3937400
2009-01-15,7.32,5030300
2009-01-16,7.25,3884700
2009-01-20,6.53,3154200
2009-01-21,7.02,4039600
2009-01-22,7.06,3267400
2009-01-23,7.75,4743700
2009-01-26,7.74,3783200
2009-01-27,7.85,3606800
2009-01-28,7.5,5710200
2009-01-29,7.03,3076800
2009-01-30,6.24,4968600
2009-02-02,5.98,6360200
2009-02-03,6.18,4306800
2009-02-04,6.01,4126200
2009-02-05,6.46,4368800
2009-02-06,6.65,3124800
2009-02-09,6.57,2445500
2009-02-10,6.11,4607100
2009-02-11,6.3,3662200
2009-02-12,6.35,1667900
2009-02-13,6.37,1420500
2009-02-17,5.86,2943900
2009-02-18,5.65,3411500
2009-02-19,5.43,2556000
2009-02-20,5.34,3423900
2009-02-23,5.09,2505000
2009-02-24,5.6,3546800
2009-02-25,5.45,3646600
2009-02-26,5.73,4480700
2009-02-27,5.37,4879400
2009-03-02,5.28,3194900
2009-03-03,5.13,2456500
2009-03-04,5.34,3272400
2009-03-05,5.93,6908800
2009-03-06,6.11,4880200
2009-03-09,6.26,3808500
2009-03-10,7.0,5026100
2009-03-11,6.76,4406800
2009-03-12,7.28,3399300
2009-03-13,6.9,4973700
2009-03-16,6.69,1860800
2009-03-17,7.1,2260200
2009-03-18,7.4,3012800
2009-03-19,7.28,2514600
2009-03-20,6.75,2486800
2009-03-23,7.23,2618800
2009-03-24,7.25,2176600
2009-03-25,7.45,2580400
2009-03-26,8.41,5311400
2009-03-27,8.22,3593900
2009-03-30,7.88,2722700
2009-03-31,7.78,3039400
2009-04-01,8.26,2647500
2009-04-02,8.61,3078000
2009-04-03,8.87,3177800
2009-04-06,8.43,3020700
2009-04-07,8.17,1485500
2009-04-08,8.67,3304800
2009-04-09,9.07,3060800
2009-04-13,8.97,3395500
2009-04-14,8.52,4110900
2009-04-15,8.7,3505700
2009-04-16,9.52,4353300
2009-04-17,9.92,4774200
2009-04-20,9.07,3150300
2009-04-21,9.48,2820800
2009-04-22,9.94,3404000
2009-04-23,9.97,4541500
2009-04-24,11.21,5622400
2009-04-27,10.83,4515200
2009-04-28,11.21,4226800
2009-04-29,11.59,3740400
2009-04-30,11.95,5548300
2009-05-01,11.98,3004400
2009-05-04,12.25,4716000
2009-05-05,12.09,3880200
2009-05-06,12.19,3917100
2009-05-07,10.99,4370000
2009-05-08,11.34,4143700
2009-05-11,10.73,3913600
2009-05-12,9.94,7017900
2009-05-13,9.38,5477500
2009-05-14,9.55,4967200
2009-05-15,9.59,3028800
2009-05-18,10.47,5147300
2009-05-19,11.27,5544900
2009-05-20,10.9,4043000
2009-05-21,10.91,2896300
2009-05-22,10.66,3014100
2009-05-26,11.05,3279100
2009-05-27,10.84,2469000
2009-05-28,10.81,3601300
2009-05-29,11.0,3933700
2009-06-01,12.0,5739700
2009-06-02,11.74,3956600
2009-06-03,11.02,5976700
2009-06-04,11.63,13386900
2009-06-05,10.77,8219000
2009-06-08,10.61,4148700
2009-06-09,10.92,4844800
2009-06-10,10.76,3905100
2009-06-11,10.44,5236900
2009-06-12,10.19,3903100
2009-06-15,10.01,3363100
2009-06-16,10.05,6462700
2009-06-17,10.0,3932300
2009-06-18,9.8,2694400
2009-06-19,10.61,6676300
2009-06-22,9.86,5276600
2009-06-23,9.71,4102900
2009-06-24,9.73,2412000
2009-06-25,10.15,3529500
2009-06-26,10.25,3541000
2009-06-29,10.39,1999500
2009-06-30,10.35,1957600
2009-07-01,10.33,1621100
2009-07-02,9.9,1909100
2009-07-06,9.39,6413900
2009-07-07,8.84,6871400
2009-07-08,8.93,6882100
2009-07-09,9.3,3954800
2009-07-10,9.33,2824100
2009-07-13,9.53,2395000
2009-07-14,9.66,3488300
2009-07-15,10.05,3626500
2009-07-16,10.25,2743200
2009-07-17,10.02,4486500
2009-07-20,10.18,4634200
2009-07-21,10.3,5539400
2009-07-22,10.34,3732800
2009-07-23,11.15,7650600
2009-07-24,11.44,4611100
2009-07-27,11.74,4771500
2009-07-28,11.63,4141400
2009-07-29,11.25,3584900
2009-07-30,11.16,3137800
2009-07-31,11.16,2600800
2009-08-03,11.38,2729800
2009-08-04,11.5,3599900
2009-08-05,11.57,2724400
2009-08-06,11.37,2680400
2009-08-07,11.66,2290300
2009-08-10,11.65,2625200
2009-08-11,11.36,2211800
2009-08-12,11.81,3544900
2009-08-13,12.63,8093100
2009-08-14,12.52,4547300
2009-08-17,11.75,2758600
2009-08-18,12.81,7897200
2009-08-19,13.2,12629500
2009-08-20,13.05,8811700
2009-08-21,13.43,4332700
2009-08-24,13.17,4743700
2009-08-25,12.96,4132200
2009-08-26,13.32,3240000
2009-08-27,13.44,2855400
2009-08-28,13.62,2556500
2009-08-31,13.4,2402000
2009-09-01,12.36,7892200
2009-09-02,12.27,5801300
2009-09-03,13.0,12172700
2009-09-04,13.65,6257100
2009-09-08,14.43,6856000
2009-09-09,14.82,8586000
2009-09-10,15.67,7027400
2009-09-11,15.83,6033300
2009-09-14,15.6,4147400
2009-09-15,15.9,3975700
2009-09-16,16.25,4031200
2009-09-17,16.200001,2730900
2009-09-18,16.030001,3574000
2009-09-21,16.190001,5035100
2009-09-22,16.5,2060500
2009-09-23,16.209999,2033800
2009-09-24,15.87,2854800
2009-09-25,15.49,2533500
2009-09-28,16.200001,3496600
2009-09-29,16.26,3052400
2009-09-30,16.280001,3678600
2009-10-01,15.05,6229000
2009-10-02,14.66,6696600
2009-10-05,14.17,11144700
2009-10-06,13.05,20522800
2009-10-07,13.44,13361500
2009-10-08,12.77,13746100
2009-10-09,12.84,6782800
2009-10-12,13.41,9158800
2009-10-13,13.46,6723300
2009-10-14,14.42,12445800
2009-10-15,14.17,4877200
2009-10-16,13.99,5676700
2009-10-19,14.19,4356600
2009-10-20,14.11,6246900
2009-10-21,13.79,4531100
2009-10-22,13.46,8492400
2009-10-23,12.69,7991200
2009-10-26,12.43,5796300
2009-10-27,11.86,8003100
2009-10-28,11.76,5453800
2009-10-29,12.25,4127100
2009-10-30,11.73,4917500
2009-11-02,11.59,4506500
2009-11-03,12.03,5274500
2009-11-04,11.77,4551700
2009-11-05,12.15,2591500
2009-11-06,12.25,2332200
2009-11-09,12.46,2927800
2009-11-10,12.2,2446200
2009-11-11,12.46,2677600
2009-11-12,12.28,2355100
2009-11-13,12.37,2606500
2009-11-16,13.07,6860100
2009-11-17,14.02,10212400
2009-11-18,13.6,4630500
2009-11-19,13.47,3962300
2009-11-20,13.17,5648900
2009-11-23,12.0,18164600
2009-11-24,12.43,12423900
2009-11-25,12.6,3844600
2009-11-27,12.15,2600900
2009-11-30,12.15,3592700
2009-12-01,12.28,5088700
2009-12-02,12.88,13065300
2009-12-03,12.11,11795400
2009-12-04,12.58,6599400
2009-12-07,12.74,4714200
2009-12-08,12.94,6561100
2009-12-09,13.23,5612800
2009-12-10,11.72,29764900
2009-12-11,11.5,15497800
2009-12-14,10.99,12474600
2009-12-15,10.88,10006400
2009-12-16,10.97,6997200
2009-12-17,10.67,6102200
2009-12-18,11.05,22379400
2009-12-21,10.85,9876000
2009-12-22,10.9,4081800
2009-12-23,11.01,3193400
2009-12-24,11.21,2401200
2009-12-28,10.89,5250400
2009-12-29,10.93,2595900
2009-12-30,10.89,2768300
2009-12-31,10.84,3203200
2010-01-04,11.02,4406500
2010-01-05,11.86,19918300
2010-01-06,11.91,11450800
2010-01-07,12.21,6438200
2010-01-08,11.93,5409800
2010-01-11,11.76,4924600
2010-01-12,11.72,5068900
2010-01-13,12.06,4547000
2010-01-14,11.98,3363400
2010-01-15,11.63,3478400
2010-01-19,12.91,16003700
2010-01-20,13.04,11631400
2010-01-21,12.71,10050800
2010-01-22,12.24,6415000
2010-01-25,13.06,7598700
2010-01-26,12.77,6008600
2010-01-27,13.23,7059700
2010-01-28,13.14,7746900
2010-01-29,12.75,9066500
2010-02-01,13.1,3751100
2010-02-02,13.43,4382500
2010-02-03,13.39,6207300
2010-02-04,12.87,8058400
2010-02-05,12.8,7246700
2010-02-08,12.76,3627400
2010-02-09,13.09,3709200
2010-02-10,13.67,6984700
2010-02-11,13.94,5477800
2010-02-12,14.38,5522400
2010-02-16,14.38,3960800
2010-02-17,14.15,4175300
2010-02-18,14.4,3075700
2010-02-19,14.48,3067700
2010-02-22,14.73,3652400
2010-02-23,14.14,5617800
2010-02-24,14.42,4215500
2010-02-25,14.81,5746000
2010-02-26,14.34,6598600
2010-03-01,14.71,4856200
2010-03-02,14.76,5159700
2010-03-03,14.55,6084000
2010-03-04,13.97,26237500
2010-03-05,16.01,24802100
2010-03-08,15.1,17304000
2010-03-09,15.42,20218200
2010-03-10,15.49,11712700
2010-03-11,15.93,10172500
2010-03-12,15.8,4962400
2010-03-15,15.75,4611400
2010-03-16,15.96,4474600
2010-03-17,15.79,6127600
2010-03-18,15.17,10528500
2010-03-19,14.93,8282700
2010-03-22,15.38,11437400
2010-03-23,15.48,4413400
2010-03-24,15.46,4451500
2010-03-25,15.15,7011200
2010-03-26,15.44,5692300
2010-03-29,15.26,3341200
2010-03-30,15.26,2813300
2010-03-31,15.26,5013500
2010-04-01,15.08,6349400
2010-04-05,15.43,4797200
2010-04-06,16.129999,12407900
2010-04-07,16.290001,10445000
2010-04-08,15.99,5961000
2010-04-09,16.26,4773900
2010-04-12,17.49,15732200
2010-04-13,18.059999,15436500
2010-04-14,18.59,12481500
2010-04-15,18.07,9949000
2010-04-16,17.639999,9024400
2010-04-19,17.34,7761700
2010-04-20,18.23,25449100
2010-04-21,17.75,11108300
2010-04-22,17.48,6690100
2010-04-23,18.139999,6894100
2010-04-26,18.02,7331300
2010-04-27,17.57,8263600
2010-04-28,18.139999,8159800
2010-04-29,18.299999,4680000
2010-04-30,18.530001,9542400
2010-05-03,19.24,5876400
2010-05-04,18.35,7808500
2010-05-05,17.92,6582400
2010-05-06,16.959999,13420400
2010-05-07,16.1,10531700
2010-05-10,16.610001,8297200
2010-05-11,16.85,5477800
2010-05-12,17.299999,4382600
2010-05-13,17.01,5879500
2010-05-14,16.43,7088000
2010-05-17,16.700001,5892500
2010-05-18,16.200001,4935900
2010-05-19,15.66,8686000
2010-05-20,15.01,8247300
2010-05-21,15.62,10440700
2010-05-24,15.46,4151100
2010-05-25,15.61,6392800
2010-05-26,15.43,5606000
2010-05-27,16.09,3898000
2010-05-28,15.57,7283500
2010-06-01,14.87,6691200
2010-06-02,15.29,6084300
2010-06-03,15.37,5391600
2010-06-04,14.53,8379100
2010-06-07,13.95,7213400
2010-06-08,13.84,9361800
2010-06-09,13.95,13792300
2010-06-10,14.16,9649000
2010-06-11,14.38,5159700
2010-06-14,14.26,5376400
2010-06-15,14.62,6279800
2010-06-16,14.78,5789900
2010-06-17,14.6,3950000
2010-06-18,14.57,2391100
2010-06-21,14.56,5033300
2010-06-22,14.19,6343000
2010-06-23,14.21,4384800
2010-06-24,13.89,3891000
2010-06-25,13.7,11094400
2010-06-28,13.47,5826100
2010-06-29,13.02,6912500
2010-06-30,12.68,4182600
2010-07-01,12.74,6629800
2010-07-02,12.49,3295000
2010-07-06,12.41,3306900
2010-07-07,13.05,4859500
2010-07-08,12.85,6067900
2010-07-09,12.72,4815900
2010-07-12,12.77,3117600
2010-07-13,13.32,6314000
2010-07-14,13.78,6872500
2010-07-15,13.43,5770900
2010-07-16,12.8,6426200
2010-07-19,12.53,4842200
2010-07-20,12.61,5155300
2010-07-21,12.29,2973700
2010-07-22,12.95,3971900
2010-07-23,13.46,5364300
2010-07-26,13.9,4094500
2010-07-27,13.47,4718200
2010-07-28,13.19,2857200
2010-07-29,13.1,2747700
2010-07-30,13.09,3479200
2010-08-02,13.3,1931600
2010-08-03,13.17,2439700
2010-08-04,13.52,3569200
2010-08-05,13.25,2672400
2010-08-06,13.43,2517600
2010-08-09,13.72,3221200
2010-08-10,13.46,2895100
2010-08-11,12.96,3738600
2010-08-12,12.39,6918900
2010-08-13,12.19,3884100
2010-08-16,12.02,4638400
2010-08-17,12.62,4897400
2010-08-18,12.55,3066800
2010-08-19,12.36,2909800
2010-08-20,12.58,2255000
2010-08-23,12.28,2520900
2010-08-24,12.22,2972000
2010-08-25,12.52,4435600
2010-08-26,12.74,5474800
2010-08-27,13.03,3260100
2010-08-30,12.79,2804800
2010-08-31,12.49,3801000
2010-09-01,12.81,2568900
2010-09-02,12.8,5824300
2010-09-03,13.29,4790700
2010-09-07,13.43,9330200
2010-09-08,14.12,12538200
2010-09-09,13.92,5978600
2010-09-10,14.18,5736900
2010-09-13,14.74,6351700
2010-09-14,14.93,6109200
2010-09-15,14.88,4063700
2010-09-16,15.05,3585500
2010-09-17,15.14,3968000
2010-09-20,15.37,3109300
2010-09-21,15.23,5179700
2010-09-22,15.05,3211700
2010-09-23,15.22,5102800
2010-09-24,15.6,3777900
2010-09-27,15.66,4160100
2010-09-28,15.65,2477200
2010-09-29,15.69,4609000
2010-09-30,15.57,3745200
2010-10-01,15.45,3363400
2010-10-04,15.36,3072100
2010-10-05,15.44,4271700
2010-10-06,15.45,4262700
2010-10-07,15.59,3003400
2010-10-08,15.44,3337000
2010-10-11,15.54,2361000
2010-10-12,15.22,14478800
2010-10-13,15.14,12737600
2010-10-14,14.9,6719400
2010-10-15,14.5,12451300
2010-10-18,14.54,5839100
2010-10-19,13.55,19962500
2010-10-20,13.88,7256000
2010-10-21,13.52,8428400
2010-10-22,13.8,4088100
2010-10-25,14.15,7605500
2010-10-26,13.94,4466600
2010-10-27,13.75,4529600
2010-10-28,13.32,10660200
2010-10-29,13.81,7294500
2010-11-01,13.6,5993600
2010-11-02,13.55,5217500
2010-11-03,13.94,6566200
2010-11-04,14.2,6133500
2010-11-05,14.37,4851700
2010-11-08,14.47,4388500
2010-11-09,14.3,4934500
2010-11-10,14.61,5415500
2010-11-11,14.63,6459900
2010-11-12,14.73,8787700
2010-11-15,14.32,2959900
2010-11-16,14.04,4881800
2010-11-17,14.07,2727600
2010-11-18,14.57,4270700
2010-11-19,14.63,2342300
2010-11-22,15.34,6385800
2010-11-23,15.22,5328900
2010-11-24,15.48,3076400
2010-11-26,15.29,1468200
2010-11-29,15.51,3659000
2010-11-30,15.13,6450300
2010-12-01,15.35,4873900
2010-12-02,15.72,3145200
2010-12-03,15.93,3444700
2010-12-06,15.92,2314400
2010-12-07,15.74,3874500
2010-12-08,15.92,4832600
2010-12-09,18.360001,19528700
2010-12-10,19.209999,12197500
2010-12-13,19.08,5064700
2010-12-14,19.1,5158200
2010-12-15,19.290001,3367500
2010-12-16,20.860001,13383700
2010-12-17,21.42,8143000
2010-12-20,21.280001,4888100
2010-12-21,21.48,4365400
2010-12-22,20.809999,5376400
2010-12-23,20.4,4845700
2010-12-27,20.959999,2982200
2010-12-28,21.24,2615500
2010-12-29,21.08,2104500
2010-12-30,21.219999,2485400
2010-12-31,21.049999,1857700
2011-01-03,21.709999,3731800
2011-01-04,22.48,8258000
2011-01-05,22.93,7039700
2011-01-06,23.99,13624100
2011-01-07,23.82,5680000
2011-01-10,24.82,7912600
2011-01-11,24.73,10230300
2011-01-12,24.99,5126200
2011-01-13,25.049999,6232000
2011-01-14,25.33,4492400
2011-01-18,25.49,5695500
2011-01-19,24.82,4950600
2011-01-20,24.1,7043700
2011-01-21,23.6,6709100
2011-01-24,24.73,5034900
2011-01-25,24.190001,4851300
2011-01-26,23.309999,10861700
2011-01-27,23.65,5970400
2011-01-28,23.5,6688500
2011-01-31,22.030001,15094900
2011-02-01,23.049999,9081300
2011-02-02,23.309999,5148700
2011-02-03,23.549999,3988200
2011-02-04,26.9,19113600
2011-02-07,26.719999,8510300
2011-02-08,26.879999,3665000
2011-02-09,26.639999,7430500
2011-02-10,27.35,8491400
2011-02-11,27.84,6757400
2011-02-14,28.129999,5670900
2011-02-15,27.25,6678800
2011-02-16,27.73,3424300
2011-02-17,27.74,3349600
2011-02-18,27.690001,3571500
2011-02-22,26.15,5596300
2011-02-23,25.559999,5775300
2011-02-24,26.559999,4677800
2011-02-25,27.57,4561000
2011-02-28,27.57,3111800
2011-03-01,26.34,4001000
2011-03-02,27.440001,9032300
2011-03-03,28.709999,6028200
2011-03-04,28.809999,7156700
2011-03-07,25.98,24397900
2011-03-08,25.68,8859200
2011-03-09,24.33,11647000
2011-03-10,23.629999,7251600
2011-03-11,24.93,7055500
2011-03-14,24.66,3896400
2011-03-15,24.66,4973300
2011-03-16,25.07,7991000
2011-03-17,24.74,7429500
2011-03-18,23.1,11687000
2011-03-21,24.02,6619500
2011-03-22,22.32,14837800
2011-03-23,22.889999,7552000
2011-03-24,24.25,8263500
2011-03-25,24.0,5399100
2011-03-28,23.4,4818400
2011-03-29,24.34,4544600
2011-03-30,25.58,9065400
2011-03-31,25.940001,9266500
2011-04-01,25.35,6201000
2011-04-04,25.07,3376700
2011-04-05,26.549999,10378000
2011-04-06,26.65,6876300
2011-04-07,26.24,3161100
2011-04-08,26.139999,2895900
