date,close,volume
2009-01-02,4.75,626100
2009-01-05,4.9,659500
2009-01-06,4.83,918600
2009-01-07,4.67,614100
2009-01-08,4.62,539000
2009-01-09,4.52,639400
2009-01-12,4.56,1170100
2009-01-13,4.79,1026600
2009-01-14,4.54,1331400
2009-01-15,4.48,1296900
2009-01-16,4.49,1027800
2009-01-20,4.44,1009000
2009-01-21,4.51,693000
2009-01-22,4.6,740400
2009-01-23,4.57,644600
2009-01-26,4.44,875600
2009-01-27,4.35,926400
2009-01-28,4.39,1200200
2009-01-29,4.35,1513900
2009-01-30,4.3,1181000
2009-02-02,4.13,1835800
2009-02-03,4.02,1897100
2009-02-04,4.04,1578100
2009-02-05,4.18,1662700
2009-02-06,4.25,2373200
2009-02-09,4.31,741600
2009-02-10,4.15,1247600
2009-02-11,4.04,901200
2009-02-12,4.01,649600
2009-02-13,3.98,868900
2009-02-17,3.77,1270600
2009-02-18,3.69,1636200
2009-02-19,3.66,1286600
2009-02-20,3.51,1525200
2009-02-23,3.13,1801000
2009-02-24,3.25,1392500
2009-02-25,3.11,1547300
2009-02-26,3.22,1572000
2009-02-27,3.16,646200
2009-03-02,3.06,1134600
2009-03-03,3.02,855700
2009-03-04,3.16,1357100
2009-03-05,2.9,794800
2009-03-06,2.86,1285300
2009-03-09,2.59,1295000
2009-03-10,2.89,1997200
2009-03-11,2.86,480600
2009-03-12,3.01,1285900
2009-03-13,3.02,1101400
2009-03-16,3.0,518600
2009-03-17,3.01,396200
2009-03-18,3.05,1462300
2009-03-19,2.9,986000
2009-03-20,2.99,711500
2009-03-23,3.23,715400
2009-03-24,3.13,1237300
2009-03-25,3.5,1906000
2009-03-26,3.92,2891200
2009-03-27,3.73,1049500
2009-03-30,3.68,1443900
2009-03-31,3.56,1922500
2009-04-01,3.74,1485300
2009-04-02,3.73,1049400
2009-04-03,4.15,3079300
2009-04-06,4.35,2580400
2009-04-07,4.4,2604100
2009-04-08,4.56,2174400
2009-04-09,4.68,2898600
2009-04-13,4.59,820700
2009-04-14,4.52,565100
