date,close,volume
2009-01-02,9.81,211800
2009-01-05,9.34,406200
2009-01-06,9.615,270000
2009-01-07,9.2,333200
2009-01-08,9.31,367800
2009-01-09,9.16,396200
2009-01-12,8.975,336400
2009-01-13,9.06,200400
2009-01-14,8.925,439400
2009-01-15,9.045,308800
2009-01-16,9.005,364800
2009-01-20,8.185,495200
2009-01-21,9.845,908600
2009-01-22,9.515,596400
2009-01-23,9.38,530600
2009-01-26,9.705,405200
2009-01-27,9.74,237600
2009-01-28,9.93,484600
2009-01-29,9.65,421400
2009-01-30,9.415,270200
2009-02-02,9.49,515000
2009-02-03,9.645,459200
2009-02-04,9.555,318800
2009-02-05,9.7,200000
2009-02-06,10.04,338800
2009-02-09,10.165,476800
2009-02-10,10.05,676200
2009-02-11,10.015,480600
2009-02-12,10.16,415200
2009-02-13,10.14,295400
2009-02-17,9.745,407600
2009-02-18,9.5,568200
2009-02-19,9.005,850000
2009-02-20,9.095,513400
2009-02-23,8.775,402200
2009-02-24,9.255,355200
2009-02-25,9.03,408800
2009-02-26,8.885,280800
2009-02-27,8.98,320400
2009-03-02,8.3,510400
2009-03-03,8.025,651600
2009-03-04,8.255,537800
2009-03-05,7.845,421000
2009-03-06,7.845,434600
2009-03-09,7.5,297200
2009-03-10,7.775,440400
2009-03-11,7.695,760400
2009-03-12,7.995,877600
2009-03-13,8.13,212200
2009-03-16,8.04,287600
2009-03-17,8.475,368800
2009-03-18,8.51,674800
2009-03-19,8.5,437600
2009-03-20,8.22,384600
2009-03-23,8.575,426800
2009-03-24,8.34,270000
2009-03-25,8.775,487600
2009-03-26,9.16,412400
2009-03-27,8.775,341000
2009-03-30,8.54,331800
2009-03-31,8.59,380600
2009-04-01,8.875,384000
2009-04-02,9.395,330400
2009-04-03,9.425,197000
2009-04-06,9.425,258200
2009-04-07,9.035,331200
2009-04-08,9.085,203600
2009-04-09,10.03,550400
2009-04-13,10.175,364000
2009-04-14,10.08,293200
2009-04-15,10.13,366600
2009-04-16,10.535,273400
2009-04-17,10.845,502400
2009-04-20,10.14,383200
2009-04-21,10.095,933200
2009-04-22,10.64,719800
2009-04-23,10.515,397000
2009-04-24,11.31,553400
2009-04-27,11.335,452800
2009-04-28,11.34,352200
2009-04-29,11.865,332800
2009-04-30,11.985,389000
2009-05-01,11.925,344200
2009-05-04,12.065,344000
2009-05-05,12.13,311400
2009-05-06,11.9,231800
2009-05-07,11.555,306400
2009-05-08,11.975,220800
2009-05-11,11.75,185200
2009-05-12,11.5,378600
2009-05-13,10.985,529200
2009-05-14,11.24,424400
2009-05-15,11.255,486200
2009-05-18,11.715,393600
2009-05-19,11.72,226000
2009-05-20,11.585,355800
2009-05-21,11.26,277600
2009-05-22,11.115,171600
2009-05-26,11.86,334000
2009-05-27,11.53,192600
2009-05-28,11.795,250000
2009-05-29,12.0,300000
2009-06-01,12.585,357000
2009-06-02,12.71,354600
2009-06-03,12.685,210400
2009-06-04,12.93,257400
2009-06-05,12.96,275000
2009-06-08,12.885,204400
2009-06-09,12.855,210600
2009-06-10,12.555,454000
2009-06-11,11.67,797200
2009-06-12,12.065,380800
2009-06-15,11.745,312200
2009-06-16,11.475,357200
2009-06-17,11.56,249600
2009-06-18,11.56,142600
2009-06-19,11.58,280400
2009-06-22,11.295,336000
2009-06-23,11.105,261800
2009-06-24,11.01,347400
2009-06-25,11.27,239600
2009-06-26,11.35,1012600
2009-06-29,11.22,225800
2009-06-30,11.115,208600
2009-07-01,10.99,412200
2009-07-02,10.625,277000
2009-07-06,10.43,334800
2009-07-07,10.13,303000
2009-07-08,10.0,424800
2009-07-09,9.91,160200
2009-07-10,9.895,171400
2009-07-13,9.71,631200
2009-07-14,9.89,287000
2009-07-15,10.41,371000
2009-07-16,10.605,188600
2009-07-17,10.14,332400
2009-07-20,10.285,157000
2009-07-21,10.415,191600
2009-07-22,10.63,201600
2009-07-23,11.13,443200
2009-07-24,11.275,332000
2009-07-27,11.225,341200
2009-07-28,11.425,313000
2009-07-29,11.695,296200
2009-07-30,12.165,414600
2009-07-31,11.995,309800
2009-08-03,12.39,295000
2009-08-04,12.25,352000
2009-08-05,11.98,260800
2009-08-06,11.94,294400
2009-08-07,12.095,232800
2009-08-10,12.095,123400
2009-08-11,11.955,133600
2009-08-12,12.33,148400
2009-08-13,12.315,228600
2009-08-14,12.075,185800
2009-08-17,11.78,148600
2009-08-18,11.895,110000
2009-08-19,11.965,144800
2009-08-20,12.06,243000
2009-08-21,12.035,439800
2009-08-24,11.935,244800
2009-08-25,11.84,421400
2009-08-26,13.065,1021000
2009-08-27,13.12,285800
2009-08-28,13.465,313000
2009-08-31,13.38,242600
2009-09-01,12.995,319000
2009-09-02,12.96,218200
2009-09-03,13.18,113200
2009-09-04,13.275,114200
2009-09-08,13.46,190200
2009-09-09,13.535,168600
2009-09-10,13.875,251200
2009-09-11,13.62,152000
2009-09-14,13.7,113400
2009-09-15,13.625,143600
2009-09-16,13.62,171000
2009-09-17,13.61,131800
2009-09-18,13.22,430800
2009-09-21,13.25,140600
2009-09-22,13.13,148000
2009-09-23,13.175,187400
2009-09-24,13.07,120600
2009-09-25,12.705,134400
2009-09-28,13.11,141200
2009-09-29,13.01,115000
2009-09-30,12.72,163200
2009-10-01,12.545,216600
2009-10-02,12.545,267200
2009-10-05,12.885,166800
2009-10-06,13.21,139200
2009-10-07,13.265,94800
2009-10-08,13.655,229400
2009-10-09,13.915,210200
2009-10-12,14.01,151200
2009-10-13,13.975,107800
2009-10-14,14.265,163600
2009-10-15,14.335,168800
2009-10-16,13.945,224400
2009-10-19,14.255,255800
2009-10-20,13.91,1184000
2009-10-21,14.405,466400
2009-10-22,14.62,151600
2009-10-23,14.32,188400
2009-10-26,14.16,179000
2009-10-27,13.92,192800
2009-10-28,13.855,300000
2009-10-29,13.805,451200
2009-10-30,13.235,339000
2009-11-02,13.105,328000
2009-11-03,13.53,448000
2009-11-04,13.39,313000
2009-11-05,14.035,308400
2009-11-06,14.01,319800
2009-11-09,14.4,169600
2009-11-10,14.445,285800
2009-11-11,14.285,127800
2009-11-12,14.155,280600
2009-11-13,14.225,98600
2009-11-16,14.685,137600
2009-11-17,14.555,79600
2009-11-18,14.55,128000
2009-11-19,14.335,243000
2009-11-20,14.315,204000
2009-11-23,14.685,227000
2009-11-24,14.68,101600
2009-11-25,14.65,98000
2009-11-27,13.9,93000
2009-11-30,14.24,268600
2009-12-01,14.4,110800
2009-12-02,14.56,167200
2009-12-03,14.525,115000
2009-12-04,14.95,141400
2009-12-07,14.89,126200
2009-12-08,14.76,172000
2009-12-09,14.83,442000
2009-12-10,14.63,263200
2009-12-11,14.605,301400
2009-12-14,14.955,642000
2009-12-15,14.89,216600
2009-12-16,14.925,288200
2009-12-17,14.925,134600
2009-12-18,15.11,474000
2009-12-21,15.41,210400
2009-12-22,16.059999,303200
2009-12-23,16.334999,183600
2009-12-24,16.43,56200
2009-12-28,16.129999,221000
2009-12-29,16.139999,130600
2009-12-30,15.975,183400
2009-12-31,15.9,129000
2010-01-04,16.08,185000
2010-01-05,16.285,668800
2010-01-06,16.385,529800
2010-01-07,15.74,344600
2010-01-08,15.675,181000
2010-01-11,15.595,158800
2010-01-12,15.125,242200
2010-01-13,15.06,177800
2010-01-14,14.965,146000
2010-01-15,14.675,544400
2010-01-19,15.545,588800
2010-01-20,15.18,369000
2010-01-21,14.27,579000
2010-01-22,14.15,286400
2010-01-25,13.97,172800
2010-01-26,13.51,315800
2010-01-27,13.375,482600
2010-01-28,13.48,599200
2010-01-29,13.37,641400
2010-02-01,13.425,325200
2010-02-02,13.43,177800
2010-02-03,13.2,172200
2010-02-04,12.79,329000
2010-02-05,13.005,205400
2010-02-08,12.93,162800
2010-02-09,13.11,235800
2010-02-10,13.165,170600
2010-02-11,13.465,171800
2010-02-12,13.605,176400
2010-02-16,13.69,125800
2010-02-17,13.9,198400
2010-02-18,14.035,155800
2010-02-19,14.06,156400
2010-02-22,14.04,126600
2010-02-23,14.01,258000
2010-02-24,14.03,123800
2010-02-25,14.205,153200
2010-02-26,14.02,174200
2010-03-01,14.48,182200
2010-03-02,14.71,231800
2010-03-03,14.825,142800
2010-03-04,14.9,183600
2010-03-05,15.3,228000
2010-03-08,15.405,195000
2010-03-09,16.129999,427600
2010-03-10,16.440001,337400
2010-03-11,16.59,289200
2010-03-12,16.639999,346600
2010-03-15,16.700001,274000
2010-03-16,16.719999,164000
2010-03-17,16.610001,216600
2010-03-18,16.445,147800
2010-03-19,16.035,583600
2010-03-22,16.455,174400
2010-03-23,16.59,124400
2010-03-24,16.290001,115600
2010-03-25,16.110001,152200
2010-03-26,16.434999,162600
2010-03-29,16.514999,91400
2010-03-30,16.67,139600
2010-03-31,16.92,268600
2010-04-01,16.940001,259200
2010-04-05,17.055,137600
2010-04-06,16.93,126600
2010-04-07,16.594999,194400
2010-04-08,16.615,88000
2010-04-09,16.514999,116600
2010-04-12,16.610001,125600
2010-04-13,16.725,77400
2010-04-14,17.620001,315200
2010-04-15,17.4,273800
2010-04-16,17.065001,404400
2010-04-19,16.975,166400
2010-04-20,16.860001,183400
2010-04-21,17.17,412000
2010-04-22,17.205,98000
2010-04-23,17.225,81800
2010-04-26,17.08,115800
2010-04-27,18.290001,494200
2010-04-28,18.625,236000
2010-04-29,18.945,176400
