date,close,volume
2019-06-12,14.5,77796800
2019-06-13,16.889999,43695600
2019-06-14,16.040001,25056800
2019-06-17,17.502501,12990000
2019-06-18,19.125,26450400
2019-06-19,19.305,13276400
2019-06-20,18.7125,13718400
2019-06-21,18.057501,10630000
2019-06-24,16.9925,9792000
2019-06-25,15.38,9920800
2019-06-26,15.6625,6502000
2019-06-27,15.82,3658000
2019-06-28,17.0725,5897200
2019-07-01,15.8,10683600
2019-07-02,16.129999,6942400
2019-07-03,16.809999,6256400
2019-07-05,16.8025,3219600
2019-07-08,16.727501,18268800
2019-07-09,17.112499,7130800
2019-07-10,18.584999,10877200
2019-07-11,17.719999,9407200
2019-07-12,18.375,7353200
2019-07-15,17.9,5300400
2019-07-16,17.385,6329200
2019-07-17,17.75,4148000
2019-07-18,18.1875,11119600
2019-07-19,20.879999,54676000
2019-07-22,21.92,21430800
2019-07-23,21.684999,10119200
2019-07-24,21.865,5002800
2019-07-25,23.07,13081600
2019-07-26,23.219999,8212000
2019-07-29,21.807501,13271200
2019-07-30,23.5,12508800
2019-07-31,22.2675,9904000
2019-08-01,22.8825,8952800
2019-08-02,22.002501,7204000
2019-08-05,21.370001,8785600
2019-08-06,21.309999,5429600
2019-08-07,21.055,3961600
2019-08-08,22.9125,6769200
2019-08-09,23.725,12248800
2019-08-12,23.252501,7582400
2019-08-13,24.9125,12098400
2019-08-14,23.504999,11291600
2019-08-15,23.415001,6052400
2019-08-16,24.012501,6071200
2019-08-19,24.8475,11130800
2019-08-20,24.790001,5755200
2019-08-21,24.145,7135600
2019-08-22,23.2425,7056000
2019-08-23,22.1075,12164000
2019-08-26,22.219999,5849600
2019-08-27,21.02,7286400
2019-08-28,21.747499,7677200
2019-08-29,20.955,7148000
2019-08-30,20.32,7629200
2019-09-03,20.940001,7310800
2019-09-04,21.327499,9572400
2019-09-05,21.7125,15674400
2019-09-06,18.995001,34689200
2019-09-09,16.775,34392800
2019-09-10,17.9125,18690000
2019-09-11,17.2775,12456000
2019-09-12,17.415001,11694000
2019-09-13,16.215,16665200
2019-09-16,16.965,11218000
2019-09-17,17.76,11242000
2019-09-18,17.7125,7996800
2019-09-19,17.2325,6736000
2019-09-20,16.7425,13430000
2019-09-23,16.727501,3303600
2019-09-24,15.63,10422800
2019-09-25,15.505,9853600
2019-09-26,14.575,11540400
2019-09-27,13.365,17797600
2019-09-30,14.5775,16083200
2019-10-01,14.4725,11340800
2019-10-02,14.1575,6244000
2019-10-03,15.535,20289200
2019-10-04,15.96,8615600
2019-10-07,17.195,14457200
2019-10-08,16.325001,11040000
2019-10-09,15.77,8786400
2019-10-10,15.3525,9153200
2019-10-11,15.0675,13326400
2019-10-14,13.63,17781600
2019-10-15,13.8025,7921200
2019-10-16,13.0075,10356400
2019-10-17,12.61,11124000
2019-10-18,11.76,14676400
2019-10-21,11.85,9616800
2019-10-22,11.55,10782400
2019-10-23,11.9675,14744400
2019-10-24,12.96,8187200
2019-10-25,12.5275,6113200
2019-10-28,11.9875,11032800
2019-10-29,11.95,6956800
2019-10-30,12.86125,8870400
2019-10-31,12.4775,4184000
2019-11-01,12.125,5754800
2019-11-04,12.4125,5205200
2019-11-05,12.175,5828800
2019-11-06,11.9575,4114400
2019-11-07,11.375,6660000
2019-11-08,11.8025,7909200
2019-11-11,11.55,5147600
2019-11-12,11.7625,6963200
2019-11-13,13.0,11440000
2019-11-14,13.1825,11283600
2019-11-15,14.9375,16017200
2019-11-18,14.2675,8957600
2019-11-19,14.0,6364800
2019-11-20,13.72,9027600
2019-11-21,13.4425,3837600
2019-11-22,13.55,4113600
2019-11-25,13.96,7372400
2019-11-26,13.895,7987200
2019-11-27,14.0725,3946000
2019-11-29,14.5,4977600
2019-12-02,13.7525,11700400
2019-12-03,14.3425,5583600
2019-12-04,13.745,6428000
2019-12-05,13.2375,13449600
2019-12-06,12.7225,32116000
2019-12-09,12.25,55174000
2019-12-10,11.8875,23004400
2019-12-11,11.9325,37454000
2019-12-12,11.825,22839200
2019-12-13,12.3525,25456800
2019-12-16,12.3625,20138400
2019-12-17,12.0975,18969200
2019-12-18,12.535,22613200
2019-12-19,12.3675,12179200
2019-12-20,12.3725,12478400
2019-12-23,11.9625,18352000
2019-12-24,11.9375,6033600
2019-12-26,12.5075,19116800
2019-12-27,12.23,14040000
2019-12-30,12.5075,22824400
2019-12-31,12.4675,13154000
2020-01-02,12.36,17713200
2020-01-03,12.6875,44662400
2020-01-06,13.7775,86901600
2020-01-07,13.6875,50014000
2020-01-08,13.915,30046400
2020-01-09,13.985,26068800
2020-01-10,14.3,32602800
2020-01-13,14.7425,28154800
2020-01-14,14.81,31146000
2020-01-15,15.0625,31893200
2020-01-16,15.56,24638000
2020-01-17,15.8625,25023600
2020-01-21,15.56,24346800
2020-01-22,15.6425,17031200
2020-01-23,15.3875,16286800
2020-01-24,14.8125,26320800
2020-01-27,14.515,17703600
2020-01-28,14.7675,12296000
2020-01-29,15.065,13921600
2020-01-30,15.6125,16651200
2020-01-31,15.2725,16248800
