date,close,volume
2009-01-02,16.493095,2734200
2009-01-05,16.524927,4755600
2009-01-06,16.649063,3453400
2009-01-07,15.939297,4482400
2009-01-08,16.200279,2587000
2009-01-09,15.967944,2592000
2009-01-12,15.738788,5282400
2009-01-13,15.646487,4494600
2009-01-14,15.099046,5081000
2009-01-15,15.500075,4201800
2009-01-16,15.455516,5369800
2009-01-20,14.959011,5083800
2009-01-21,15.022661,5397600
2009-01-22,14.599359,5307000
2009-01-23,14.427482,4052000
2009-01-26,14.179223,5603800
2009-01-27,14.45295,3350800
2009-01-28,14.895347,2975000
2009-01-29,14.402023,3207800
2009-01-30,14.010534,4286600
2009-02-02,13.660432,4916600
2009-02-03,13.641335,4502600
2009-02-04,13.765464,3650600
2009-02-05,14.03595,3746600
2009-02-06,14.448098,2738200
2009-02-09,14.493186,2938200
2009-02-10,13.852402,3635800
2009-02-11,14.254908,4457000
2009-02-12,14.145422,4076600
2009-02-13,14.103569,3254800
2009-02-17,13.536853,3725200
2009-02-18,13.501422,3902600
2009-02-19,13.111807,4881000
2009-02-20,12.970128,4792400
2009-02-23,12.248851,5362000
2009-02-24,12.793031,4812600
2009-02-25,12.384085,3778400
2009-02-26,11.678907,8350400
2009-02-27,11.640269,8754200
2009-03-02,10.764435,6606600
2009-03-03,11.073552,8778400
2009-03-04,10.922215,7172200
2009-03-05,10.210595,7248400
2009-03-06,10.017395,5518400
2009-03-09,9.746912,4520000
2009-03-10,10.336173,6901200
2009-03-11,10.326516,7776000
2009-03-12,10.690374,5151200
2009-03-13,10.822394,3365600
2009-03-16,10.651735,4553000
2009-03-17,10.896454,4570600
2009-03-18,11.28607,4504800
2009-03-19,11.373013,4349600
2009-03-20,10.98661,3885800
2009-03-23,11.962271,5309000
2009-03-24,12.045987,4791800
2009-03-25,12.116835,5014600
2009-03-26,12.68355,4039400
2009-03-27,12.525776,3638400
2009-03-30,11.659593,4500400
2009-03-31,11.868892,7708200
2009-04-01,12.074973,3980800
2009-04-02,13.33077,6973600
2009-04-03,13.52719,4829200
2009-04-06,13.343654,3668800
2009-04-07,12.75761,3618000
2009-04-08,12.902513,4371400
2009-04-09,14.11322,6142200
2009-04-13,13.646327,5098000
2009-04-14,13.504648,3959800
2009-04-15,13.646327,3769000
2009-04-16,13.994087,5163000
2009-04-17,14.409466,4144800
2009-04-20,13.015209,7869800
2009-04-21,13.375853,4346200
2009-04-22,13.755814,4981200
2009-04-23,13.762247,3644000
2009-04-24,14.167965,2966400
2009-04-27,13.862065,3353000
2009-04-28,13.552945,2473800
2009-04-29,14.293546,4660400
2009-04-30,14.264239,4368200
2009-05-01,14.205616,4596000
2009-05-04,14.899283,4077800
2009-05-05,14.892775,3419600
2009-05-06,14.902543,6163800
2009-05-07,14.873232,4986600
2009-05-08,15.531077,4851200
2009-05-11,15.036063,4206200
2009-05-12,15.023044,4859000
2009-05-13,14.583389,6917400
2009-05-14,14.612696,6415200
2009-05-15,14.755988,5127000
2009-05-18,15.143537,4162800
2009-05-19,15.094685,7982200
2009-05-20,15.088171,5428000
2009-05-21,14.495459,7623200
2009-05-22,14.37822,3693200
2009-05-26,14.92534,3524200
2009-05-27,14.332623,4179000
2009-05-28,14.199102,5278600
2009-05-29,14.166535,5116000
2009-06-01,15.358479,6939600
2009-06-02,15.713455,5530000
2009-06-03,15.368246,4016000
2009-06-04,15.592956,3882600
2009-06-05,15.654835,4217000
2009-06-08,15.840463,4810400
2009-06-09,15.93166,3505800
2009-06-10,15.944684,3240600
2009-06-11,15.869776,3825800
2009-06-12,16.016329,2049600
2009-06-15,15.329166,3297400
2009-06-16,15.091433,4411400
2009-06-17,14.938366,4781600
2009-06-18,14.886262,3530400
2009-06-19,14.840669,4236200
2009-06-22,14.085115,4104800
2009-06-23,13.941822,4727600
2009-06-24,14.046035,3296000
2009-06-25,14.404274,5707400
2009-06-26,14.713659,7440200
2009-06-29,14.85695,3350400
2009-06-30,14.528025,3448600
2009-07-01,14.746218,3636200
2009-07-02,14.000445,3658800
2009-07-06,13.837613,4136800
2009-07-07,13.339337,4804400
2009-07-08,13.34585,4067200
2009-07-09,13.293747,3211000
2009-07-10,13.332826,3049800
2009-07-13,13.720372,3427000
2009-07-14,13.912523,3115200
2009-07-15,14.456384,3902400
2009-07-16,14.798335,4172000
2009-07-17,14.638753,5059400
2009-07-20,15.938166,15665000
2009-07-21,15.954451,7183000
2009-07-22,16.094482,4926000
2009-07-23,16.485279,5881000
2009-07-24,16.674175,3780000
2009-07-27,17.061722,7388400
2009-07-28,16.752333,4263000
2009-07-29,16.56019,4187400
2009-07-30,16.987761,4644600
2009-07-31,17.076571,2893600
2009-08-03,17.645567,4712000
2009-08-04,17.734371,2991600
2009-08-05,17.523878,2746800
2009-08-06,17.477825,1957200
2009-08-07,18.010643,2875200
2009-08-10,17.984337,1926600
2009-08-11,17.68174,2679000
2009-08-12,18.106026,2440400
2009-08-13,18.19483,2042600
2009-08-14,17.79686,2063400
2009-08-17,17.139057,2328200
2009-08-18,17.599524,2223000
2009-08-19,17.563337,1236400
2009-08-20,17.711346,1433200
2009-08-21,18.211271,2711800
2009-08-24,18.109322,1487800
2009-08-25,18.346127,2172800
2009-08-26,18.211271,1805200
2009-08-27,18.267189,1413400
2009-08-28,18.027096,2967800
2009-08-31,17.74424,2557200
2009-09-01,17.464668,3001000
2009-09-02,17.362713,2533600
2009-09-03,17.65214,2167200
2009-09-04,17.905392,1357000
2009-09-08,18.099455,2055800
2009-09-09,18.559912,2787600
2009-09-10,18.832901,3008000
2009-09-11,19.096018,3720800
2009-09-14,19.026949,3215000
2009-09-15,19.431501,4140600
2009-09-16,19.76041,3124400
2009-09-17,19.714355,4186000
2009-09-18,19.655153,4798800
2009-09-21,19.250599,3398400
2009-09-22,19.247314,1938600
2009-09-23,19.033535,1897800
2009-09-24,18.727652,1651800
2009-09-25,18.550039,1792800
2009-09-28,18.740805,1862000
2009-09-29,18.911839,3680800
2009-09-30,18.612532,3810200
2009-10-01,18.063274,4800400
2009-10-02,17.780418,2988600
2009-10-05,18.155361,2290200
2009-10-06,18.221134,3313800
2009-10-07,18.379021,2950400
2009-10-08,18.648714,3421200
2009-10-09,18.865788,1498000
2009-10-12,18.957882,1640000
2009-10-13,18.908546,1632000
2009-10-14,19.615683,2718200
2009-10-15,19.796583,3381200
2009-10-16,19.872225,4606600
2009-10-19,21.013521,11795000
2009-10-20,21.02009,4537200
2009-10-21,20.980629,5878800
2009-10-22,20.99379,3538800
2009-10-23,20.753683,2284200
2009-10-26,20.483988,2788000
2009-10-27,20.28994,2251600
2009-10-28,19.799875,2779400
2009-10-29,20.382017,2705000
2009-10-30,19.88209,4440800
2009-11-02,20.270193,4365800
2009-11-03,20.76684,6512600
2009-11-04,20.684622,3247600
2009-11-05,21.390795,3787200
2009-11-06,21.321159,3391400
2009-11-09,21.54661,4260600
2009-11-10,21.752159,4749000
2009-11-11,21.556555,3412600
2009-11-12,21.387476,4121000
2009-11-13,21.394112,2740000
2009-11-16,21.878141,5980200
2009-11-17,21.417313,4427000
2009-11-18,21.165342,5391800
2009-11-19,20.953163,4338200
2009-11-20,20.949848,3589800
2009-11-23,21.390795,4666600
2009-11-24,21.201813,3728600
2009-11-25,21.685858,2779400
2009-11-27,21.307905,1853400
2009-11-30,21.185236,2878600
2009-12-01,21.692492,3351800
2009-12-02,21.437204,2850800
2009-12-03,21.423946,2228400
2009-12-04,21.951088,3707600
2009-12-07,21.636127,3197200
2009-12-08,21.238279,2463200
2009-12-09,21.238279,2540800
2009-12-10,21.347692,2072200
2009-12-11,21.374218,1934800
2009-12-14,21.791945,1945600
2009-12-15,21.758793,1962000
2009-12-16,21.735588,2127800
2009-12-17,21.238279,1644600
2009-12-18,20.976372,3832400
2009-12-21,21.215075,1969400
2009-12-22,21.215075,1543200
2009-12-23,21.152088,1458000
2009-12-24,21.38085,366200
2009-12-28,21.231655,981400
2009-12-29,21.228338,1165400
2009-12-30,21.244917,1348000
2009-12-31,21.092405,1685400
2010-01-04,21.324484,2347600
2010-01-05,21.198498,2946600
2010-01-06,21.105673,4188000
2010-01-07,21.417313,2993000
2010-01-08,21.898046,2767800
2010-01-11,22.899277,5802400
2010-01-12,22.607536,3668000
2010-01-13,22.839607,3168800
2010-01-14,22.879387,2061600
2010-01-15,22.461653,3069600
2010-01-19,23.141306,4371000
2010-01-20,22.673838,2905400
2010-01-21,22.126808,3435400
2010-01-22,21.841679,3770800
2010-01-25,21.41069,8600000
2010-01-26,21.261486,4987800
2010-01-27,20.992943,6130600
2010-01-28,20.731033,3246200
2010-01-29,20.30335,4108200
2010-02-01,21.34107,5801000
2010-02-02,21.599661,3712200
2010-02-03,21.473671,2241000
2010-02-04,20.688496,3923600
2010-02-05,20.715227,4306800
2010-02-08,20.708553,4362000
2010-02-09,21.336689,5204800
2010-02-10,21.226431,2352800
2010-02-11,21.664124,2612800
2010-02-12,21.724264,3581800
2010-02-16,22.26553,3749800
2010-02-17,22.399181,3524400
2010-02-18,22.589622,2185400
2010-02-19,22.626373,3417800
2010-02-22,22.52949,2425000
2010-02-23,22.17532,2576600
2010-02-24,22.322329,2153800
2010-02-25,22.369102,4099600
2010-02-26,22.760031,4776200
2010-03-01,23.388161,3980800
2010-03-02,23.394842,2890000
2010-03-03,23.902699,4761000
2010-03-04,23.902699,4145400
2010-03-05,24.437296,3531800
2010-03-08,24.256865,1560200
2010-03-09,24.196724,2566200
2010-03-10,24.210087,3627000
2010-03-11,24.236811,3032400
2010-03-12,24.86495,4880600
2010-03-15,24.711266,2474200
2010-03-16,24.91507,1813600
2010-03-17,25.025337,2647400
2010-03-18,25.092157,1321600
2010-03-19,24.774748,4379800
2010-03-22,25.279274,3088200
2010-03-23,25.499781,2794000
2010-03-24,24.9986,2633200
2010-03-25,24.878326,3442000
2010-03-26,24.91507,2515800
2010-03-29,25.422932,2686200
2010-03-30,25.533194,2243200
2010-03-31,25.316006,2522400
2010-04-01,25.409573,2888600
2010-04-05,25.690231,2395800
2010-04-06,25.9475,2558400
2010-04-07,26.208107,6605000
2010-04-08,26.224812,5373400
2010-04-09,26.799498,5263000
2010-04-12,26.705942,4460800
2010-04-13,26.522186,4362200
2010-04-14,26.699259,3438000
2010-04-15,26.836243,3450600
2010-04-16,26.525524,2930000
2010-04-19,26.445335,5345200
2010-04-20,26.164671,9405800
2010-04-21,26.091169,4731600
2010-04-22,26.301657,5609200
2010-04-23,26.465374,3185600
2010-04-26,26.341747,3644600
2010-04-27,25.740334,3830600
2010-04-28,25.763727,3523000
2010-04-29,26.398558,5681600
2010-04-30,25.780441,7803400
2010-05-03,26.214788,4200000
2010-05-04,25.025337,5786000
2010-05-05,25.06543,6049600
2010-05-06,23.962172,6323600
2010-05-07,23.629185,7921000
2010-05-10,25.16633,4815200
2010-05-11,25.233606,4191000
2010-05-12,25.899593,3307000
2010-05-13,25.617064,2428600
2010-05-14,24.863615,3256800
2010-05-17,24.840075,3441000
2010-05-18,24.422989,3739400
2010-05-19,23.669542,5288800
2010-05-20,22.734461,5303600
2010-05-21,23.316364,7544800
2010-05-24,23.232271,5071600
2010-05-25,23.171728,6558200
2010-05-26,22.963186,5098400
2010-05-27,23.7099,4410000
2010-05-28,23.528263,4009800
2010-06-01,22.912733,2962200
2010-06-02,23.760361,3372400
2010-06-03,24.096718,3143400
2010-06-04,22.59655,3341800
2010-06-07,22.340925,5194400
2010-06-08,22.694098,5563400
2010-06-09,22.606644,3108200
2010-06-10,23.834347,3838800
2010-06-11,23.723356,2554400
2010-06-14,24.015987,3060000
2010-06-15,25.041885,3815200
2010-06-16,24.742523,2947600
2010-06-17,24.957796,2952800
2010-06-18,24.998161,2874200
2010-06-21,24.998161,2770000
2010-06-22,24.076538,3006200
2010-06-23,23.904989,3034400
2010-06-24,23.35,2085600
2010-06-25,23.612362,4234800
2010-06-28,23.286095,2996400
2010-06-29,22.196287,4434000
