date,close,volume
2021-01-04,10.8,150500
2021-01-05,11.11,165300
2021-01-06,11.05,175600
2021-01-07,11.11,94200
2021-01-08,11.01,137500
2021-01-11,11.17,162600
2021-01-12,11.18,210700
2021-01-13,11.2,386100
2021-01-14,11.44,291000
2021-01-15,11.22,269600
2021-01-19,11.32,573900
2021-01-20,11.32,434000
2021-01-21,11.5,401600
2021-01-22,12.0,503900
2021-01-25,12.09,621100
2021-01-26,11.91,695000
2021-01-27,11.45,919500
2021-01-28,11.37,183400
2021-01-29,11.35,230900
2021-02-01,11.55,244800
2021-02-02,11.9,159600
2021-02-03,12.0,164600
2021-02-04,11.99,142000
2021-02-05,11.76,162400
2021-02-08,11.78,527500
2021-02-09,11.99,240500
2021-02-10,11.88,151300
2021-02-11,11.77,83200
2021-02-12,11.8,117200
2021-02-16,11.7,265500
2021-02-17,11.81,177400
2021-02-18,12.24,460300
2021-02-19,12.71,424300
2021-02-22,12.75,506900
2021-02-23,12.14,379700
2021-02-24,14.44,7375300
2021-02-25,13.12,2067400
2021-02-26,14.47,1714800
2021-03-01,14.6,959500
2021-03-02,12.86,830100
2021-03-03,11.87,1067100
2021-03-04,11.97,1296400
2021-03-05,12.7,959800
2021-03-08,10.9,5674000
2021-03-09,11.31,2175400
2021-03-10,11.08,2130500
2021-03-11,11.2,1644300
2021-03-12,11.51,1135900
2021-03-15,11.53,1467500
2021-03-16,11.02,1387300
2021-03-17,11.0,1278700
2021-03-18,10.81,873200
2021-03-19,11.05,475200
2021-03-22,10.94,564300
2021-03-23,10.63,732200
2021-03-24,10.52,972300
2021-03-25,10.56,1178200
2021-03-26,10.52,647300
2021-03-29,10.73,317300
2021-03-30,10.5,447100
2021-03-31,10.77,398700
2021-04-01,10.57,481200
2021-04-05,10.69,362000
2021-04-06,10.78,370700
2021-04-07,10.69,435700
2021-04-08,11.0,648400
2021-04-09,11.03,299700
2021-04-12,10.84,450000
2021-04-13,10.75,465500
2021-04-14,10.59,435900
2021-04-15,10.54,299300
2021-04-16,10.37,545500
2021-04-19,10.25,694700
2021-04-20,10.3,526300
2021-04-21,10.48,249200
2021-04-22,10.39,479200
2021-04-23,10.49,156100
2021-04-26,10.54,230900
2021-04-27,10.5,214600
2021-04-28,10.6,181100
2021-04-29,10.66,322700
2021-04-30,10.78,275900
2021-05-03,10.81,266500
2021-05-04,10.63,145300
2021-05-05,10.4,154700
2021-05-06,10.26,200000
2021-05-07,10.21,407500
2021-05-10,10.14,224500
2021-05-11,10.02,885300
2021-05-12,10.02,753700
2021-05-13,10.08,247700
2021-05-14,10.05,160000
2021-05-17,10.0,674400
2021-05-18,9.95,352700
2021-05-19,9.91,437700
2021-05-20,9.94,1701000
2021-05-21,10.0,907700
2021-05-24,10.0,163000
2021-05-25,9.97,345100
2021-05-26,10.0,328400
2021-05-27,9.93,63300
2021-05-28,9.98,265600
2021-06-01,9.98,344600
2021-06-02,10.0,185100
2021-06-03,10.05,177000
2021-06-04,10.1,184400
2021-06-07,10.24,464900
2021-06-08,10.44,939900
2021-06-09,10.6,1145400
2021-06-10,10.55,626100
2021-06-11,10.57,338100
2021-06-14,10.52,193500
2021-06-15,10.45,98100
2021-06-16,10.43,164500
2021-06-17,10.31,182900
2021-06-18,10.29,112700
2021-06-21,10.16,195700
2021-06-22,10.1,554000
2021-06-23,10.11,124200
2021-06-24,10.3,700500
2021-06-25,10.39,348100
2021-06-28,10.49,551200
2021-06-29,10.55,285900
2021-06-30,10.69,440200
2021-07-01,10.7,247300
2021-07-02,10.48,147100
2021-07-06,10.53,356100
2021-07-07,10.44,274500
2021-07-08,10.42,341200
2021-07-09,10.5,325500
2021-07-12,10.46,173900
2021-07-13,10.31,118400
2021-07-14,10.13,339900
2021-07-15,10.11,276600
2021-07-16,10.12,214800
2021-07-19,9.95,701800
2021-07-20,9.95,728400
2021-07-21,9.92,626900
2021-07-22,9.96,709500
2021-07-23,9.95,240900
2021-07-26,9.95,243000
2021-07-27,9.93,200000
2021-07-28,9.93,302000
2021-07-29,9.91,282700
2021-07-30,9.92,139100
2021-08-02,9.93,197400
2021-08-03,9.94,142600
2021-08-04,9.96,185100
2021-08-05,9.98,372300
2021-08-06,9.94,283400
2021-08-09,10.0,540100
2021-08-10,10.0,201600
2021-08-11,10.0,400300
2021-08-12,10.01,1199600
2021-08-13,10.02,631400
2021-08-16,10.0,243700
2021-08-17,10.01,442700
2021-08-18,9.98,164400
2021-08-19,10.0,359500
2021-08-20,9.99,797300
2021-08-23,9.96,728000
2021-08-24,9.98,686400
2021-08-25,9.92,619100
2021-08-26,9.96,366800
2021-08-27,9.98,186300
2021-08-30,9.98,218500
2021-08-31,9.99,260700
2021-09-01,9.97,459000
2021-09-02,9.97,744900
2021-09-03,9.98,273300
2021-09-07,10.01,549000
2021-09-08,10.0,274600
2021-09-09,10.07,1582800
2021-09-10,10.0,368300
2021-09-13,10.02,616900
2021-09-14,10.0,394500
2021-09-15,10.01,1452100
2021-09-16,10.05,3042800
2021-09-17,10.06,1997200
2021-09-20,10.01,1738100
2021-09-21,10.05,1601400
2021-09-22,9.99,3418500
2021-09-23,10.01,4097200
2021-09-24,11.3,12876900
2021-09-27,11.94,9964500
2021-09-28,11.07,5386700
2021-09-29,10.93,3136900
2021-09-30,10.4,4857900
2021-10-01,9.2,6513300
2021-10-04,7.51,7298600
2021-10-05,7.73,3638700
2021-10-06,7.25,3871700
2021-10-07,7.63,2684100
2021-10-08,8.41,3956200
2021-10-11,8.44,3385700
2021-10-12,8.53,1668500
2021-10-13,9.24,2721600
2021-10-14,9.82,4451400
2021-10-15,10.05,4353500
2021-10-18,10.69,2827000
2021-10-19,10.91,5952900
2021-10-20,10.44,4248300
2021-10-21,10.18,1729600
2021-10-22,9.66,2485300
2021-10-25,10.28,7722700
2021-10-26,10.52,4744600
2021-10-27,12.28,7887100
2021-10-28,13.63,7731000
2021-10-29,15.04,12903100
2021-11-01,15.66,9343000
2021-11-02,15.0,4109200
2021-11-03,15.35,3012900
2021-11-04,16.43,4775600
2021-11-05,19.27,12845700
2021-11-08,21.35,10373300
2021-11-09,22.530001,11675300
2021-11-10,18.23,12954700
2021-11-11,19.25,6233000
2021-11-12,20.15,4841100
2021-11-15,19.82,5145400
2021-11-16,26.379999,24684700
2021-11-17,31.0,20327400
2021-11-18,27.959999,22398400
2021-11-19,28.01,8276000
2021-11-22,23.18,12180100
2021-11-23,24.959999,10641200
2021-11-24,25.959999,6161900
2021-11-26,24.18,3736300
2021-11-29,24.08,5822400
2021-11-30,23.82,6891700
2021-12-01,20.75,6745500
2021-12-02,21.450001,6549800
2021-12-03,18.780001,6736800
2021-12-06,18.790001,5532400
2021-12-07,21.530001,6462900
2021-12-08,20.969999,4611600
2021-12-09,18.610001,6264300
2021-12-10,18.57,3626900
2021-12-13,16.67,5657300
2021-12-14,16.1,5066300
2021-12-15,17.84,6809000
2021-12-16,16.059999,7132400
2021-12-17,16.77,11570300
2021-12-20,15.28,5446000
2021-12-21,16.18,3845800
2021-12-22,16.82,3889800
2021-12-23,17.860001,3379900
2021-12-27,18.299999,3519800
2021-12-28,17.07,3904800
2021-12-29,17.700001,3245800
2021-12-30,17.73,2498800
2021-12-31,16.700001,2184500
2022-01-03,17.469999,2687900
2022-01-04,16.440001,4880600
2022-01-05,15.38,3054000
2022-01-06,14.84,4682000
2022-01-07,14.37,3140800
2022-01-10,13.71,4965600
2022-01-11,14.69,2954800
2022-01-12,14.09,2333900
2022-01-13,12.98,3362300
2022-01-14,12.93,2596900
2022-01-18,12.2,2938300
2022-01-19,11.79,3349000
2022-01-20,11.72,3009500
2022-01-21,10.88,3816900
2022-01-24,10.89,6162600
2022-01-25,10.44,2847700
2022-01-26,10.71,4183400
2022-01-27,9.51,4061400
2022-01-28,10.09,3457400
2022-01-31,11.44,3802500
2022-02-01,12.2,2885100
2022-02-02,11.49,3767200
2022-02-03,11.39,2914000
2022-02-04,12.9,4387100
2022-02-07,13.19,2845200
2022-02-08,12.96,2744500
2022-02-09,14.27,2659000
2022-02-10,14.76,5497100
2022-02-11,16.82,7508400
2022-02-14,16.540001,4931400
2022-02-15,16.58,4535100
2022-02-16,15.82,2547500
2022-02-17,15.48,3007700
2022-02-18,14.68,3160100
2022-02-22,14.53,2664300
2022-02-23,13.72,2404000
2022-02-24,15.6,3690500
2022-02-25,15.1,2505300
2022-02-28,15.98,2709400
2022-03-01,14.5,2457900
2022-03-02,14.66,2193600
2022-03-03,13.28,2759600
2022-03-04,12.39,3533400
2022-03-07,11.89,3152300
2022-03-08,11.77,2954000
2022-03-09,12.5,2301600
2022-03-10,12.75,1848400
2022-03-11,12.33,1498100
2022-03-14,11.41,2160800
2022-03-15,12.49,1845100
2022-03-16,13.07,2280300
