date,close,volume
2021-11-17,24.450001,5815300
2021-11-18,23.4,1145900
2021-11-19,24.799999,986400
2021-11-22,22.639999,1123600
2021-11-23,21.0,474900
2021-11-24,20.07,442200
2021-11-26,18.99,216600
2021-11-29,19.059999,295300
2021-11-30,18.15,640600
2021-12-01,18.469999,338600
2021-12-02,17.26,179300
2021-12-03,15.43,459700
2021-12-06,15.36,376400
2021-12-07,16.18,373300
2021-12-08,15.52,305500
2021-12-09,14.86,391700
2021-12-10,14.4,600900
2021-12-13,13.52,605300
2021-12-14,12.99,338700
2021-12-15,13.78,333600
2021-12-16,14.02,184000
2021-12-17,17.700001,1360400
2021-12-20,17.309999,555000
2021-12-21,17.969999,276800
2021-12-22,16.959999,175600
2021-12-23,17.16,243800
2021-12-27,15.84,149500
2021-12-28,16.790001,226900
2021-12-29,16.67,226500
2021-12-30,16.870001,198400
2021-12-31,16.17,167100
2022-01-03,15.23,156900
2022-01-04,13.46,161100
2022-01-05,12.99,149700
2022-01-06,12.51,165500
2022-01-07,11.99,217600
2022-01-10,11.16,347800
2022-01-11,12.33,231100
2022-01-12,12.41,108700
2022-01-13,12.07,75200
2022-01-14,12.34,96000
2022-01-18,11.24,167000
2022-01-19,11.56,76000
2022-01-20,11.4,66900
2022-01-21,9.58,394200
2022-01-24,9.31,310900
2022-01-25,9.55,175900
2022-01-26,10.75,253000
2022-01-27,10.15,140700
2022-01-28,11.0,223400
2022-01-31,13.17,327500
2022-02-01,13.83,140900
2022-02-02,12.49,106700
2022-02-03,12.5,82100
2022-02-04,13.15,85700
2022-02-07,15.36,198400
2022-02-08,14.36,123200
2022-02-09,14.28,143800
2022-02-10,14.74,125500
2022-02-11,14.78,103200
2022-02-14,14.1,152000
2022-02-15,14.52,105300
2022-02-16,14.78,125900
2022-02-17,13.59,93400
2022-02-18,13.54,113800
2022-02-22,14.16,136000
2022-02-23,13.39,116000
2022-02-24,13.86,94900
2022-02-25,14.47,112300
2022-02-28,14.97,203700
2022-03-01,15.11,103500
2022-03-02,15.41,64600
2022-03-03,14.72,56500
2022-03-04,14.42,54800
2022-03-07,14.48,143200
2022-03-08,14.99,56600
2022-03-09,16.43,110300
2022-03-10,17.780001,140700
2022-03-11,17.33,85100
2022-03-14,15.34,136800
2022-03-15,14.09,93300
2022-03-16,14.64,86600
2022-03-17,14.46,70300
2022-03-18,13.17,387600
2022-03-21,13.07,208600
2022-03-22,14.17,168400
2022-03-23,14.43,131400
2022-03-24,13.82,266400
2022-03-25,14.39,124900
2022-03-28,13.86,298300
2022-03-29,15.61,265200
2022-03-30,15.9,183900
2022-03-31,15.67,68300
2022-04-01,15.8,40800
2022-04-04,15.66,56000
2022-04-05,15.19,69600
2022-04-06,14.28,79200
2022-04-07,14.01,58400
2022-04-08,13.67,39200
2022-04-11,13.06,60700
2022-04-12,12.84,57800
2022-04-13,13.15,56500
2022-04-14,12.34,80500
2022-04-18,11.18,161100
2022-04-19,11.2,223200
2022-04-20,11.11,88900
2022-04-21,10.57,87600
2022-04-22,10.67,59500
2022-04-25,11.25,84900
2022-04-26,10.09,75500
2022-04-27,10.0,63400
2022-04-28,9.85,69200
2022-04-29,8.69,120200
2022-05-02,8.99,100700
2022-05-03,9.5,73000
2022-05-04,10.13,119100
2022-05-05,9.81,158300
2022-05-06,9.49,27700
2022-05-09,8.52,59600
2022-05-10,7.68,130000
2022-05-11,6.89,125400
2022-05-12,6.6,609500
2022-05-13,7.71,198100
2022-05-16,4.9,2260600
2022-05-17,5.92,1415300
2022-05-18,5.6,344100
2022-05-19,6.74,349600
2022-05-20,6.25,284600
2022-05-23,5.74,210400
2022-05-24,5.07,354300
2022-05-25,5.32,303800
2022-05-26,5.7,277500
2022-05-27,5.77,163400
2022-05-31,5.94,245600
2022-06-01,5.73,106900
2022-06-02,5.96,94700
2022-06-03,5.4,120200
2022-06-06,5.51,86900
2022-06-07,5.25,151900
2022-06-08,5.33,143300
2022-06-09,4.91,197500
2022-06-10,4.82,165900
2022-06-13,4.06,282900
2022-06-14,3.87,412100
2022-06-15,3.88,482800
2022-06-16,3.82,259000
2022-06-17,3.74,341900
2022-06-21,3.54,342000
2022-06-22,3.26,474000
2022-06-23,3.09,571400
2022-06-24,3.05,543600
2022-06-27,3.42,625000
2022-06-28,3.1,285200
2022-06-29,3.2,273100
2022-06-30,3.35,287300
2022-07-01,3.6,175400
2022-07-05,3.39,205000
2022-07-06,3.3,205400
2022-07-07,3.64,258200
2022-07-08,3.82,257500
2022-07-11,3.49,132800
2022-07-12,3.23,138100
2022-07-13,3.25,112300
2022-07-14,3.13,152500
2022-07-15,3.25,419800
2022-07-18,3.16,542100
2022-07-19,3.49,383000
2022-07-20,4.01,473100
2022-07-21,4.12,486300
2022-07-22,3.77,237600
2022-07-25,3.57,252700
2022-07-26,3.52,249800
2022-07-27,3.96,217900
2022-07-28,3.97,236900
2022-07-29,3.97,195800
2022-08-01,4.04,108900
2022-08-02,4.01,142300
2022-08-03,4.8,205500
2022-08-04,4.43,188800
2022-08-05,4.74,116600
2022-08-08,5.43,292100
2022-08-09,5.35,186900
2022-08-10,5.81,299600
2022-08-11,6.22,544300
2022-08-12,5.95,633500
2022-08-15,5.86,286700
2022-08-16,5.8,295500
2022-08-17,5.32,229100
2022-08-18,5.73,183400
2022-08-19,5.05,210700
2022-08-22,5.11,324900
2022-08-23,5.27,116400
2022-08-24,5.09,78600
2022-08-25,5.0,248600
2022-08-26,4.83,205500
2022-08-29,4.64,311700
2022-08-30,4.73,303700
2022-08-31,4.06,410300
2022-09-01,4.01,397800
2022-09-02,4.08,189100
2022-09-06,4.09,153500
2022-09-07,4.3,283600
2022-09-08,4.17,258400
2022-09-09,4.61,247700
2022-09-12,4.67,131900
2022-09-13,4.26,139800
2022-09-14,4.48,510700
2022-09-15,4.49,249800
2022-09-16,5.06,646200
2022-09-19,4.33,331400
2022-09-20,4.06,163100
2022-09-21,4.0,224500
2022-09-22,4.04,126800
2022-09-23,3.67,248500
2022-09-26,3.5,145400
2022-09-27,3.68,172200
2022-09-28,3.77,206900
2022-09-29,3.78,81800
2022-09-30,4.13,224700
2022-10-03,4.05,95700
2022-10-04,4.37,145800
2022-10-05,4.49,106400
2022-10-06,4.4,39700
2022-10-07,3.71,290700
2022-10-10,3.57,121300
2022-10-11,3.41,110400
2022-10-12,3.52,50100
2022-10-13,3.65,88200
2022-10-14,3.4,66200
2022-10-17,3.58,150700
