date,close,volume
2009-01-02,3.728,560000
2009-01-05,3.724,716000
2009-01-06,3.809,1091000
2009-01-07,3.848,1081000
2009-01-08,3.887,1331000
2009-01-09,3.796,1113000
2009-01-12,3.75,844000
2009-01-13,3.752,936000
2009-01-14,3.7,1055000
2009-01-15,3.838,1770000
2009-01-16,3.775,1614000
2009-01-20,3.639,1401000
2009-01-21,3.909,1436000
2009-01-22,3.749,1108000
2009-01-23,3.773,718000
2009-01-26,3.829,1095000
2009-01-27,3.918,988000
2009-01-28,3.999,1288000
2009-01-29,3.986,1790000
2009-01-30,3.87,1228000
2009-02-02,4.0,2919000
2009-02-03,4.018,1283000
2009-02-04,3.95,1289000
2009-02-05,4.058,1312000
2009-02-06,4.167,1207000
2009-02-09,4.186,651000
2009-02-10,4.003,996000
2009-02-11,3.998,929000
2009-02-12,4.018,1034000
2009-02-13,4.055,1001000
2009-02-17,3.883,1185000
2009-02-18,4.049,2061000
2009-02-19,3.953,1033000
2009-02-20,3.952,1412000
2009-02-23,3.815,992000
2009-02-24,3.865,1126000
2009-02-25,3.741,982000
2009-02-26,3.672,1358000
2009-02-27,3.653,1313000
2009-03-02,3.516,1808000
2009-03-03,3.415,936000
2009-03-04,3.449,1196000
2009-03-05,3.356,1152000
2009-03-06,3.38,801000
2009-03-09,3.263,988000
2009-03-10,3.439,1045000
2009-03-11,3.409,1140000
2009-03-12,3.299,2889000
2009-03-13,3.347,776000
2009-03-16,3.29,913000
2009-03-17,3.352,472000
2009-03-18,3.43,857000
2009-03-19,3.367,636000
2009-03-20,3.46,1777000
2009-03-23,3.643,942000
2009-03-24,3.598,1014000
2009-03-25,3.677,1087000
2009-03-26,3.777,1193000
2009-03-27,3.415,2455000
2009-03-30,3.342,876000
2009-03-31,3.419,1103000
2009-04-01,3.613,1273000
2009-04-02,3.747,1366000
2009-04-03,3.813,625000
2009-04-06,3.817,1189000
2009-04-07,3.737,579000
2009-04-08,3.773,1179000
2009-04-09,3.867,764000
2009-04-13,3.907,1046000
2009-04-14,3.867,1334000
2009-04-15,3.887,758000
2009-04-16,3.97,1366000
2009-04-17,3.999,788000
2009-04-20,3.893,1426000
2009-04-21,3.932,815000
2009-04-22,3.896,856000
2009-04-23,3.933,866000
2009-04-24,3.941,1321000
