date,close,volume
2012-06-29,4.92,54612000
2012-07-02,4.954,3283500
2012-07-03,5.062,2005500
2012-07-05,5.192,2705000
2012-07-06,5.168,1775500
2012-07-09,5.054,762000
2012-07-10,5.01,1520000
2012-07-11,4.748,1482500
2012-07-12,4.816,1627500
2012-07-13,4.836,445500
2012-07-16,4.876,590500
2012-07-17,4.854,1137500
2012-07-18,4.846,519000
2012-07-19,4.8,1272500
2012-07-20,5.046,1304500
2012-07-23,4.87,3017000
2012-07-24,4.968,1457500
2012-07-25,4.986,554000
2012-07-26,4.884,790000
2012-07-27,5.066,500500
2012-07-30,5.078,421500
2012-07-31,5.4,1420000
2012-08-01,5.542,559500
2012-08-02,5.816,2784500
2012-08-03,5.734,2155000
2012-08-06,5.604,2919000
2012-08-07,5.6,990000
2012-08-08,5.514,1483500
2012-08-09,5.902,677500
2012-08-10,6.33,1100000
2012-08-13,6.486,1074500
2012-08-14,6.456,2762000
2012-08-15,5.936,2339000
2012-08-16,5.95,1502500
2012-08-17,5.92,1946500
2012-08-20,5.978,1388500
2012-08-21,6.052,983500
2012-08-22,5.97,3089000
2012-08-23,5.806,1461000
2012-08-24,5.94,728000
2012-08-27,5.854,1300000
2012-08-28,5.864,762500
2012-08-29,5.898,583000
2012-08-30,5.956,932500
2012-08-31,6.22,1430000
2012-09-04,6.734,1664000
2012-09-05,6.838,1658500
2012-09-06,7.212,1981000
2012-09-07,7.31,2055000
2012-09-10,6.878,2286500
2012-09-11,6.602,1442500
2012-09-12,7.01,1752500
2012-09-13,7.502,2302000
2012-09-14,7.812,3620500
2012-09-17,7.638,4061500
2012-09-18,7.36,3390000
2012-09-19,7.73,2031500
2012-09-20,7.6,3697000
2012-09-21,7.926,1767000
2012-09-24,8.074,1893500
2012-09-25,7.998,3027000
2012-09-26,7.616,4269500
2012-09-27,8.008,2394000
2012-09-28,7.736,7912500
2012-10-01,7.296,4519500
2012-10-02,7.3,2933500
2012-10-03,7.406,1415500
2012-10-04,7.43,728500
