date,close,volume
2021-07-08,9.98,15054500
2021-07-09,10.05,1529400
2021-07-12,10.05,1030700
2021-07-13,10.01,137700
2021-07-14,9.97,129300
2021-07-15,9.99,51800
2021-07-16,9.97,158500
2021-07-19,9.86,1049600
2021-07-20,9.85,1085300
2021-07-21,9.879,17200
2021-07-22,9.87,3700
2021-07-23,9.879,8400
2021-07-26,9.85,9500
2021-07-27,9.85,23200
2021-07-28,9.85,13900
2021-07-29,9.85,3700
2021-07-30,9.85,8000
2021-08-02,9.89,7400
2021-08-03,9.88,12100
2021-08-04,9.88,32800
2021-08-05,9.95,646500
2021-08-06,9.91,31800
2021-08-09,9.89,1200
2021-08-10,9.95,4500
2021-08-11,9.95,12700
2021-08-12,9.85,1760100
2021-08-13,9.87,1900
2021-08-16,9.84,22100
2021-08-17,9.84,1300
2021-08-18,9.84,14600
2021-08-19,9.86,100
2021-08-20,9.83,4100
2021-08-23,9.83,3100
2021-08-24,9.75,8200
2021-08-25,9.78,9100
2021-08-26,9.77,900
2021-08-27,9.84,7800
2021-08-30,9.83,2100
2021-08-31,9.83,0
2021-09-01,9.83,0
2021-09-02,9.845,2100
2021-09-03,9.89,12600
2021-09-07,9.9,5300
2021-09-08,9.85,8100
2021-09-09,9.84,8600
2021-09-10,9.84,0
2021-09-13,9.77,400
2021-09-14,9.83,18600
2021-09-15,9.83,6800
2021-09-16,9.83,32700
2021-09-17,9.83,21100
2021-09-20,9.82,5800
2021-09-21,9.83,1600
2021-09-22,9.83,24700
2021-09-23,9.83,23700
2021-09-24,9.77,300
2021-09-27,9.8,600
2021-09-28,9.81,34600
2021-09-29,9.83,28700
2021-09-30,9.83,0
2021-10-01,9.84,75000
2021-10-04,9.82,4200
2021-10-05,9.8,43500
2021-10-06,9.79,10700
2021-10-07,9.81,4300
2021-10-08,9.79,700
2021-10-11,9.79,578600
2021-10-12,9.79,11800
2021-10-13,9.79,0
2021-10-14,9.8,17900
2021-10-15,9.79,500
2021-10-18,9.8,18200
2021-10-19,9.8,300
2021-10-20,9.77,800
2021-10-21,9.77,0
2021-10-22,9.84,18000
2021-10-25,9.83,2900
2021-10-26,9.89,55700
2021-10-27,9.91,31500
2021-10-28,9.855,2100
2021-10-29,10.16,38200
2021-11-01,9.85,28400
2021-11-02,9.9,200
2021-11-03,9.86,17000
2021-11-04,9.82,105400
2021-11-05,9.85,90700
2021-11-08,9.88,191500
2021-11-09,9.85,1300
2021-11-10,9.85,4700
2021-11-11,9.84,45400
2021-11-12,9.85,16300
2021-11-15,9.91,7000
2021-11-16,9.92,1900
2021-11-17,9.89,1100
2021-11-18,9.915,10600
2021-11-19,9.89,84500
2021-11-22,9.94,33100
2021-11-23,9.95,10400
2021-11-24,9.895,700
2021-11-26,9.85,2500
2021-11-29,10.0,10800
2021-11-30,9.95,4200
2021-12-01,9.88,18800
2021-12-02,9.89,14100
2021-12-03,9.85,1600
2021-12-06,9.912,5500
2021-12-07,9.91,1018200
2021-12-08,9.975,932000
2021-12-09,9.9,477900
2021-12-10,9.9,35100
2021-12-13,9.89,6700
2021-12-14,9.88,26200
2021-12-15,9.8,16400
2021-12-16,9.8,1600
2021-12-17,9.8,167200
2021-12-20,9.78,16100
2021-12-21,9.81,2400
2021-12-22,9.8,57000
2021-12-23,9.79,14900
2021-12-27,9.77,8400
2021-12-28,9.79,7300
2021-12-29,9.77,4800
2021-12-30,9.82,11300
2021-12-31,9.85,52700
2022-01-03,9.86,8800
2022-01-04,9.85,1200
2022-01-05,9.9,20800
2022-01-06,9.88,600
2022-01-07,9.88,16900
2022-01-10,9.812,2000
2022-01-11,9.89,24800
2022-01-12,9.89,0
2022-01-13,9.825,8400
2022-01-14,9.825,0
2022-01-18,9.87,3800
2022-01-19,9.81,2400
2022-01-20,9.78,3500
2022-01-21,9.69,446800
2022-01-24,9.68,8800
2022-01-25,9.78,6200
2022-01-26,9.74,700
2022-01-27,9.73,19900
2022-01-28,9.7,73100
2022-01-31,9.67,37700
2022-02-01,9.83,14500
2022-02-02,9.78,2500
2022-02-03,9.75,1500
2022-02-04,9.75,1100
2022-02-07,9.8,10600
2022-02-08,9.77,100100
2022-02-09,9.7,7200
2022-02-10,9.725,500
2022-02-11,9.67,2900
2022-02-14,9.655,6200
2022-02-15,9.68,2500
2022-02-16,9.68,1300
2022-02-17,9.7,600
2022-02-18,9.68,1400
2022-02-22,9.7,400
2022-02-23,9.69,865100
2022-02-24,9.69,39200
2022-02-25,9.71,35100
2022-02-28,9.71,3200
2022-03-01,9.71,90600
2022-03-02,9.71,67500
2022-03-03,9.72,301000
2022-03-04,9.72,3900
2022-03-07,9.71,19500
2022-03-08,9.75,318500
2022-03-09,9.75,100
2022-03-10,9.74,400
2022-03-11,9.72,400
2022-03-14,9.71,54900
2022-03-15,9.72,300
2022-03-16,9.701,200
2022-03-17,9.73,2100
2022-03-18,9.751,2883900
2022-03-21,9.74,501700
2022-03-22,9.73,500
2022-03-23,9.73,0
2022-03-24,9.76,55000
2022-03-25,9.79,2000
2022-03-28,9.79,1900
2022-03-29,9.76,600
2022-03-30,9.745,77100
2022-03-31,9.76,5400
2022-04-01,9.76,0
2022-04-04,9.76,5700
2022-04-05,9.75,30300
2022-04-06,9.76,24000
2022-04-07,9.77,12700
2022-04-08,9.75,2500
2022-04-11,9.75,7200
2022-04-12,9.75,32200
2022-04-13,9.76,44300
2022-04-14,9.75,806100
2022-04-18,9.75,1300
2022-04-19,9.763,1500
2022-04-20,9.77,13300
2022-04-21,9.74,2300
2022-04-22,9.73,780300
2022-04-25,9.75,100200
2022-04-26,9.76,17000
2022-04-27,9.76,100
2022-04-28,9.74,10400
2022-04-29,9.74,11000
2022-05-02,9.74,8000
2022-05-03,9.74,3600
