date,close,volume
2009-01-02,10.472603,1952900
2009-01-05,10.855865,3121600
2009-01-06,11.145917,5798900
2009-01-07,10.793718,1783000
2009-01-08,10.724663,2644500
2009-01-09,10.78681,1948100
2009-01-12,10.634879,1091400
2009-01-13,10.486403,1335900
2009-01-14,10.082425,2330100
2009-01-15,9.664618,3053900
2009-01-16,9.564494,2688700
2009-01-20,8.528623,2365600
2009-01-21,8.715081,2580400
2009-01-22,8.121179,2058500
2009-01-23,8.183334,2204600
2009-01-26,8.580414,2014800
2009-01-27,8.659833,1758400
2009-01-28,9.336601,2845000
2009-01-29,9.025842,970900
2009-01-30,8.908445,700200
2009-02-02,8.654271,757600
2009-02-03,8.376115,863100
2009-02-04,7.997121,1449900
2009-02-05,8.233553,1642900
2009-02-06,8.414358,2031900
2009-02-09,8.699478,1481100
2009-02-10,8.490851,910000
2009-02-11,8.456084,1310000
2009-02-12,8.303094,914700
2009-02-13,8.170971,623800
2009-02-17,7.506862,1989700
2009-02-18,6.884475,3307500
2009-02-19,6.123008,2154400
2009-02-20,6.362923,4265700
2009-02-23,6.119533,1663800
2009-02-24,6.689764,2300000
2009-02-25,6.867088,1780100
2009-02-26,7.120911,1879100
2009-02-27,6.644559,2461700
2009-03-02,5.887674,2261200
2009-03-03,5.824366,1406200
2009-03-04,6.11277,2008400
2009-03-05,5.476172,1507700
2009-03-06,5.293278,2413600
2009-03-09,5.35659,1369400
2009-03-10,6.235871,2226300
2009-03-11,6.453936,2813800
2009-03-12,6.928743,1971700
2009-03-13,7.280461,1874600
2009-03-16,7.523141,1722500
2009-03-17,7.653276,1114400
2009-03-18,7.836165,2237700
2009-03-19,7.983883,1379500
2009-03-20,7.723619,893600
2009-03-23,8.30042,1389400
2009-03-24,8.405943,960300
2009-03-25,8.015537,1919500
2009-03-26,8.050704,1452200
2009-03-27,8.103467,646200
2009-03-30,7.670857,752200
2009-03-31,8.015537,1027900
2009-04-01,8.150673,1122600
2009-04-02,8.428048,1580800
2009-04-03,8.428048,735800
2009-04-06,8.445835,485000
2009-04-07,8.40672,836800
2009-04-08,8.410275,584600
2009-04-09,8.908131,1289200
2009-04-13,9.103717,873500
2009-04-14,9.114392,1067500
2009-04-15,9.149949,681800
2009-04-16,9.359754,879700
2009-04-17,9.423773,804400
2009-04-20,8.69121,1815100
2009-04-21,8.776546,737400
2009-04-22,8.794332,1049300
2009-04-23,9.039706,598300
2009-04-24,9.210399,742300
2009-04-27,9.19974,716200
2009-04-28,9.139278,620600
2009-04-29,9.370423,878600
2009-04-30,9.494891,935900
2009-05-01,9.482317,632400
2009-05-04,9.881154,1042200
2009-05-05,9.88475,695100
2009-05-06,10.240467,1309700
2009-05-07,10.136269,1370500
2009-05-08,10.632125,1350200
2009-05-11,10.67165,973200
2009-05-12,10.560262,650600
2009-05-13,10.139862,1366200
2009-05-14,10.323121,733600
2009-05-15,10.337492,788100
2009-05-18,10.689614,972400
2009-05-19,10.872868,1427100
