date,close,volume
2009-01-02,280.0,7
2009-01-05,280.0,42
2009-01-06,280.0,3
2009-01-07,280.0,6
2009-01-08,280.0,1
2009-01-09,286.0,22
2009-01-12,280.0,18
2009-01-13,260.0,15
2009-01-14,260.0,0
2009-01-15,260.0,5
2009-01-16,250.0,1
2009-01-20,250.0,0
2009-01-21,248.0,41
2009-01-22,248.0,0
2009-01-23,248.0,0
2009-01-26,238.0,191
2009-01-27,238.0,0
2009-01-28,238.0,0
2009-01-29,200.0,5
2009-01-30,200.0,0
2009-02-02,228.0,2
2009-02-03,210.0,5
2009-02-04,218.0,10
2009-02-05,200.0,50
2009-02-06,200.0,0
2009-02-09,200.0,11
2009-02-10,204.0,10
2009-02-11,204.0,17
2009-02-12,214.0,3
2009-02-13,200.0,5
2009-02-17,214.0,15
2009-02-18,200.0,34
2009-02-19,200.0,25
2009-02-20,200.0,15
2009-02-23,200.0,0
2009-02-24,200.0,73
2009-02-25,200.0,1
2009-02-26,202.0,251
2009-02-27,210.0,41
2009-03-02,200.0,45
2009-03-03,200.0,83
2009-03-04,220.0,261
2009-03-05,220.0,204
2009-03-06,210.0,31
2009-03-09,210.0,0
2009-03-10,204.0,26
2009-03-11,206.0,35
2009-03-12,204.0,37
2009-03-13,204.0,0
2009-03-16,210.0,36
2009-03-17,210.0,42
2009-03-18,210.0,0
2009-03-19,300.0,2
2009-03-20,300.0,89
2009-03-23,230.0,18
2009-03-24,298.0,38
2009-03-25,240.0,7
2009-03-26,260.0,2
2009-03-27,250.0,75
2009-03-30,380.0,38
2009-03-31,360.0,1
2009-04-01,300.0,6
2009-04-02,350.0,36
2009-04-03,320.0,29
2009-04-06,322.0,20
2009-04-07,322.0,0
2009-04-08,322.0,0
2009-04-09,338.0,3
2009-04-13,350.0,12
2009-04-14,360.0,45
2009-04-15,360.0,67
2009-04-16,280.0,32
2009-04-17,240.0,19
2009-04-20,254.0,24
2009-04-21,300.0,52
2009-04-22,270.0,39
2009-04-23,250.0,133
2009-04-24,250.0,20
2009-04-27,250.0,55
2009-04-28,230.0,26
2009-04-29,230.0,88
2009-04-30,250.0,54
2009-05-01,280.0,110
2009-05-04,240.0,8
2009-05-05,280.0,108
2009-05-06,286.0,36
2009-05-07,290.0,43
2009-05-08,292.0,61
2009-05-11,300.0,48
2009-05-12,320.0,62
2009-05-13,338.0,377
2009-05-14,364.0,88
2009-05-15,364.0,4
2009-05-18,370.0,247
2009-05-19,420.0,206
2009-05-20,410.0,91
2009-05-21,440.0,19
2009-05-22,394.0,78
2009-05-26,444.0,169
2009-05-27,440.0,86
2009-05-28,452.0,34
2009-05-29,430.0,94
2009-06-01,440.0,133
2009-06-02,442.0,80
2009-06-03,440.0,57
2009-06-04,460.0,201
2009-06-05,430.0,107
2009-06-08,470.0,87
2009-06-09,440.0,124
2009-06-10,412.0,71
2009-06-11,430.0,189
2009-06-12,424.0,58
2009-06-15,400.0,90
2009-06-16,396.0,43
2009-06-17,400.0,10
2009-06-18,394.0,43
2009-06-19,410.0,1
2009-06-22,380.0,107
2009-06-23,398.0,120
2009-06-24,362.0,7
2009-06-25,320.0,171
2009-06-26,350.0,199
2009-06-29,320.0,31
2009-06-30,330.0,191
2009-07-01,334.0,153
2009-07-02,354.0,87
2009-07-06,330.0,33
2009-07-07,318.0,24
2009-07-08,290.0,202
2009-07-09,300.0,21
2009-07-10,320.0,51
2009-07-13,310.0,25
2009-07-14,300.0,255
2009-07-15,240.0,28
2009-07-16,280.0,57
2009-07-17,276.0,54
2009-07-20,280.0,23
2009-07-21,262.0,76
2009-07-22,280.0,5
2009-07-23,280.0,33
2009-07-24,276.0,28
2009-07-27,290.0,77
2009-07-28,290.0,37
2009-07-29,290.0,17
2009-07-30,280.0,67
2009-07-31,280.0,17
2009-08-03,290.0,107
2009-08-04,283.0,272
2009-08-05,320.0,169
2009-08-06,320.0,180
2009-08-07,288.0,207
2009-08-10,300.0,77
2009-08-11,300.0,58
2009-08-12,280.0,71
2009-08-13,284.0,19
2009-08-14,290.0,184
2009-08-17,278.0,163
2009-08-18,290.0,47
2009-08-19,300.0,137
2009-08-20,310.0,85
2009-08-21,298.0,55
2009-08-24,280.0,33
2009-08-25,286.0,27
2009-08-26,294.0,35
2009-08-27,292.0,14
2009-08-28,300.0,193
2009-08-31,280.0,128
2009-09-01,260.0,160
2009-09-02,270.0,85
2009-09-03,280.0,54
2009-09-04,290.0,110
2009-09-08,280.0,57
2009-09-09,266.0,53
2009-09-10,266.0,24
2009-09-11,260.0,112
2009-09-14,270.0,14
2009-09-15,276.0,36
2009-09-16,264.0,48
2009-09-17,276.0,53
2009-09-18,290.0,106
2009-09-21,264.0,140
2009-09-22,280.0,19
2009-09-23,270.0,40
2009-09-24,274.0,2
2009-09-25,260.0,26
2009-09-28,272.0,18
2009-09-29,290.0,91
2009-09-30,298.0,31
2009-10-01,290.0,54
2009-10-02,298.0,159
2009-10-05,300.0,20
2009-10-06,300.0,23
2009-10-07,330.0,112
2009-10-08,368.0,428
2009-10-09,350.0,78
2009-10-12,360.0,11
2009-10-13,340.0,208
2009-10-14,362.0,120
2009-10-15,360.0,72
2009-10-16,358.0,19
2009-10-19,338.0,37
2009-10-20,320.0,63
2009-10-21,316.0,161
2009-10-22,316.0,3
2009-10-23,304.0,81
2009-10-26,290.0,274
2009-10-27,270.0,66
2009-10-28,300.0,56
2009-10-29,284.0,8
2009-10-30,290.0,70
2009-11-02,284.0,101
2009-11-03,272.0,97
2009-11-04,278.0,77
2009-11-05,270.0,145
2009-11-06,276.0,78
2009-11-09,240.0,218
2009-11-10,244.0,74
2009-11-11,268.0,73
2009-11-12,270.0,29
2009-11-13,268.0,93
2009-11-16,264.0,56
2009-11-17,258.0,66
2009-11-18,240.0,165
2009-11-19,248.0,106
2009-11-20,250.0,162
2009-11-23,250.0,31
2009-11-24,250.0,5
2009-11-25,240.0,37
2009-11-27,240.0,54
2009-11-30,210.0,79
2009-12-01,222.0,67
2009-12-02,220.0,40
2009-12-03,220.0,48
2009-12-04,210.0,15
2009-12-07,220.0,96
2009-12-08,220.0,0
2009-12-09,222.0,32
2009-12-10,210.0,135
2009-12-11,210.0,0
2009-12-14,210.0,20
2009-12-15,200.0,16
2009-12-16,172.0,83
2009-12-17,188.0,36
2009-12-18,240.0,156
2009-12-21,190.0,12
2009-12-22,210.0,8
2009-12-23,210.0,57
2009-12-24,210.0,0
2009-12-28,210.0,150
2009-12-29,216.0,35
2009-12-30,190.0,38
2009-12-31,184.0,52
2010-01-04,190.0,29
2010-01-05,220.0,212
2010-01-06,194.0,99
2010-01-07,200.0,137
2010-01-08,190.0,70
2010-01-11,194.0,37
2010-01-12,200.0,56
2010-01-13,190.0,229
2010-01-14,200.0,139
2010-01-15,198.0,115
2010-01-19,206.0,339
2010-01-20,218.0,162
2010-01-21,224.0,561
2010-01-22,238.0,376
2010-01-25,230.0,80
2010-01-26,220.0,186
2010-01-27,220.0,18
2010-01-28,202.0,207
2010-01-29,220.0,25
2010-02-01,220.0,95
2010-02-02,204.0,137
2010-02-03,210.0,210
2010-02-04,210.0,1142
2010-02-05,192.0,276
2010-02-08,192.0,184
2010-02-09,200.0,62
2010-02-10,170.0,154
2010-02-11,180.0,187
2010-02-12,160.0,385
2010-02-16,150.0,150
2010-02-17,178.0,2
2010-02-18,178.0,11
2010-02-19,170.0,54
2010-02-22,160.0,10
2010-02-23,160.0,24
2010-02-24,160.0,8
2010-02-25,160.0,5
2010-02-26,160.0,29
2010-03-01,160.0,1
2010-03-02,134.0,105
2010-03-03,138.0,106
2010-03-04,130.0,180
2010-03-05,160.0,242
2010-03-08,160.0,51
2010-03-09,142.0,45
2010-03-10,150.0,119
2010-03-11,158.0,306
2010-03-12,160.0,66
2010-03-15,150.0,69
2010-03-16,146.0,119
2010-03-17,148.0,118
2010-03-18,144.0,51
2010-03-19,140.0,93
2010-03-22,132.0,105
2010-03-23,130.0,223
2010-03-24,123.0,23
2010-03-25,120.0,227
2010-03-26,96.0,1
2010-03-29,130.0,6
2010-03-30,128.0,71
2010-03-31,102.0,206
2010-04-01,100.0,195
2010-04-05,100.0,24
2010-04-06,100.0,111
2010-04-07,100.0,46
2010-04-08,70.199997,129
2010-04-09,80.0,275
2010-04-12,70.0,250
2010-04-13,63.0,91
2010-04-14,70.0,97
2010-04-15,65.0,38
2010-04-16,60.0,45
2010-04-19,70.0,64
2010-04-20,60.0,114
2010-04-21,60.0,235
2010-04-22,76.0,22
2010-04-23,64.0,163
2010-04-26,60.0,61
2010-04-27,60.0,169
2010-04-28,56.0,178
2010-04-29,50.0,162
2010-04-30,60.0,148
2010-05-03,66.0,102
2010-05-04,50.0,88
2010-05-05,56.0,55
2010-05-06,66.0,314
2010-05-07,56.0,28
2010-05-10,50.0,35
2010-05-11,44.0,260
2010-05-12,50.0,125
2010-05-13,45.0,280
2010-05-14,44.0,56
2010-05-17,46.0,87
2010-05-18,52.0,88
2010-05-19,46.0,238
2010-05-20,46.0,121
2010-05-21,34.0,458
2010-05-24,40.0,111
2010-05-25,30.0,548
2010-05-26,26.0,242
2010-05-27,40.0,454
2010-05-28,34.0,235
2010-06-01,31.4,207
2010-06-02,30.0,170
2010-06-03,30.0,375
2010-06-04,30.0,37
2010-06-07,24.0,208
2010-06-08,26.0,75
2010-06-09,30.0,18
2010-06-10,30.0,120
2010-06-11,24.0,532
2010-06-14,32.0,26
2010-06-15,30.0,150
2010-06-16,30.0,20
2010-06-17,24.0,217
2010-06-18,22.0,397
2010-06-21,20.0,108
2010-06-22,25.0,692
2010-06-23,25.0,0
2010-06-24,24.0,55
2010-06-25,20.0,119
2010-06-28,22.0,107
2010-06-29,22.0,97
2010-06-30,22.0,205
2010-07-01,10.0,140
2010-07-02,16.0,492
2010-07-06,14.0,123
2010-07-07,20.0,467
2010-07-08,14.0,820
2010-07-09,14.0,292
2010-07-12,12.0,173
2010-07-13,14.0,128
2010-07-14,16.0,889
2010-07-15,14.0,2210
2010-07-16,18.0,340
2010-07-19,18.0,125
2010-07-20,16.0,152
2010-07-21,14.0,1059
2010-07-22,16.0,54
2010-07-23,16.0,48
2010-07-26,13.0,5035
2010-07-27,12.0,256
2010-07-28,10.0,25
2010-07-29,10.0,342
2010-07-30,8.0,796
2010-08-02,10.0,5
2010-08-03,11.2,214
2010-08-04,10.0,494
2010-08-05,14.0,784
2010-08-06,14.6,176
2010-08-09,10.0,473
2010-08-10,8.4,564
2010-08-11,8.0,396
2010-08-12,9.8,1258
2010-08-13,8.0,414
2010-08-16,8.4,453
2010-08-17,9.0,820
2010-08-18,8.2,526
2010-08-19,8.0,292
2010-08-20,8.0,354
2010-08-23,8.2,279
2010-08-24,6.6,315
2010-08-25,6.2,173
2010-08-26,8.0,762
2010-08-27,8.0,220
2010-08-30,8.0,26
2010-08-31,8.0,10
2010-09-01,7.4,75
2010-09-02,7.4,13
2010-09-03,9.0,672
2010-09-07,6.6,320
2010-09-08,7.0,257
2010-09-09,6.0,490
2010-09-10,6.0,198
2010-09-13,6.2,24
2010-09-14,6.2,0
2010-09-15,7.4,181
2010-09-16,7.0,309
2010-09-17,7.0,55
2010-09-20,7.0,0
2010-09-21,6.0,1
2010-09-22,6.0,0
2010-09-23,7.2,542
2010-09-24,7.2,91
2010-09-27,8.0,150
2010-09-28,8.0,100
2010-09-29,9.0,14
2010-09-30,8.0,6
2010-10-01,9.0,17
2010-10-04,9.0,94
2010-10-05,9.0,158
2010-10-06,9.0,31
2010-10-07,9.0,0
2010-10-08,9.0,33
2010-10-11,9.0,44
2010-10-12,6.6,1
2010-10-13,8.4,134
2010-10-14,8.4,13
2010-10-15,7.0,146
2010-10-18,7.0,0
2010-10-19,8.4,15
2010-10-20,6.8,114
2010-10-21,7.0,114
2010-10-22,8.2,7
2010-10-25,8.2,30
2010-10-26,9.0,13
2010-10-27,6.0,86
2010-10-28,6.0,186
2010-10-29,6.0,0
2010-11-01,6.0,0
2010-11-02,8.4,65
2010-11-03,6.0,205
2010-11-04,6.0,375
2010-11-05,8.0,17
2010-11-08,8.0,142
2010-11-09,8.0,0
2010-11-10,8.0,168
2010-11-11,8.0,0
2010-11-12,8.0,125
2010-11-15,8.0,173
2010-11-16,8.0,0
2010-11-17,8.0,184
2010-11-18,8.0,0
2010-11-19,7.8,276
2010-11-22,7.8,0
2010-11-23,7.8,15
2010-11-24,7.8,35
2010-11-26,7.8,0
2010-11-29,7.0,8
2010-11-30,7.0,30
2010-12-01,6.8,160
2010-12-02,6.8,0
2010-12-03,6.4,252
2010-12-06,6.4,92
2010-12-07,6.2,196
2010-12-08,6.2,38
2010-12-09,6.2,118
2010-12-10,6.2,125
2010-12-13,6.2,502
2010-12-14,6.8,123
2010-12-15,6.2,1966
2010-12-16,7.2,31
2010-12-17,7.2,0
2010-12-20,4.6,105
2010-12-21,6.0,164
2010-12-22,5.2,76
2010-12-23,5.6,4
2010-12-27,4.0,200
2010-12-28,8.0,323
2010-12-29,6.0,45
2010-12-30,5.0,252
2010-12-31,4.4,210
2011-01-03,4.4,0
2011-01-04,6.6,394
2011-01-05,4.0,30
2011-01-06,4.0,0
2011-01-07,4.0,0
2011-01-10,4.0,0
2011-01-11,8.0,1
2011-01-12,4.8,136
2011-01-13,7.0,25
2011-01-14,7.2,1
2011-01-18,5.0,90
2011-01-19,5.0,0
2011-01-20,5.0,0
2011-01-21,5.0,1
2011-01-24,5.0,0
2011-01-25,5.0,0
2011-01-26,5.0,136
2011-01-27,5.0,0
2011-01-28,6.0,50
2011-01-31,6.8,16
2011-02-01,6.8,69
2011-02-02,6.0,4
2011-02-03,6.8,64
2011-02-04,4.0,250
2011-02-07,4.0,1167
2011-02-08,3.6,1
2011-02-09,4.0,350
2011-02-10,4.0,261
2011-02-11,4.0,0
2011-02-14,5.0,3
2011-02-15,5.0,5
2011-02-16,5.0,0
2011-02-17,5.0,16
2011-02-18,5.0,0
2011-02-22,7.6,168
2011-02-23,7.6,0
2011-02-24,4.0,2
2011-02-25,4.0,0
2011-02-28,4.0,0
2011-03-01,6.0,27
2011-03-02,7.0,117
2011-03-03,7.0,0
2011-03-04,7.2,25
2011-03-07,7.2,0
2011-03-08,7.2,0
2011-03-09,7.2,0
2011-03-10,7.2,0
2011-03-11,7.2,68
2011-03-14,7.0,196
2011-03-15,4.0,223
2011-03-16,4.4,3
2011-03-17,7.0,92
2011-03-18,7.0,0
2011-03-21,4.0,125
2011-03-22,6.0,15
2011-03-23,6.0,25
2011-03-24,6.0,0
2011-03-25,4.0,150
2011-03-28,5.8,10
2011-03-29,6.0,78
2011-03-30,6.0,0
2011-03-31,6.0,0
2011-04-01,4.0,4822
2011-04-04,4.0,174
2011-04-05,5.0,7123
2011-04-06,5.0,3669
2011-04-07,8.0,1319
2011-04-08,15.0,2105
2011-04-11,20.0,6731
2011-04-12,22.0,2765
2011-04-13,20.0,457
2011-04-14,23.799999,624
2011-04-15,19.0,1755
2011-04-18,16.200001,853
2011-04-19,18.0,1153
2011-04-20,16.0,161
2011-04-21,14.0,127
2011-04-25,14.0,250
2011-04-26,12.0,218
2011-04-27,12.0,502
2011-04-28,10.0,429
2011-04-29,10.0,188
2011-05-02,10.0,8
2011-05-03,9.2,151
2011-05-04,10.0,58
2011-05-05,10.0,475
2011-05-06,8.2,363
2011-05-09,8.0,204
2011-05-10,8.0,50
2011-05-11,8.0,3
2011-05-12,8.0,5
2011-05-13,16.0,1549
2011-05-16,12.0,254
2011-05-17,10.4,735
2011-05-18,12.0,121
2011-05-19,13.0,478
2011-05-20,13.0,1050
2011-05-23,13.0,55
2011-05-24,10.0,122
2011-05-25,10.0,0
2011-05-26,10.0,0
2011-05-27,10.0,153
2011-05-31,10.0,0
2011-06-01,11.8,16
2011-06-02,11.8,0
2011-06-03,8.6,55
2011-06-06,8.6,500
2011-06-07,9.0,94
2011-06-08,9.8,6
2011-06-09,10.0,25
2011-06-10,10.0,0
2011-06-13,8.0,55
2011-06-14,11.8,17
2011-06-15,9.2,11
2011-06-16,9.2,38
2011-06-17,9.2,0
2011-06-20,7.0,674
2011-06-21,5.8,522
2011-06-22,7.2,67
2011-06-23,4.0,1030
2011-06-24,5.8,27
2011-06-27,7.2,3
2011-06-28,7.0,68
2011-06-29,7.0,0
2011-06-30,7.2,68
2011-07-01,7.0,134
2011-07-05,4.0,73
2011-07-06,8.0,23
2011-07-07,8.0,0
2011-07-08,7.4,145
2011-07-11,7.8,37
2011-07-12,7.8,0
2011-07-13,5.0,2
2011-07-14,7.8,9
2011-07-15,5.0,127
2011-07-18,7.8,5
2011-07-19,6.0,40
2011-07-20,8.8,2146
2011-07-21,12.0,954
2011-07-22,10.4,198
2011-07-25,10.0,160
2011-07-26,10.0,101
2011-07-27,8.0,545
2011-07-28,10.0,705
2011-07-29,8.0,513
2011-08-01,9.8,157
2011-08-02,6.8,94
2011-08-03,6.8,225
2011-08-04,7.4,288
2011-08-05,6.0,786
2011-08-08,5.2,467
2011-08-09,6.0,239
2011-08-10,6.0,259
2011-08-11,6.0,5399
2011-08-12,6.0,74
2011-08-15,6.0,228
2011-08-16,6.0,8
2011-08-17,8.0,8
2011-08-18,5.0,105
2011-08-19,8.0,24
2011-08-22,8.0,4
2011-08-23,6.0,43
2011-08-24,5.0,135
2011-08-25,7.6,9
2011-08-26,5.2,1054
2011-08-29,6.0,670
2011-08-30,6.4,14
2011-08-31,6.4,0
2011-09-01,6.4,30
2011-09-02,5.2,10
2011-09-06,6.4,18
2011-09-07,6.4,0
2011-09-08,5.8,222
2011-09-09,5.8,0
2011-09-12,5.2,45
2011-09-13,5.2,0
2011-09-14,6.6,103
2011-09-15,5.6,172
2011-09-16,6.2,10
2011-09-19,5.2,520
2011-09-20,5.0,2
2011-09-21,5.2,44
2011-09-22,5.2,437
2011-09-23,5.2,0
2011-09-26,5.6,43
2011-09-27,5.6,50
2011-09-28,5.6,0
2011-09-29,5.6,0
2011-09-30,5.6,0
2011-10-03,5.6,0
2011-10-04,5.6,0
2011-10-05,6.0,18
2011-10-06,6.0,11
2011-10-07,4.0,3
2011-10-10,6.0,48
2011-10-11,6.0,0
2011-10-12,6.0,26
2011-10-13,6.0,0
2011-10-14,6.0,0
2011-10-17,6.0,0
2011-10-18,6.0,11
2011-10-19,6.0,0
2011-10-20,6.0,13
2011-10-21,4.0,104
2011-10-24,4.0,8
2011-10-25,4.0,0
2011-10-26,4.0,0
2011-10-27,8.0,28
2011-10-28,6.0,50
2011-10-31,6.0,0
2011-11-01,6.0,0
2011-11-02,6.0,0
2011-11-03,4.0,105
2011-11-04,4.2,118
2011-11-07,4.2,50
2011-11-08,4.2,0
2011-11-09,4.2,0
2011-11-10,4.2,0
2011-11-11,4.2,0
2011-11-14,4.2,0
2011-11-15,4.2,0
2011-11-16,4.2,28
2011-11-17,4.2,0
2011-11-18,4.2,0
2011-11-21,4.2,0
2011-11-22,4.0,50
2011-11-23,4.0,0
2011-11-25,3.6,50
2011-11-28,6.0,63
2011-11-29,6.0,880
2011-11-30,6.0,0
2011-12-01,3.6,55
2011-12-02,6.0,3
2011-12-05,6.0,55
2011-12-06,6.0,0
2011-12-07,6.0,0
2011-12-08,2.2,10
2011-12-09,2.2,0
2011-12-12,2.2,4
2011-12-13,2.0,17
2011-12-14,2.2,26
2011-12-15,2.2,0
2011-12-16,2.2,0
2011-12-19,2.2,25
2011-12-20,2.2,0
2011-12-21,2.2,0
2011-12-22,2.2,35
2011-12-23,2.2,0
2011-12-27,2.2,4
2011-12-28,2.2,176
2011-12-29,2.0,821
2011-12-30,1.2,234
2012-01-03,1.8,19
2012-01-04,1.8,206
2012-01-05,1.8,0
2012-01-06,1.2,673
2012-01-09,2.0,500
2012-01-10,2.0,348
2012-01-11,4.0,105
2012-01-12,4.0,0
2012-01-13,3.0,1
2012-01-17,4.0,7
2012-01-18,3.0,55
2012-01-19,4.0,50
2012-01-20,3.0,150
2012-01-23,1.2,100
2012-01-24,3.0,25
2012-01-25,2.6,18
2012-01-26,4.0,60
2012-01-27,4.0,0
2012-01-30,2.4,4
2012-01-31,5.0,13
2012-02-01,5.0,3
2012-02-02,3.6,25
2012-02-03,4.0,990
2012-02-06,4.0,272
2012-02-07,4.0,3
2012-02-08,3.2,44
2012-02-09,4.0,25
2012-02-10,4.0,0
2012-02-13,4.0,118
2012-02-14,4.0,50
2012-02-15,3.2,2
2012-02-16,4.0,155
2012-02-17,4.0,0
2012-02-21,3.2,120
2012-02-22,3.2,0
2012-02-23,6.0,5
2012-02-24,3.2,56
2012-02-27,3.2,10
2012-02-28,6.0,135
2012-02-29,4.4,34
2012-03-01,5.2,425
2012-03-02,5.2,0
2012-03-05,3.2,5
2012-03-06,3.2,0
2012-03-07,6.0,1
2012-03-08,6.0,0
2012-03-09,5.8,23
2012-03-12,5.8,0
2012-03-13,5.8,0
2012-03-14,5.8,0
2012-03-15,5.8,0
2012-03-16,5.8,0
2012-03-19,5.8,0
2012-03-20,3.2,2
2012-03-21,3.2,0
2012-03-22,3.2,0
2012-03-23,3.2,0
2012-03-26,3.2,0
2012-03-27,3.2,0
2012-03-28,3.2,0
2012-03-29,3.2,0
2012-03-30,5.0,39
2012-04-02,4.6,27
2012-04-03,3.6,14
2012-04-04,3.6,0
2012-04-05,3.6,50
2012-04-09,3.6,0
2012-04-10,3.6,0
2012-04-11,3.2,3
2012-04-12,3.2,0
2012-04-13,3.2,24
2012-04-16,3.2,0
2012-04-17,3.2,0
2012-04-18,3.2,125
2012-04-19,3.2,0
2012-04-20,3.2,0
2012-04-23,3.2,0
2012-04-24,2.0,10
2012-04-25,2.0,0
2012-04-26,2.0,0
2012-04-27,2.2,2
2012-04-30,2.2,0
2012-05-01,2.2,0
2012-05-02,2.2,0
2012-05-03,2.2,0
2012-05-04,2.2,0
2012-05-07,2.2,0
2012-05-08,2.2,4
2012-05-09,2.2,0
2012-05-10,2.2,0
2012-05-11,2.2,20
2012-05-14,2.4,53
2012-05-15,2.6,2
