date,close,volume
2021-04-22,9.9,11800
2021-04-23,9.91,11600
2021-04-26,9.91,100
2021-04-27,9.91,0
2021-04-28,9.91,12000
2021-04-29,9.93,1100
2021-04-30,9.93,2200
2021-05-03,9.93,300
2021-05-04,9.9,14000
2021-05-05,9.9,6300
2021-05-06,9.9,20000
2021-05-07,9.9,18100
2021-05-10,9.9,6900
2021-05-11,9.85,340000
2021-05-12,9.85,100
2021-05-13,9.85,0
2021-05-14,9.8,7000
2021-05-17,9.8,7000
2021-05-18,9.8,0
2021-05-19,9.8,1200
2021-05-20,9.78,1600
2021-05-21,9.8,9500
2021-05-24,9.8,0
2021-05-25,9.8,4600
2021-05-26,9.79,9600
2021-05-27,9.75,13300
2021-05-28,9.76,3500
2021-06-01,9.72,5400
2021-06-02,9.766,700
2021-06-03,9.81,100
2021-06-04,9.86,207800
2021-06-07,9.8,2600
2021-06-08,9.775,5400
2021-06-09,9.8,7600
2021-06-10,9.81,43200
2021-06-11,9.765,141100
2021-06-14,9.77,14400
2021-06-15,9.77,4400
2021-06-16,9.79,2600
2021-06-17,9.76,15200
2021-06-18,9.75,5100
2021-06-21,9.74,5400
2021-06-22,9.73,5300
2021-06-23,9.785,1600
2021-06-24,9.76,900
2021-06-25,9.74,33500
2021-06-28,9.73,188900
2021-06-29,9.75,16700
2021-06-30,9.71,12800
2021-07-01,9.713,900
2021-07-02,9.7,7800
2021-07-06,9.71,29400
2021-07-07,9.71,1300
2021-07-08,9.735,61000
2021-07-09,9.73,3100
2021-07-12,9.79,800
2021-07-13,9.79,100
2021-07-14,9.79,0
2021-07-15,9.8,10000
2021-07-16,9.8,0
2021-07-19,9.765,247800
2021-07-20,9.77,27200
2021-07-21,9.85,3300
2021-07-22,9.85,106500
2021-07-23,9.79,153300
2021-07-26,9.67,345400
2021-07-27,9.739,78800
2021-07-28,9.71,300
2021-07-29,9.739,500
2021-07-30,9.71,55400
2021-08-02,9.72,12400
2021-08-03,9.69,48500
2021-08-04,9.69,7300
2021-08-05,9.71,200
2021-08-06,9.71,100
2021-08-09,9.67,600
2021-08-10,9.68,5000
2021-08-11,9.69,2000
2021-08-12,9.73,8100
2021-08-13,9.705,282200
2021-08-16,9.7,70100
2021-08-17,9.68,24900
2021-08-18,9.69,3200
2021-08-19,9.69,300
2021-08-20,9.69,0
2021-08-23,9.635,11300
2021-08-24,9.7,43700
2021-08-25,9.69,1100
2021-08-26,9.68,300
2021-08-27,9.68,6000
2021-08-30,9.7,500
2021-08-31,9.685,200
2021-09-01,9.685,100
2021-09-02,9.685,0
2021-09-03,9.73,63500
2021-09-07,9.73,15600
2021-09-08,9.63,200
2021-09-09,9.705,5000
2021-09-10,9.74,113400
2021-09-13,9.74,100
2021-09-14,9.8,39000
2021-09-15,9.75,300
2021-09-16,9.77,700
2021-09-17,9.78,1202300
2021-09-20,9.7,3800
2021-09-21,9.71,2400
2021-09-22,9.76,126000
2021-09-23,9.75,100400
2021-09-24,9.77,62500
2021-09-27,9.77,100
2021-09-28,9.77,0
2021-09-29,9.77,0
2021-09-30,9.77,0
2021-10-01,9.77,15100
2021-10-04,9.75,1700
2021-10-05,9.75,300
2021-10-06,9.86,9511300
2021-10-07,9.85,1231300
2021-10-08,9.85,1066200
2021-10-11,9.865,295400
2021-10-12,9.89,380500
2021-10-13,9.85,447900
2021-10-14,9.87,604600
2021-10-15,9.85,523700
2021-10-18,9.89,345700
2021-10-19,10.02,4377400
2021-10-20,10.02,1700900
2021-10-21,10.07,1675800
2021-10-22,10.075,613200
2021-10-25,10.05,698900
2021-10-26,10.13,1320800
2021-10-27,10.3,1601800
2021-10-28,10.3,804800
2021-10-29,10.52,1579300
2021-11-01,10.52,1185000
2021-11-02,10.31,692300
2021-11-03,10.38,470700
2021-11-04,10.33,589500
2021-11-05,10.75,2495500
2021-11-08,10.97,3292600
2021-11-09,10.84,1155300
2021-11-10,10.46,1247500
2021-11-11,10.41,558100
2021-11-12,10.55,724400
2021-11-15,10.44,969000
2021-11-16,11.22,4087400
2021-11-17,11.88,5352400
