date,close,volume
2009-01-02,0.641,1058000
2009-01-05,0.706,1842000
2009-01-06,0.632,4058000
2009-01-07,0.625,3207000
2009-01-08,0.654,2016000
2009-01-09,0.65,1975000
2009-01-12,0.65,1376000
2009-01-13,0.604,959000
2009-01-14,0.573,1491000
2009-01-15,0.579,1855000
2009-01-16,0.571,926000
2009-01-20,0.509,1388000
2009-01-21,0.547,699000
2009-01-22,0.52,180000
2009-01-23,0.533,770000
2009-01-26,0.621,1345000
2009-01-27,0.589,564000
2009-01-28,0.609,969000
2009-01-29,0.555,1146000
2009-01-30,0.527,1036000
2009-02-02,0.543,1655000
2009-02-03,0.546,2966000
2009-02-04,0.525,1231000
2009-02-05,0.513,816000
2009-02-06,0.534,1382000
2009-02-09,0.506,522000
2009-02-10,0.501,1433000
2009-02-11,0.505,643000
2009-02-12,0.501,360000
2009-02-13,0.506,1531000
2009-02-17,0.467,570000
2009-02-18,0.452,863000
2009-02-19,0.45,533000
2009-02-20,0.454,1540000
2009-02-23,0.439,619000
2009-02-24,0.442,3351000
2009-02-25,0.465,1562000
2009-02-26,0.463,575000
2009-02-27,0.453,1014000
2009-03-02,0.45,794000
2009-03-03,0.479,748000
2009-03-04,0.496,742000
2009-03-05,0.472,708000
2009-03-06,0.484,378000
2009-03-09,0.48,489000
2009-03-10,0.514,1446000
2009-03-11,0.489,1726000
2009-03-12,0.521,1160000
2009-03-13,0.521,1011000
2009-03-16,0.497,478000
2009-03-17,0.533,444000
2009-03-18,0.52,895000
2009-03-19,0.493,400000
2009-03-20,0.465,1200000
2009-03-23,0.493,1188000
2009-03-24,0.476,586000
2009-03-25,0.489,1203000
2009-03-26,0.501,676000
2009-03-27,0.456,1104000
2009-03-30,0.477,574000
2009-03-31,0.492,656000
2009-04-01,0.504,404000
2009-04-02,0.51,1132000
2009-04-03,0.548,543000
2009-04-06,0.534,1103000
2009-04-07,0.505,537000
2009-04-08,0.527,506000
2009-04-09,0.593,1663000
2009-04-13,0.599,608000
2009-04-14,0.56,997000
2009-04-15,0.556,1294000
2009-04-16,0.564,1238000
2009-04-17,0.6,1539000
2009-04-20,0.577,723000
2009-04-21,0.636,742000
2009-04-22,0.619,1990000
2009-04-23,0.576,1311000
2009-04-24,0.554,836000
2009-04-27,0.534,566000
2009-04-28,0.542,221000
2009-04-29,0.553,706000
2009-04-30,0.522,1149000
2009-05-01,0.558,2044000
2009-05-04,0.561,651000
2009-05-05,0.585,1418000
2009-05-06,0.585,527000
2009-05-07,0.58,1011000
2009-05-08,0.601,760000
2009-05-11,0.592,420000
2009-05-12,0.584,444000
2009-05-13,0.565,549000
2009-05-14,0.599,650000
2009-05-15,0.612,1433000
2009-05-18,0.622,1540000
2009-05-19,0.632,1746000
2009-05-20,0.646,1758000
2009-05-21,0.634,1859000
2009-05-22,0.635,601000
2009-05-26,0.643,1395000
2009-05-27,0.65,1480000
2009-05-28,0.654,2172000
2009-05-29,0.67,4823000
2009-06-01,0.698,2192000
2009-06-02,0.703,2570000
2009-06-03,0.713,894000
2009-06-04,0.725,1437000
2009-06-05,0.74,1184000
2009-06-08,0.733,1257000
2009-06-09,0.79,2816000
2009-06-10,0.81,3955000
2009-06-11,0.82,2892000
2009-06-12,0.832,1764000
2009-06-15,0.818,2095000
2009-06-16,0.782,1123000
2009-06-17,0.795,735000
2009-06-18,0.779,1345000
2009-06-19,0.758,2097000
2009-06-22,0.704,963000
2009-06-23,0.689,1175000
2009-06-24,0.716,557000
2009-06-25,0.735,525000
2009-06-26,0.8,3901000
2009-06-29,0.788,1759000
2009-06-30,0.766,1046000
2009-07-01,0.771,878000
2009-07-02,0.759,796000
2009-07-06,0.767,464000
2009-07-07,0.738,430000
2009-07-08,0.728,455000
2009-07-09,0.709,437000
2009-07-10,0.72,400000
2009-07-13,0.785,639000
2009-07-14,0.78,270000
2009-07-15,0.829,796000
2009-07-16,0.808,659000
2009-07-17,0.778,599000
2009-07-20,0.776,399000
2009-07-21,0.776,337000
2009-07-22,0.775,527000
2009-07-23,0.776,857000
2009-07-24,0.771,459000
2009-07-27,0.778,396000
2009-07-28,0.801,447000
2009-07-29,0.798,243000
2009-07-30,0.8,566000
2009-07-31,0.794,380000
2009-08-03,0.8,499000
2009-08-04,0.803,358000
2009-08-05,0.773,538000
2009-08-06,0.765,422000
2009-08-07,0.768,982000
2009-08-10,0.743,555000
2009-08-11,0.752,550000
2009-08-12,0.778,468000
2009-08-13,0.777,315000
2009-08-14,0.756,671000
2009-08-17,0.749,735000
2009-08-18,0.752,798000
2009-08-19,0.764,1233000
2009-08-20,0.769,552000
2009-08-21,0.775,1121000
2009-08-24,0.775,781000
2009-08-25,0.785,1012000
2009-08-26,0.799,714000
2009-08-27,0.806,1292000
2009-08-28,0.81,860000
2009-08-31,0.797,1336000
2009-09-01,0.787,884000
2009-09-02,0.792,860000
2009-09-03,0.79,1336000
2009-09-04,0.802,880000
2009-09-08,0.8,775000
2009-09-09,0.839,1590000
2009-09-10,0.848,972000
2009-09-11,0.846,907000
2009-09-14,0.84,595000
2009-09-15,0.879,1258000
2009-09-16,0.88,809000
2009-09-17,0.869,498000
2009-09-18,0.866,1283000
2009-09-21,0.866,1052000
2009-09-22,0.875,988000
2009-09-23,0.86,657000
2009-09-24,0.854,766000
2009-09-25,0.847,288000
2009-09-28,0.884,795000
2009-09-29,0.874,345000
2009-09-30,0.846,986000
2009-10-01,0.783,687000
2009-10-02,0.775,1117000
2009-10-05,0.756,979000
2009-10-06,0.789,452000
2009-10-07,0.806,348000
2009-10-08,0.824,1110000
2009-10-09,0.848,893000
2009-10-12,0.85,828000
2009-10-13,0.814,752000
2009-10-14,0.838,997000
2009-10-15,0.861,1110000
2009-10-16,0.879,841000
2009-10-19,0.881,293000
2009-10-20,0.878,449000
2009-10-21,0.876,643000
2009-10-22,0.88,572000
2009-10-23,0.878,934000
2009-10-26,0.836,566000
2009-10-27,0.842,292000
2009-10-28,0.829,2154000
2009-10-29,0.83,846000
2009-10-30,0.806,1181000
2009-11-02,0.79,575000
2009-11-03,0.8,1001000
2009-11-04,0.783,535000
2009-11-05,0.835,952000
2009-11-06,0.887,1282000
2009-11-09,0.933,2425000
2009-11-10,0.938,1230000
2009-11-11,0.977,2807000
2009-11-12,0.934,1457000
2009-11-13,0.94,644000
2009-11-16,0.975,1751000
2009-11-17,0.98,1869000
2009-11-18,1.007,2665000
2009-11-19,0.96,1014000
2009-11-20,0.987,1151000
2009-11-23,1.0,3114000
2009-11-24,1.008,1656000
2009-11-25,0.998,1484000
2009-11-27,0.968,579000
2009-11-30,0.974,957000
2009-12-01,1.008,2129000
2009-12-02,1.017,1913000
2009-12-03,1.025,1542000
2009-12-04,1.033,988000
2009-12-07,1.046,1548000
2009-12-08,1.053,1332000
2009-12-09,1.075,2693000
2009-12-10,1.113,4063000
2009-12-11,1.126,1977000
2009-12-14,1.135,1053000
2009-12-15,1.134,1864000
2009-12-16,1.116,1249000
2009-12-17,1.08,883000
2009-12-18,1.092,3315000
2009-12-21,1.107,1391000
2009-12-22,1.145,1460000
2009-12-23,1.133,642000
2009-12-24,1.141,175000
2009-12-28,1.143,701000
2009-12-29,1.13,448000
2009-12-30,1.13,744000
2009-12-31,1.112,833000
2010-01-04,1.152,1396000
2010-01-05,1.127,1158000
2010-01-06,1.149,853000
2010-01-07,1.157,1147000
2010-01-08,1.171,578000
2010-01-11,1.168,583000
2010-01-12,1.155,794000
2010-01-13,1.298,4470000
2010-01-14,1.265,1269000
2010-01-15,1.276,1653000
2010-01-19,1.299,2295000
2010-01-20,1.238,1809000
2010-01-21,1.183,1182000
2010-01-22,1.15,2768000
2010-01-25,1.181,1390000
2010-01-26,1.161,1501000
2010-01-27,1.35,9419000
2010-01-28,1.291,1715000
2010-01-29,1.239,2243000
2010-02-01,1.246,2106000
2010-02-02,1.268,2105000
2010-02-03,1.239,1294000
2010-02-04,1.194,1864000
2010-02-05,1.235,1706000
2010-02-08,1.26,1811000
