date,close,volume
2022-03-01,10.06,370100
2022-03-02,10.08,407500
2022-03-03,10.1,434200
2022-03-04,10.04,184000
2022-03-07,10.05,219100
2022-03-08,10.07,82000
2022-03-09,10.07,237600
2022-03-10,10.18,1790200
2022-03-11,10.22,1265400
2022-03-14,10.08,504900
2022-03-15,10.06,310200
2022-03-16,10.09,322800
2022-03-17,10.14,814800
2022-03-18,10.14,244000
2022-03-21,10.19,261400
2022-03-22,10.23,645400
2022-03-23,10.16,267500
2022-03-24,10.17,174100
2022-03-25,10.16,395400
2022-03-28,10.15,328800
2022-03-29,10.18,303700
2022-03-30,10.23,925600
2022-03-31,10.47,1199800
2022-04-01,10.58,1565000
2022-04-04,10.35,702500
2022-04-05,10.42,466200
2022-04-06,10.49,476900
2022-04-07,10.4,488800
2022-04-08,10.73,3362400
2022-04-11,10.76,1692000
2022-04-12,10.79,1782500
2022-04-13,11.1,2510200
2022-04-14,10.98,1275900
2022-04-18,10.97,1240800
2022-04-19,10.45,1824400
2022-04-20,10.41,856500
2022-04-21,10.12,2914000
2022-04-22,10.1,1529200
2022-04-25,9.48,1509100
2022-04-26,9.91,1067900
2022-04-27,10.06,595200
2022-04-28,9.45,897300
2022-04-29,9.54,830100
2022-05-02,10.0,674900
2022-05-03,10.55,888300
2022-05-04,10.4,1075500
2022-05-05,9.94,681500
2022-05-06,10.61,729500
2022-05-09,10.53,831800
2022-05-10,10.3,642300
2022-05-11,10.19,462600
2022-05-12,9.84,681200
2022-05-13,9.62,583100
2022-05-16,9.78,390900
2022-05-17,9.85,415500
2022-05-18,9.6,441900
2022-05-19,9.84,345500
2022-05-20,9.9,557000
2022-05-23,9.67,316800
2022-05-24,8.96,835100
2022-05-25,9.52,426700
2022-05-26,9.46,222500
2022-05-27,9.9,466600
2022-05-31,9.79,389000
2022-06-01,9.6,480400
2022-06-02,9.48,488600
2022-06-03,9.44,514300
2022-06-06,9.85,708900
2022-06-07,10.14,569100
2022-06-08,10.13,321400
2022-06-09,9.96,659700
2022-06-10,9.99,440400
2022-06-13,9.71,715700
2022-06-14,9.75,392500
2022-06-15,10.35,659900
2022-06-16,9.98,737000
2022-06-17,10.32,1583400
2022-06-21,10.73,971000
2022-06-22,10.52,667600
2022-06-23,10.34,602800
2022-06-24,10.26,2315200
2022-06-27,10.68,678100
2022-06-28,10.64,424000
2022-06-29,9.81,581800
2022-06-30,9.99,404700
2022-07-01,10.65,946900
2022-07-05,10.46,439800
2022-07-06,10.52,499600
2022-07-07,10.78,549100
2022-07-08,10.2,632400
2022-07-11,10.23,227100
2022-07-12,10.08,430500
2022-07-13,10.22,362700
2022-07-14,10.28,378900
2022-07-15,10.28,301200
2022-07-18,10.28,297600
2022-07-19,10.67,579900
2022-07-20,11.83,1226100
2022-07-21,12.36,1017000
2022-07-22,12.66,1012200
2022-07-25,12.92,892700
2022-07-26,12.88,771700
2022-07-27,13.5,803000
2022-07-28,13.44,696800
2022-07-29,14.34,1131200
2022-08-01,15.13,1361300
2022-08-02,14.93,972100
2022-08-03,14.84,833300
2022-08-04,15.0,901200
2022-08-05,14.62,648900
2022-08-08,15.02,1375400
2022-08-09,15.0,412900
2022-08-10,14.27,1094000
2022-08-11,14.88,1063200
2022-08-12,14.87,542200
2022-08-15,15.0,619400
2022-08-16,14.2,1566900
2022-08-17,13.02,1022200
2022-08-18,13.85,930500
2022-08-19,14.05,732500
2022-08-22,14.16,853100
2022-08-23,14.73,1150600
2022-08-24,15.32,3036300
2022-08-25,14.83,1059000
2022-08-26,13.8,1604000
2022-08-29,14.57,1919200
2022-08-30,13.26,2801700
2022-08-31,13.72,826200
2022-09-01,12.94,1277300
2022-09-02,13.59,852100
2022-09-06,14.14,1744500
2022-09-07,14.13,641700
2022-09-08,14.5,791300
2022-09-09,13.91,1006500
2022-09-12,14.01,778000
2022-09-13,13.56,983800
2022-09-14,14.01,640700
2022-09-15,13.7,1062700
2022-09-16,13.93,2331600
2022-09-19,13.72,809800
2022-09-20,13.46,658200
2022-09-21,13.06,544400
2022-09-22,13.48,771600
2022-09-23,12.57,857100
2022-09-26,11.53,1346500
2022-09-27,12.5,783100
2022-09-28,12.4,637500
2022-09-29,12.35,556400
2022-09-30,11.68,494600
2022-10-03,11.72,538300
2022-10-04,12.18,946800
