date,close,volume
2009-01-02,7.449701,3380265
2009-01-05,7.2624,4385348
2009-01-06,8.652046,10933934
2009-01-07,8.168692,9477972
2009-01-08,8.241197,5174385
2009-01-09,8.458706,6689485
2009-01-12,8.078061,6787916
2009-01-13,7.884719,8116340
2009-01-14,7.377197,6328438
2009-01-15,7.848467,8575421
2009-01-16,8.041811,5204285
2009-01-20,7.274484,4634998
2009-01-21,7.794092,5744334
2009-01-22,7.461784,5307876
2009-01-23,7.85451,5708613
2009-01-26,7.842428,5889467
2009-01-27,8.186815,5537946
2009-01-28,8.700379,6806306
2009-01-29,9.516042,15556628
2009-01-30,8.869555,8430421
2009-02-02,9.377075,7255597
2009-02-03,9.23207,6328571
2009-02-04,10.180657,14376909
2009-02-05,10.259199,9275156
2009-02-06,10.821097,5958395
2009-02-09,10.398163,6983059
2009-02-10,9.999394,10250604
2009-02-11,10.083983,7478390
2009-02-12,10.319617,7051458
2009-02-13,10.077939,4293797
2009-02-17,9.449579,6983720
2009-02-18,9.467705,6314018
2009-02-19,8.78497,8185004
2009-02-20,8.791008,7407080
2009-02-23,8.331826,6772305
2009-02-24,8.670172,8638661
2009-02-25,8.791008,7779372
2009-02-26,8.138485,8059848
2009-02-27,8.253279,7290921
2009-03-02,7.673252,8127586
2009-03-03,8.247234,10620912
2009-03-04,9.038726,13172714
2009-03-05,8.760801,8530307
2009-03-06,8.791008,12181258
2009-03-09,9.099148,9368163
2009-03-10,9.673132,7934031
2009-03-11,10.011479,5701865
2009-03-12,10.386078,5752669
2009-03-13,10.398163,5730707
2009-03-16,10.096068,6051931
2009-03-17,10.343783,4603775
2009-03-18,10.645885,7034126
2009-03-19,10.778803,5034015
2009-03-20,10.446499,7392395
2009-03-23,11.401124,6629156
2009-03-24,11.781765,6373023
2009-03-25,11.491756,11068747
2009-03-26,11.703219,8868995
2009-03-27,11.781765,5761665
2009-03-30,11.455503,7467409
2009-03-31,11.685096,7353896
2009-04-01,12.02949,8437168
2009-04-02,12.138243,8144520
2009-04-03,12.869313,6822446
2009-04-06,12.476585,5746186
2009-04-07,12.234908,4202245
2009-04-08,12.8391,6170207
2009-04-09,13.358706,5964481
2009-04-13,12.89348,7395702
2009-04-14,12.712219,6787255
2009-04-15,12.845142,6315473
2009-04-16,13.382879,7164839
2009-04-17,13.546013,5332484
2009-04-20,12.76056,6757223
2009-04-21,13.098904,5400486
2009-04-22,13.358706,5306950
2009-04-23,13.165368,5771720
2009-04-24,12.784727,14199098
2009-04-27,13.159326,8644482
2009-04-28,12.766602,7259301
2009-04-29,13.32246,5649739
2009-04-30,14.21062,10361207
2009-05-01,14.132072,5933655
2009-05-04,14.657723,6271549
2009-05-05,14.754394,6468809
2009-05-06,14.881277,5502357
2009-05-07,14.138122,7162061
2009-05-08,14.325418,5734147
2009-05-11,13.987072,4540801
2009-05-12,13.509758,5578826
2009-05-13,13.594345,7439361
2009-05-14,13.878316,4516193
2009-05-15,13.993113,4820880
2009-05-18,14.319376,4777221
2009-05-19,14.778563,4597028
2009-05-20,14.585223,4872212
2009-05-21,14.718143,4534186
2009-05-22,14.790644,8093585
2009-05-26,15.104828,8134598
2009-05-27,14.990026,6514320
2009-05-28,14.851061,7228872
