don,adx_veto,stop_n,max_units_strong,pyramid_step_n,BTC_tr_mar,BTC_va_mar,BTC_va_cagr,BTC_va_dd,BTC_win,ETH_tr_mar,ETH_va_mar,ETH_va_cagr,ETH_va_dd,ETH_win,mean_tr_mar,mean_va_mar
20/10-55/20,20.0,2.0,4,0.5,1.51,0.29,0.076,-0.261,0.375,1.26,0.04,0.019,-0.52,0.1,1.385,0.16499999999999998
20/10-55/20,20.0,1.5,4,0.5,1.44,0.33,0.085,-0.261,0.375,1.27,0.09,0.042,-0.481,0.095,1.355,0.21000000000000002
20/10-55/20,20.0,2.5,4,0.5,1.38,0.27,0.071,-0.261,0.375,1.26,0.01,0.007,-0.524,0.111,1.3199999999999998,0.14
20/10-55/20,25.0,1.5,2,0.5,1.49,-0.01,-0.001,-0.209,0.333,1.07,0.3,0.065,-0.219,0.364,1.28,0.145
20/10-55/20,25.0,1.5,2,1.0,1.45,-0.01,-0.002,-0.207,0.333,1.01,0.03,0.006,-0.198,0.333,1.23,0.009999999999999998
20/10-55/20,20.0,2.0,2,0.5,1.59,0.26,0.059,-0.224,0.375,0.85,0.11,0.042,-0.37,0.167,1.22,0.185
20/10-55/20,20.0,2.0,4,1.0,1.57,0.33,0.087,-0.265,0.375,0.87,0.08,0.039,-0.479,0.105,1.22,0.20500000000000002
20/10-55/20,20.0,1.5,2,0.5,1.53,0.31,0.067,-0.22,0.375,0.91,0.12,0.044,-0.366,0.158,1.22,0.215
20/10-55/20,25.0,2.0,2,0.5,1.44,-0.07,-0.016,-0.227,0.333,1.0,0.27,0.06,-0.224,0.364,1.22,0.1
20/10-55/20,20.0,1.5,2,1.0,1.52,0.39,0.083,-0.213,0.375,0.91,0.17,0.058,-0.336,0.167,1.215,0.28
20/10-55/20,25.0,1.5,4,0.5,1.0,0.02,0.006,-0.274,0.25,1.43,-0.08,-0.024,-0.312,0.214,1.2149999999999999,-0.03
20/10-55/20,20.0,2.5,2,0.5,1.57,0.22,0.053,-0.238,0.375,0.84,0.2,0.064,-0.313,0.25,1.205,0.21000000000000002
20/10-55/20,25.0,2.5,2,0.5,1.41,-0.09,-0.021,-0.24,0.333,1.0,0.21,0.05,-0.238,0.364,1.205,0.06
20/10-55/20,25.0,2.0,2,1.0,1.45,-0.09,-0.02,-0.226,0.333,0.93,0.25,0.055,-0.218,0.364,1.19,0.08
